date,Alabama-apple-driving,Alabama-apple-walking,Alabama-google-retail_and_recreation,Alabama-google-grocery_and_pharmacy,Alabama-google-parks,Alabama-google-transit_stations,Alabama-google-workplaces,Alabama-google-residential,Alabama-jh_beta_7,Alabama-jh_gamma_7,Alabama-cdc_beta_7,Alabama-cdc_gamma_7,Alabama-jh_beta_14,Alabama-jh_gamma_14,Alabama-cdc_beta_14,Alabama-cdc_gamma_14,Alabama-jh_beta_30,Alabama-jh_gamma_30,Alabama-cdc_beta_30,Alabama-cdc_gamma_30,Alabama-census_pop,Alabama-jh_confirmed,Alabama-jh_death,Alabama-cdc_confirmed,Alabama-cdc_death,Alabama-jh_confirmed_ratio,Alabama-jh_death_ratio,Alabama-cdc_confirmed_ratio,Alabama-cdc_death_ratio
01-01-2021,92.83,95.09,-44.0,-30.0,-16.0,-46.0,-72.0,26.0,0.025,1e-05,0.0250000009644031,4.632897436829544e-05,0.0250000238491106,0.0001235640836477,0.0250000376834076,0.0001755984726623,0.0250000128786544,0.0001199855258816,0.0250000173252012,0.0001562990529042,4903185,365747,4872,390503,7269,0.0745937589546386,0.0009936398483842,0.079642722026601,0.0014825057590117
01-02-2021,125.2,127.62,-19.0,-8.0,-2.0,-8.0,-19.0,7.0,0.025,1e-05,0.0250000010170181,4.8466434178132025e-05,0.0250000209429389,0.0001201545576511,0.0250000353665421,0.0001769304167823,0.0250000121420536,0.0001133802407907,0.0250000174369034,0.0001575430978941,4903185,369458,4872,393953,7347,0.0753506139376752,0.0009936398483842,0.0803463463034741,0.001498413786141
01-03-2021,100.06,96.35,-16.0,-8.0,-7.0,-1.0,-17.0,6.0,0.025000000335744,2.2229774856275416e-05,0.0250000010398264,4.932973817426365e-05,0.0250000147512561,0.0001013900016192,0.0250000341608958,0.0001789692677296,0.0250000115065907,0.0001078486191034,0.0250000175607101,0.0001589042912022,4903185,371934,4873,397263,7422,0.0758555918244977,0.00099384379745,0.0810214177111408,0.001513709966073
01-04-2021,118.04,128.52,-5.0,2.0,-9.0,-9.0,-26.0,8.0,0.0250000003660735,2.40102963508748e-05,0.0250000010506791,4.972688969812891e-05,0.0250000149756943,0.000108087960634,0.0250000327002294,0.0001803651718626,0.0250000109650189,0.0001033577371884,0.0250000177428709,0.0001607958441824,4903185,374095,4878,403972,7516,0.0762963257556058,0.0009948635427788,0.0823897119933267,0.0015328811782545
01-05-2021,122.77,133.55,-10.0,-1.0,-14.0,-12.0,-25.0,8.0,0.0250000003437873,2.3637307144478543e-05,0.0250000011044799,5.176689862840073e-05,0.0250000147988932,0.000113645081775,0.0250000282966208,0.0001800408296868,0.025000010546249,0.000100080805691,0.0250000180856199,0.0001640030574991,4903185,379593,4886,409423,7586,0.077417637719156,0.0009964951353049,0.0835014383507862,0.0015471576128577
01-06-2021,115.94,138.98,-10.0,-3.0,-13.0,-12.0,-25.0,9.0,0.0250000003050248,2.2456437421068764e-05,0.0250000011184937,5.2325766939374e-05,0.0250000105973816,0.000100121338882,0.0250000245773104,0.0001801188438765,0.0250000106292025,0.0001015619740833,0.0250000181391262,0.0001644972316152,4903185,384184,4994,414088,7666,0.0783539678800616,0.001018521634407,0.0844528607425581,0.0015634735381185
01-07-2021,114.82,133.23,-20.0,-7.0,-35.0,-20.0,-25.0,11.0,0.0250000003243005,2.2417619677575037e-05,0.0250000011638064,5.425504201461684e-05,0.0250000025673874,5.954092937370401e-05,0.0250000208775687,0.0001770840887688,0.0250000109472104,0.0001049108693518,0.0250000181046394,0.000164528447585,4903185,389230,5080,418452,7745,0.0793830948658882,0.0010360612540624,0.0853428944655361,0.0015795855143136
01-08-2021,133.32,152.13,-18.0,-10.0,-29.0,-19.0,-24.0,11.0,0.0250000003481722,2.2118672532122627e-05,0.0250000011977471,5.573104007301617e-05,0.0250000021353282,4.8880428651245805e-05,0.0250000192019485,0.0001799891957849,0.025000010593795,0.0001017660367179,0.0250000180822613,0.000164560791691,4903185,394287,5191,422372,7817,0.0804144652914381,0.0010586996003618,0.0861423748033166,0.0015942698470483
01-09-2021,127.71,143.58,-16.0,-6.0,-27.0,-14.0,-9.0,6.0,0.0250000004504694,2.484360705946413e-05,0.0250000011881852,5.543073583622212e-05,0.0250000027304265,5.944098277818955e-05,0.0250000186890718,0.0001847854321376,0.0250000104873579,0.000100610914222,0.0250000180082128,0.0001641357663733,4903185,399150,5299,424741,7900,0.0814062695982305,0.0010807260994639,0.0866255301401028,0.0016111976195065
01-10-2021,96.8,103.93,-15.0,-5.0,-22.0,-15.0,-16.0,6.0,0.0250000007098253,3.449300424784473e-05,0.0250000011985441,5.588059733101041e-05,0.0250000034265448,7.178988923581161e-05,0.0250000086935125,0.0001766261245202,0.0250000103397182,9.892226275875993e-05,0.025000017986054,0.0001642280551234,4903185,401900,5334,426809,7985,0.0819671295290714,0.0010878643167655,0.0870472968080951,0.0016285332900961
01-11-2021,107.59,135.64,-17.0,-5.0,-35.0,-22.0,-26.0,11.0,0.0250000009182124,4.32898638562698e-05,0.0250000012237479,5.6872900852811625e-05,0.0250000040702417,8.383937143141371e-05,0.0250000088096032,0.0001789637535523,0.0250000101752467,9.712254877752552e-05,0.0250000180008629,0.0001646252434634,4903185,404000,5347,431117,8074,0.082395422567168,0.0010905156546204,0.0879259093833906,0.0016466847569487
01-12-2021,115.88,139.1,-15.0,-7.0,-25.0,-15.0,-24.0,9.0,0.0250000010545933,5.011706701355788e-05,0.0250000012119241,5.616261806592092e-05,0.0250000044638251,9.15375376419896e-05,0.0250000090912731,0.0001847852876555,0.0250000104187101,9.945719846419894e-05,0.0250000179843424,0.0001645392402208,4903185,407848,5573,434637,8152,0.0831802185722137,0.0011366081434822,0.0886438100948669,0.0016625927840781
01-13-2021,117.73,149.98,-13.0,-6.0,-18.0,-14.0,-24.0,8.0,0.025000098717677,0.000226740321445,0.0250000012617791,5.824117836509713e-05,0.0250000052089111,0.00010456085476,0.0250000092346853,0.000187736504623,0.0250000111502456,0.0001057251524042,0.0250000182704617,0.000167415962134,4903185,410995,5760,437965,8237,0.0838220462821615,0.0011747466187794,0.0893225525857172,0.0016799284546677
01-14-2021,124.18,153.65,-17.0,-7.0,-17.0,-15.0,-24.0,8.0,0.0250001069888269,0.0002327377217358,0.0250000012837771,5.912411421383288e-05,0.025000006085666,0.0001194195179874,0.0249999973106379,0.0001817485356434,0.0250000120580019,0.0001132544341317,0.0250000180450489,0.0001657826444276,4903185,414583,5945,441225,8333,0.0845538155301095,0.001212477195945,0.0899874265400958,0.0016995075649807
