date,Alaska-apple-driving,Alaska-apple-walking,Alaska-google-retail_and_recreation,Alaska-google-grocery_and_pharmacy,Alaska-google-parks,Alaska-google-transit_stations,Alaska-google-workplaces,Alaska-google-residential,Alaska-jh_beta_7,Alaska-jh_gamma_7,Alaska-cdc_beta_7,Alaska-cdc_gamma_7,Alaska-jh_beta_14,Alaska-jh_gamma_14,Alaska-cdc_beta_14,Alaska-cdc_gamma_14,Alaska-jh_beta_30,Alaska-jh_gamma_30,Alaska-cdc_beta_30,Alaska-cdc_gamma_30,Alaska-census_pop,Alaska-jh_confirmed,Alaska-jh_death,Alaska-cdc_confirmed,Alaska-cdc_death,Alaska-jh_confirmed_ratio,Alaska-jh_death_ratio,Alaska-cdc_confirmed_ratio,Alaska-cdc_death_ratio
01-01-2021,98.66,103.86,-46.0,-29.0,0.0,-59.0,-70.0,25.0,0.025,1e-05,0.025,1e-05,0.0250000007600057,2.4568181940710865e-05,0.025,1e-05,0.0250000070111117,7.132290266274322e-05,0.0250000062022825,6.532457702989621e-05,731545,47019,206,46241,285,0.0642735580176202,0.0002815958006684,0.0632100554306297,0.0003895864232548
01-02-2021,117.13,120.98,-23.0,-7.0,-9.0,-21.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000008404902,2.6462404853659117e-05,0.025,1e-05,0.0250000070198771,7.19454372027336e-05,0.0250000055527913,5.946489975490856e-05,731545,47821,215,46530,287,0.0653698678823585,0.0002938985298238,0.0636051097335092,0.0003923203630672
01-03-2021,96.7,107.53,-17.0,-10.0,-3.0,-24.0,-13.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000009534268,2.840142243096155e-05,0.025,1e-05,0.0250000062126707,6.460438868473134e-05,0.025000004692832,5.158445127294739e-05,731545,48118,215,46698,289,0.0657758579444873,0.0002938985298238,0.0638347606777436,0.0003950543028795
01-04-2021,116.67,139.14,-11.0,-3.0,-6.0,-25.0,-26.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000010959943,3.120163232033189e-05,0.025,1e-05,0.025000005093528,5.434743991668743e-05,0.0250000046481004,5.13148314800694e-05,731545,48382,218,46912,290,0.0661367379997129,0.0002979994395423,0.0641272922376613,0.0003964212727856
01-05-2021,119.26,139.43,-12.0,-6.0,-9.0,-27.0,-25.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012497111,3.4158046968349214e-05,0.025,1e-05,0.0250000050497472,5.420829238763082e-05,0.0250000040394996,4.575479290905597e-05,731545,48582,218,47121,290,0.0664101319809444,0.0002979994395423,0.0644129889480483,0.0003964212727856
01-06-2021,115.69,129.03,-14.0,-5.0,-10.0,-29.0,-25.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000007630337,2.3757498470438635e-05,0.0250000006686477,2.1871866445949684e-05,0.0250000051167989,5.5125575303789855e-05,0.0250000039930162,4.548496923779609e-05,731545,48922,220,47461,293,0.066874901749038,0.0003007333793546,0.0648777587161418,0.0004005221825041
01-07-2021,112.96,128.98,-19.0,-10.0,-11.0,-27.0,-26.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000007051576,2.242477976815415e-05,0.0250000007253263,2.3058790255267795e-05,0.0250000049256899,5.350908851798575e-05,0.0250000037775043,4.351997053185799e-05,731545,49255,223,47798,294,0.0673301027277884,0.0003048342890731,0.0653384275745169,0.0004018891524103
01-08-2021,131.52,147.58,-19.0,-12.0,-4.0,-28.0,-26.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000007215967,2.262791879081988e-05,0.0250000008321992,2.5417680228022968e-05,0.0250000050339414,5.469319828032707e-05,0.0250000031552929,3.7702498370903e-05,731545,49660,223,48197,296,0.0678837255397822,0.0003048342890731,0.0658838485670738,0.0004046230922226
01-09-2021,122.82,129.09,-20.0,-8.0,-1.0,-25.0,-13.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000008343674,2.511577479202548e-05,0.0250000009414446,2.782315612186402e-05,0.0250000047249134,5.195614036592938e-05,0.0250000030541849,3.679319266740888e-05,731545,49979,224,48571,297,0.0683197889398464,0.0003062012589792,0.0663950953119767,0.0004059900621287
01-10-2021,98.44,109.17,-13.0,-7.0,6.0,-32.0,-14.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000008769105,2.6217832259377744e-05,0.0250000009798658,2.879623454419229e-05,0.025000004314629,4.8254323644958695e-05,0.0250000026513546,3.303204405511094e-05,731545,50238,224,48819,298,0.0686738341455412,0.0003062012589792,0.0667341038487037,0.0004073570320349
