date,Arizona-apple-driving,Arizona-apple-walking,Arizona-google-retail_and_recreation,Arizona-google-grocery_and_pharmacy,Arizona-google-parks,Arizona-google-transit_stations,Arizona-google-workplaces,Arizona-google-residential,Arizona-jh_beta_7,Arizona-jh_gamma_7,Arizona-cdc_beta_7,Arizona-cdc_gamma_7,Arizona-jh_beta_14,Arizona-jh_gamma_14,Arizona-cdc_beta_14,Arizona-cdc_gamma_14,Arizona-jh_beta_30,Arizona-jh_gamma_30,Arizona-cdc_beta_30,Arizona-cdc_gamma_30,Arizona-census_pop,Arizona-jh_confirmed,Arizona-jh_death,Arizona-cdc_confirmed,Arizona-cdc_death,Arizona-jh_confirmed_ratio,Arizona-jh_death_ratio,Arizona-cdc_confirmed_ratio,Arizona-cdc_death_ratio
01-01-2021,86.93,101.67,-38.0,-33.0,-18.0,-47.0,-73.0,24.0,0.025000000605679,3.189038370822965e-05,0.0250000005993322,3.1640067990308704e-05,0.0250000535486869,0.0001643120337349,0.0250000533588143,0.0001641965203273,0.0250000167733797,0.0001491754718995,0.0250000167585987,0.000149061556101,7278717,530267,9015,530622,9015,0.0728517127400337,0.0012385424519183,0.0729004850717509,0.0012385424519183
01-02-2021,106.23,119.21,-24.0,-16.0,-32.0,-23.0,-22.0,9.0,0.0250000006327045,3.2061491074243176e-05,0.025000000633069,3.2075320089765674e-05,0.0250000458262151,0.0001521973565234,0.0250000456628493,0.0001520911651635,0.0250000170132246,0.0001512088388264,0.0250000169982333,0.0001510933829515,7278717,539150,9061,539508,9061,0.0740721201277642,0.0012448622470141,0.0741213046200312,0.0012448622470141
01-03-2021,85.96,88.53,-22.0,-18.0,-26.0,-18.0,-15.0,7.0,0.0250000007819403,3.835702594244227e-05,0.0250000007823957,3.837505844215921e-05,0.0250000411280045,0.0001447712973316,0.0250000409798644,0.0001446705729549,0.0250000167780732,0.0001491451955315,0.0250000167633313,0.0001490318671018,7278717,556384,9061,556745,9061,0.0764398450990744,0.0012448622470141,0.0764894417518911,0.0012448622470141
01-04-2021,98.91,107.44,-17.0,-11.0,-24.0,-26.0,-37.0,12.0,0.0250000008853008,4.368508415399023e-05,0.0250000008858241,4.370687373365062e-05,0.0250000421094704,0.0001518955296629,0.0250000419485028,0.0001517901494699,0.025000016634775,0.0001483075059597,0.0250000166202153,0.0001481954282767,7278717,561542,9064,561906,9064,0.0771484864708986,0.0012452744075638,0.077198495284265,0.0012452744075638
01-05-2021,99.36,106.89,-18.0,-9.0,-25.0,-26.0,-38.0,13.0,0.0250000008946617,4.537484693348087e-05,0.0250000008951817,4.539748359489217e-05,0.0250000425294464,0.0001624123069746,0.0250000423501429,0.0001623005489675,0.0250000166065146,0.000148927508272,0.0250000165920853,0.0001488159203341,7278717,567474,9317,567841,9317,0.0779634652645514,0.0012800332805905,0.0780138862384675,0.0012800332805905
01-06-2021,96.41,104.96,-21.0,-11.0,-28.0,-29.0,-37.0,13.0,0.0250000007961027,4.0542872275050495e-05,0.0250000007965638,4.056228279294106e-05,0.0250000358572172,0.0001488783818819,0.0250000357059801,0.0001487762515568,0.0250000170054321,0.0001528720944646,0.0250000169907223,0.0001527580388827,7278717,574680,9444,575050,9444,0.0789534749049866,0.0012974814105288,0.0790043080394525,0.0012974814105288
01-07-2021,99.06,106.07,-21.0,-13.0,-26.0,-30.0,-38.0,13.0,0.0250000008732165,4.2997511140813135e-05,0.0250000008737213,4.301852132960048e-05,0.0250000369634199,0.0001554426231596,0.0250000367989213,0.0001553364161927,0.025000017899912,0.0001610873983378,0.0250000178843718,0.0001609664397543,7278717,584593,9741,584966,9741,0.0803153907481222,0.0013382853049514,0.0803666360431378,0.0013382853049514
01-08-2021,112.92,124.22,-23.0,-12.0,-31.0,-31.0,-35.0,13.0,0.0250000009537524,4.42949771874892e-05,0.025000000954303,4.43166782067944e-05,0.0250000368062793,0.0001555062821773,0.0250000398836516,0.000157443878879,0.0250000181681071,0.0001637852927718,0.0250000181526636,0.0001636651127087,7278717,596251,9938,596627,9938,0.0819170466443468,0.0013653505143832,0.0819687040999121,0.0013653505143832
01-09-2021,112.15,127.81,-23.0,-13.0,-36.0,-27.0,-16.0,8.0,0.0250000010524923,4.670097628681957e-05,0.0250000010530937,4.672398868369176e-05,0.0250000376163939,0.0001580220817836,0.0250000374428148,0.0001579152354217,0.025000018098433,0.0001623725066779,0.02500001808305,0.0001622535149366,7278717,607345,10036,607724,10036,0.0834412163572233,0.0013788144256741,0.0834932859733384,0.0013788144256741
01-10-2021,86.78,91.68,-20.0,-12.0,-24.0,-26.0,-14.0,6.0,0.0250000012857085,5.62934879290118e-05,0.0250000012864411,5.6322599925487496e-05,0.0250000429364873,0.0001784122292237,0.0250000427167827,0.0001782921121161,0.0250000183282153,0.0001640261696386,0.0250000183126765,0.0001639062724211,7278717,618546,10141,618928,10141,0.0849800864630401,0.0013932400449145,0.0850325682397048,0.0013932400449145
