date,Arkansas-apple-driving,Arkansas-apple-walking,Arkansas-google-retail_and_recreation,Arkansas-google-grocery_and_pharmacy,Arkansas-google-parks,Arkansas-google-transit_stations,Arkansas-google-workplaces,Arkansas-google-residential,Arkansas-jh_beta_7,Arkansas-jh_gamma_7,Arkansas-cdc_beta_7,Arkansas-cdc_gamma_7,Arkansas-jh_beta_14,Arkansas-jh_gamma_14,Arkansas-cdc_beta_14,Arkansas-cdc_gamma_14,Arkansas-jh_beta_30,Arkansas-jh_gamma_30,Arkansas-cdc_beta_30,Arkansas-cdc_gamma_30,Arkansas-census_pop,Arkansas-jh_confirmed,Arkansas-jh_death,Arkansas-cdc_confirmed,Arkansas-cdc_death,Arkansas-jh_confirmed_ratio,Arkansas-jh_death_ratio,Arkansas-cdc_confirmed_ratio,Arkansas-cdc_death_ratio
01-01-2021,98.27,98.24,-33.0,-27.0,0.0,-38.0,-70.0,23.0,0.0250000008114192,3.9758450746066775e-05,0.0250000008114192,3.9758450746066775e-05,0.0250000489930695,0.0001805345837098,0.0250000490022484,0.0001805108191259,0.0250000199933333,0.0001797953216387,0.0250000199893383,0.0001797479557316,3017804,229442,3711,229442,3711,0.0760294571814471,0.0012297021277723,0.0760294571814471,0.0012297021277723
01-02-2021,121.65,125.8,-19.0,-9.0,-25.0,-12.0,-19.0,9.0,0.0250000008533467,4.168395218327824e-05,0.0250000008533467,4.168395218327824e-05,0.0250000466286638,0.0001836702489034,0.0250000476791901,0.0001863940738793,0.0250000203836922,0.0001840616906684,0.025000020380252,0.0001840182277984,3017804,231442,3729,231442,3729,0.0766921907453234,0.0012356667298472,0.0766921907453234,0.0012356667298472
01-03-2021,100.79,93.92,-11.0,-6.0,12.0,-2.0,-14.0,5.0,0.0250000009756954,4.75444997127028e-05,0.0250000009756954,4.75444997127028e-05,0.025000039509853,0.000174266491746,0.025000039509853,0.000174266491746,0.0250000200978523,0.0001821826200769,0.0250000200949244,0.000182143028925,3017804,233475,3749,233475,3749,0.0773658594130036,0.001242294065486,0.0773658594130036,0.001242294065486
01-04-2021,118.05,139.34,-2.0,2.0,2.0,-8.0,-25.0,7.0,0.0250000009195233,4.5900456782232845e-05,0.0250000009195233,4.5900456782232845e-05,0.0250000350026666,0.0001675814551163,0.0250000350026666,0.0001675814551163,0.0250000198182926,0.0001804634031878,0.0250000198158215,0.00018042749438,3017804,234781,3800,234781,3800,0.0777986244302148,0.0012591937713648,0.0777986244302148,0.0012591937713648
01-05-2021,124.26,141.33,-5.0,3.0,23.0,-8.0,-23.0,7.0,0.0250000008388295,4.249131136472176e-05,0.0250000008388295,4.249131136472176e-05,0.0250000303159701,0.0001566797014215,0.0250000303159701,0.0001566797014215,0.0250000195906976,0.0001789625909712,0.0250000195886253,0.000178930069404,3017804,238888,3836,238888,3836,0.0791595478036347,0.0012711229755146,0.0791595478036347,0.0012711229755146
01-06-2021,111.26,136.33,-12.0,-4.0,-3.0,-11.0,-22.0,8.0,0.0250000007168679,3.7133773462776965e-05,0.0250000007168679,3.7133773462776965e-05,0.0250000272596321,0.0001521478324181,0.0250000272596321,0.0001521478324181,0.0250000193232548,0.0001769066658958,0.0250000193215296,0.0001768772643788,3017804,242593,3901,242593,3901,0.0803872617307154,0.0012926618163406,0.0803872617307154,0.0012926618163406
01-07-2021,112.78,131.37,-16.0,-7.0,-12.0,-15.0,-24.0,10.0,0.0250000007772337,3.894274855019974e-05,0.0250000007772337,3.894274855019974e-05,0.025000024847931,0.0001509657682397,0.025000024847931,0.0001509657682397,0.0250000188925482,0.0001729830568718,0.0250000188911277,0.0001729565970943,3017804,245916,3926,245916,3926,0.0814883935470958,0.001300945985889,0.0814883935470958,0.001300945985889
01-08-2021,135.54,158.06,-14.0,-7.0,0.0,-11.0,-21.0,9.0,0.0250000007883596,3.92003136577092e-05,0.0250000007883596,3.92003136577092e-05,0.0250000221981087,0.0001522291656481,0.0250000221981087,0.0001522291656481,0.0250000185957422,0.0001706805975434,0.0250000185945996,0.0001706571302406,3017804,248860,3966,248860,3966,0.0824639373531216,0.0013142006571666,0.0824639373531216,0.0013142006571666
01-09-2021,126.43,144.36,-16.0,-6.0,-18.0,-4.0,-9.0,6.0,0.025000000823214,4.05850540848213e-05,0.025000000823214,4.05850540848213e-05,0.025000020445925,0.0001535400212755,0.025000020445925,0.0001535400212755,0.0250000184111268,0.0001694330172458,0.025000018410226,0.0001694124115136,3017804,251746,4010,251746,4010,0.0834202618857951,0.0013287807955718,0.0834202618857951,0.0013287807955718
01-10-2021,92.47,96.33,-15.0,-4.0,-21.0,-10.0,-14.0,6.0,0.0250000009333146,4.526704626735601e-05,0.0250000009333146,4.526704626735601e-05,0.0250000218633292,0.0001683650927321,0.0250000218633292,0.0001683650927321,0.0250000182575989,0.0001684046994861,0.0250000182569048,0.0001683868136268,3017804,255076,4043,255076,4043,0.084523713269649,0.0013397158993758,0.084523713269649,0.0013397158993758
01-11-2021,110.75,138.84,-14.0,-8.0,-17.0,-14.0,-24.0,9.0,0.0250000010223051,4.929627941356575e-05,0.0250000010223051,4.929627941356575e-05,0.0250000206300181,0.0001666099910152,0.0250000206300181,0.0001666099910152,0.0250000175962609,0.0001626236583919,0.0250000175957445,0.000162608422187,3017804,256344,4081,256344,4081,0.0849438863491466,0.0013523078370894,0.0849438863491466,0.0013523078370894
01-12-2021,115.46,138.91,-14.0,-5.0,8.0,-7.0,-23.0,8.0,0.025000000968235,4.714960079392365e-05,0.025000000968235,4.714960079392365e-05,0.0250000180279004,0.0001584014509701,0.0250000180279004,0.0001584014509701,0.0250000173558468,0.0001608443443809,0.0250000173554771,0.0001608316147575,3017804,259553,4121,259553,4121,0.086007242352386,0.001365562508367,0.086007242352386,0.001365562508367
01-13-2021,116.05,144.37,-13.0,-6.0,20.0,-9.0,-22.0,7.0,0.0250000009934828,4.8278100657947486e-05,0.0250000009934828,4.8278100657947486e-05,0.0250000065566544,0.0001347671574149,0.0250000065566544,0.0001347671574149,0.0250000172908749,0.0001605069078476,0.0250000172906228,0.0001604965018931,3017804,262020,4186,262020,4186,0.0868247242034273,0.0013871013491929,0.0868247242034273,0.0013871013491929
01-14-2021,121.06,141.2,-16.0,-8.0,16.0,-10.0,-23.0,8.0,0.0250000009272308,4.486896733861461e-05,0.0250000009272308,4.486896733861461e-05,0.0250000068154658,0.0001396006673768,0.0250000068154658,0.0001396006673768,0.0250000170722631,0.0001584933335404,0.0250000170721042,0.0001584851632654,3017804,264511,4228,264511,4228,0.0876501588572352,0.0014010187540343,0.0876501588572352,0.0014010187540343
01-15-2021,140.03,160.83,-17.0,-10.0,0.0,-12.0,-24.0,9.0,0.02500000103896,4.935180143002115e-05,0.02500000103896,4.935180143002115e-05,0.025000006973806,0.0001424450282173,0.025000006973806,0.0001424450282173,0.0250000171542144,0.0001595287230164,0.0250000171541263,0.0001595227312981,3017804,267635,4263,267635,4263,0.0886853486840099,0.0014126165914022,0.0886853486840099,0.0014126165914022
01-16-2021,132.65,160.09,-20.0,-10.0,-12.0,-7.0,-11.0,6.0,0.0250000010628098,5.040856332411095e-05,0.0250000010628098,5.040856332411095e-05,0.0250000072183191,0.0001474934393101,0.0250000072183191,0.0001474934393101,0.0250000165812579,0.0001542937776225,0.0250000165812193,0.0001542898756055,3017804,270178,4293,270178,4293,0.0895280144104786,0.0014225575948603,0.0895280144104786,0.0014225575948603
01-17-2021,100.55,106.22,-17.0,-10.0,5.0,-12.0,-16.0,5.0,0.0250000010451463,4.99956027283904e-05,0.0250000010451463,4.99956027283904e-05,0.0250000076756286,0.0001575739612354,0.0250000076756286,0.0001575739612354,0.0250000163152131,0.0001522180953692,0.0250000163152031,0.0001522161956501,3017804,271154,4311,271122,4311,0.0898514283896502,0.0014285221969352,0.0898408246526282,0.0014285221969352
01-18-2021,119.62,134.35,-15.0,-12.0,9.0,-14.0,-40.0,12.0,0.0250000010440917,5.072187931013294e-05,0.0250000010440917,5.072187931013294e-05,0.0250000080182999,0.0001657643280445,0.0250000080182999,0.0001657643280445,0.0250000162375572,0.000152058054969,0.0250000163507025,0.000153157356992,3017804,272263,4343,272263,4343,0.0902189141508196,0.0014391259339572,0.0902189141508196,0.0014391259339572
01-19-2021,114.71,136.25,-16.0,-7.0,12.0,-11.0,-23.0,8.0,0.025000001009112,4.978776150875287e-05,0.025000001009112,4.978776150875287e-05,0.0250000077452212,0.0001606365209664,0.0250000077452212,0.0001606365209664,0.0250000157032233,0.0001474332591455,0.0250000157032233,0.0001474332591455,3017804,273594,4386,273594,4386,0.0906599633375792,0.0014533747055806,0.0906599633375792,0.0014533747055806
