date,Connecticut-apple-driving,Connecticut-apple-walking,Connecticut-google-retail_and_recreation,Connecticut-google-grocery_and_pharmacy,Connecticut-google-parks,Connecticut-google-transit_stations,Connecticut-google-workplaces,Connecticut-google-residential,Connecticut-jh_beta_7,Connecticut-jh_gamma_7,Connecticut-cdc_beta_7,Connecticut-cdc_gamma_7,Connecticut-jh_beta_14,Connecticut-jh_gamma_14,Connecticut-cdc_beta_14,Connecticut-cdc_gamma_14,Connecticut-jh_beta_30,Connecticut-jh_gamma_30,Connecticut-cdc_beta_30,Connecticut-cdc_gamma_30,Connecticut-census_pop,Connecticut-jh_confirmed,Connecticut-jh_death,Connecticut-cdc_confirmed,Connecticut-cdc_death,Connecticut-jh_confirmed_ratio,Connecticut-jh_death_ratio,Connecticut-cdc_confirmed_ratio,Connecticut-cdc_death_ratio
01-01-2021,76.63,85.85,-48.0,-40.0,-15.0,-59.0,-77.0,29.0,0.0250000003522721,2.213422600330748e-05,0.0250000003522721,2.213422600330748e-05,0.025000092872808,0.0001646265387408,0.025000092872808,0.0001646265387408,0.0249999265264913,0.0001958241695218,0.0249999265264913,0.0001958241695218,3565287,185708,5995,185708,5995,0.0520878122855186,0.0016814915601464,0.0520878122855186,0.0016814915601464
01-02-2021,108.51,123.47,-23.0,-13.0,44.0,-30.0,-21.0,9.0,0.0250000004120223,2.5013314658058065e-05,0.0250000004120223,2.5013314658058065e-05,0.0250000878955437,0.0001622512591048,0.0250000878955437,0.0001622512591048,0.0249999162483643,0.0001855952162014,0.0249999162483643,0.0001855952162014,3565287,190120,6099,190120,6099,0.0533253003194413,0.0017106617223241,0.0533253003194413,0.0017106617223241
01-03-2021,78.1,86.24,-30.0,-18.0,-33.0,-34.0,-17.0,9.0,0.0250000005383653,2.9830034255445174e-05,0.0250000005383653,2.9830034255445174e-05,0.0250001126830174,0.0001841579384679,0.0250001126830174,0.0001841579384679,0.0249998824379646,0.0001833120503193,0.0249998824379646,0.0001833120503193,3565287,190120,6099,190120,6099,0.0533253003194413,0.0017106617223241,0.0533253003194413,0.0017106617223241
01-04-2021,98.6,114.89,-20.0,-9.0,-14.0,-37.0,-34.0,13.0,0.0250000006222314,3.350004095388293e-05,0.0250000006222314,3.350004095388293e-05,0.025000135293684,0.0002031796355368,0.025000135293684,0.0002031796355368,0.0249998749924686,0.0001807294972612,0.0249998749924686,0.0001807294972612,3565287,194636,6168,194636,6168,0.0545919585155416,0.0017300150029997,0.0545919585155416,0.0017300150029997
01-05-2021,104.4,119.44,-20.0,-6.0,-17.0,-37.0,-34.0,13.0,0.0250000004776775,2.7172567684337326e-05,0.0250000004776775,2.7172567684337326e-05,0.0250000930421834,0.0001679922503922,0.0250000930421834,0.0001679922503922,0.0249998568338598,0.0001908889436866,0.0249998568338598,0.0001908889436866,3565287,196968,6192,196968,6192,0.0552460433059105,0.0017367465788869,0.0552460433059105,0.0017367465788869
01-06-2021,102.43,120.16,-22.0,-12.0,-18.0,-39.0,-35.0,14.0,0.0250000005288109,2.92916558928402e-05,0.0250000005288109,2.92916558928402e-05,0.0250000963885134,0.0001720463199866,0.0250000963885134,0.0001720463199866,0.0249998376058706,0.0002008355940864,0.0249998376058706,0.0002008355940864,3565287,199454,6230,199454,6230,0.0559433223748887,0.0017474049073749,0.0559433223748887,0.0017474049073749
01-07-2021,104.11,119.31,-24.0,-12.0,-17.0,-39.0,-33.0,14.0,0.0250000005295768,2.937316711551092e-05,0.0250000005295768,2.937316711551092e-05,0.0250000961914649,0.0001729195215682,0.0250000961914649,0.0001729195215682,0.0249998183618611,0.0001778947133174,0.0249998183618611,0.0001778947133174,3565287,202758,6287,202758,6287,0.0568700359886875,0.0017633924001069,0.0568700359886875,0.0017633924001069
01-08-2021,117.59,134.11,-26.0,-16.0,-18.0,-41.0,-32.0,15.0,0.0250000005714534,3.098958900732141e-05,0.0250000005714534,3.098958900732141e-05,0.0250000862922626,0.0001636668591169,0.0250000862922626,0.0001636668591169,0.0249997942766065,0.0001798883041377,0.0249997942766065,0.0001798883041377,3565287,205994,6324,205994,6324,0.0577776768041394,0.0017737702462662,0.0577776768041394,0.0017737702462662
01-09-2021,115.33,134.75,-21.0,-12.0,20.0,-35.0,-14.0,8.0,0.0250000006827641,3.563190314847282e-05,0.0250000006827641,3.563190314847282e-05,0.0250001076885623,0.0001848770128937,0.0250001076885623,0.0001848770128937,0.0249997885789699,0.0001755837407061,0.0249997885789699,0.0001755837407061,3565287,205994,6324,205994,6324,0.0577776768041394,0.0017737702462662,0.0577776768041394,0.0017737702462662
01-10-2021,90.27,101.25,-22.0,-14.0,5.0,-37.0,-14.0,7.0,0.025000000490822,2.807937435618876e-05,0.025000000490822,2.807937435618876e-05,0.0250001266730658,0.0002032905193739,0.0250001266730658,0.0002032905193739,0.0249997836441822,0.000170852704821,0.0249997836441822,0.000170852704821,3565287,205994,6324,205994,6324,0.0577776768041394,0.0017737702462662,0.0577776768041394,0.0017737702462662
