date,Delaware-apple-driving,Delaware-apple-walking,Delaware-google-retail_and_recreation,Delaware-google-grocery_and_pharmacy,Delaware-google-parks,Delaware-google-transit_stations,Delaware-google-workplaces,Delaware-google-residential,Delaware-jh_beta_7,Delaware-jh_gamma_7,Delaware-cdc_beta_7,Delaware-cdc_gamma_7,Delaware-jh_beta_14,Delaware-jh_gamma_14,Delaware-cdc_beta_14,Delaware-cdc_gamma_14,Delaware-jh_beta_30,Delaware-jh_gamma_30,Delaware-cdc_beta_30,Delaware-cdc_gamma_30,Delaware-census_pop,Delaware-jh_confirmed,Delaware-jh_death,Delaware-cdc_confirmed,Delaware-cdc_death,Delaware-jh_confirmed_ratio,Delaware-jh_death_ratio,Delaware-cdc_confirmed_ratio,Delaware-cdc_death_ratio
01-01-2021,84.41,108.54,-44.0,-38.0,-45.0,-72.0,-74.0,28.0,0.0250000005041681,2.897985304841905e-05,0.025,1e-05,0.0250000858351715,0.000171807326468,0.0250000021189926,4.936527792277667e-05,0.024999889954764,0.000153025278489,0.0249999645508999,9.16571578264445e-05,973764,58064,1065,59670,930,0.0596284109907534,0.0010936941599812,0.0612776812451476,0.0009550568720963
01-02-2021,119.92,147.72,-16.0,-8.0,-45.0,-31.0,-14.0,8.0,0.0250000004594718,2.744692582217223e-05,0.025,1e-05,0.0250000844957791,0.0001725115420169,0.0250000020390561,4.745959345293929e-05,0.0249998745077638,0.0001568360760543,0.0249999570888546,9.323702643730198e-05,973764,58873,1072,60298,930,0.0604592077751898,0.0011008827600938,0.061922601369531,0.0009550568720963
01-03-2021,86.63,101.97,-28.0,-18.0,-46.0,-46.0,-18.0,8.0,0.025000000446989,2.710372877304951e-05,0.0250000002899231,2.050026425616657e-05,0.0250000699986484,0.0001597202526209,0.0250000020926836,4.870979546860706e-05,0.0249998569228586,0.0001569054086037,0.0249999460748119,9.592817706044087e-05,973764,59484,1080,61174,930,0.0610866698707284,0.0011090983030795,0.0628222033264733,0.0009550568720963
01-04-2021,105.94,136.65,-15.0,-5.0,-24.0,-44.0,-35.0,12.0,0.0250000003653845,2.3685038150820103e-05,0.0250000002965247,2.133151542853098e-05,0.0250000587471058,0.0001471387696658,0.025000002104113,4.934389568241867e-05,0.0249998342493873,0.0001571806979932,0.0249999401018972,9.599203811547174e-05,973764,60333,1085,61961,937,0.0619585443700937,0.0011142330174457,0.0636304073676989,0.0009622454722088
01-05-2021,112.07,137.12,-15.0,-4.0,-17.0,-43.0,-34.0,12.0,0.0250000003380888,2.2569456580620927e-05,0.025000000328352,2.293927849513262e-05,0.025000056584367,0.000146382544622,0.0250000019346223,4.5997964342343176e-05,0.024999814569641,0.0001581962791342,0.0250000194710541,0.000172833982071,973764,61100,1093,62591,947,0.0627462095538549,0.0011224485604314,0.0642773813778287,0.000972514900941
01-06-2021,110.96,135.89,-17.0,-10.0,-20.0,-39.0,-34.0,13.0,0.0250000003501917,2.2998138680944257e-05,0.0250000003927374,2.5485539914242096e-05,0.0250000541598752,0.0001453133331125,0.0250000021421899,5.025082224276752e-05,0.0249998011871712,0.00015600594455,0.0250000097956266,9.152076023817008e-05,973764,61729,1102,63786,947,0.0633921566211114,0.0011316910462904,0.0655045781113288,0.000972514900941
01-07-2021,111.34,138.73,-18.0,-8.0,-18.0,-42.0,-34.0,13.0,0.025000000348464,2.275942741768453e-05,0.025,1e-05,0.0250000498466496,0.0001409775615068,0.0250000023557389,5.49412352777936e-05,0.0249997825752404,0.0001557999972833,0.0250000100383581,9.424247820731436e-05,973764,62949,1112,64359,949,0.0646450269264421,0.0011419604750226,0.0660930163776849,0.0009745687866875
01-08-2021,123.48,156.48,-22.0,-13.0,-35.0,-49.0,-33.0,14.0,0.0250000003807606,2.3876994418067726e-05,0.025,1e-05,0.0250000458231862,0.0001367928771967,0.0250000018587084,4.480440552044211e-05,0.0250000174272228,0.0001568295899453,0.0250000092881686,8.782644326185185e-05,973764,63503,1116,65368,969,0.065213953278207,0.0011460682465155,0.0671292017367657,0.0009951076441519
01-09-2021,118.39,147.43,-16.0,-7.0,-35.0,-41.0,-10.0,7.0,0.0250000004176622,2.548221386391936e-05,0.025,1e-05,0.0250000399598085,0.0001287921073894,0.0250000020583451,4.837460910164769e-05,0.0250000165111798,0.0001491607107474,0.0250000096656381,9.140708604445398e-05,973764,64475,1128,66206,969,0.0662121417509786,0.0011583915609942,0.0679897798645257,0.0009951076441519
01-10-2021,91.15,114.75,-20.0,-12.0,-11.0,-47.0,-13.0,6.0,0.0250000004421726,2.634473868016069e-05,0.0250000003040769,2.097693713162882e-05,0.0250000376518601,0.0001265211152557,0.0250000021532345,5.021778911945501e-05,0.0250000164146409,0.0001488057571168,0.0250000096772887,9.180053942402774e-05,973764,65273,1137,66921,972,0.0670316421638097,0.0011676340468532,0.0687240440188793,0.0009981884727716
