date,Florida-apple-driving,Florida-apple-walking,Florida-google-retail_and_recreation,Florida-google-grocery_and_pharmacy,Florida-google-parks,Florida-google-transit_stations,Florida-google-workplaces,Florida-google-residential,Florida-jh_beta_7,Florida-jh_gamma_7,Florida-cdc_beta_7,Florida-cdc_gamma_7,Florida-jh_beta_14,Florida-jh_gamma_14,Florida-cdc_beta_14,Florida-cdc_gamma_14,Florida-jh_beta_30,Florida-jh_gamma_30,Florida-cdc_beta_30,Florida-cdc_gamma_30,Florida-census_pop,Florida-jh_confirmed,Florida-jh_death,Florida-cdc_confirmed,Florida-cdc_death,Florida-jh_confirmed_ratio,Florida-jh_death_ratio,Florida-cdc_confirmed_ratio,Florida-cdc_death_ratio
01-01-2021,91.42,122.86,-37.0,-33.0,-2.0,-52.0,-72.0,22.0,0.025,1e-05,0.0250000003341161,2.226536065156533e-05,0.0250000016809494,4.131814236757261e-05,0.0250000022851962,5.234413483981894e-05,0.0250000074905899,7.359309867134841e-05,0.0250000083118355,7.944668940255124e-05,21477737,1323315,21673,1327994,23709,0.0616133347754467,0.0010090914140535,0.061831188267181,0.0011038872484563
01-02-2021,113.88,146.16,-22.0,-15.0,-21.0,-28.0,-23.0,7.0,0.025,1e-05,0.0250000003567553,2.3138417720835275e-05,0.0250000016765131,4.133137593366734e-05,0.0250000023652523,5.377561538831253e-05,0.0250000073789549,7.27511257856876e-05,0.0250000083507141,7.97439012407073e-05,21477737,1354833,21890,1338419,23856,0.0630808078150877,0.0010191948993508,0.0623165746000148,0.0011107315449481
01-03-2021,89.7,105.81,-21.0,-16.0,-32.0,-25.0,-19.0,6.0,0.025,1e-05,0.0250000003687982,2.3621383398114075e-05,0.0250000017670167,4.300767218614007e-05,0.0250000024866957,5.611922112100603e-05,0.0250000073064979,7.213720219342089e-05,0.0250000084136493,8.02641604853109e-05,21477737,1365436,21987,1349626,24021,0.0635744817994558,0.0010237112038386,0.0628383707277912,0.0011184139185613
01-04-2021,104.23,120.44,-16.0,-9.0,-30.0,-30.0,-30.0,8.0,0.025,1e-05,0.0250000003869476,2.435704371309809e-05,0.0250000018058505,4.365973663011588e-05,0.0250000025464855,5.715788398644163e-05,0.0250000071590582,7.081502497031499e-05,0.0250000084751423,8.076427274293795e-05,21477737,1376692,22090,1364795,24183,0.0640985593593961,0.0010285068673668,0.0635446369419646,0.0011259566126543
01-05-2021,105.98,119.95,-17.0,-8.0,-29.0,-32.0,-29.0,9.0,0.0250000002728786,2.0139355670046432e-05,0.0250000003947844,2.4665149332220145e-05,0.0250000018130138,4.368117137477065e-05,0.0250000026190755,5.848036334026969e-05,0.0250000071211763,7.053171222823439e-05,0.0250000085032644,8.091576667589563e-05,21477737,1392123,22188,1382168,24353,0.0648170242516704,0.0010330697316947,0.0643535210436742,0.0011338717854679
01-06-2021,101.55,116.5,-20.0,-12.0,-28.0,-37.0,-28.0,9.0,0.025000000278078,2.0382886193594272e-05,0.0250000004094326,2.52445897236172e-05,0.025000001891183,4.524744770203001e-05,0.0250000027013893,6.001161123155066e-05,0.0250000070881039,7.02757950573061e-05,0.0250000086515897,8.218534564811304e-05,21477737,1409906,22317,1401553,24536,0.0656449978878128,0.001039075951065,0.0652560835436247,0.0011423922362025
01-07-2021,105.08,117.34,-21.0,-12.0,-29.0,-36.0,-28.0,10.0,0.025,1e-05,0.0250000004177603,2.552228928567099e-05,0.0250000018886444,4.507693341978008e-05,0.0250000028325589,6.25542023637178e-05,0.0250000070288814,6.973617180995817e-05,0.0250000087566751,8.303740797542055e-05,21477737,1429722,22481,1420607,24683,0.0665676276788378,0.0010467117648381,0.0661432347365087,0.0011492365326942
01-08-2021,118.4,136.62,-21.0,-11.0,-33.0,-38.0,-27.0,10.0,0.0250000002748026,2.009401135344479e-05,0.0250000004229467,2.5733390750890634e-05,0.0250000019077238,4.525286926762044e-05,0.0250000029498024,6.490215895952023e-05,0.0250000070222092,6.963732091955567e-05,0.0250000088635674,8.396486807967906e-05,21477737,1449252,22666,1435619,24846,0.0674769413555999,0.0010553253352529,0.0668421910557895,0.0011568257866273
01-09-2021,112.54,139.25,-21.0,-12.0,-38.0,-40.0,-16.0,6.0,0.0250000003527799,2.317520155210184e-05,0.0250000004275843,2.593494433824405e-05,0.0250000021831665,5.07256430796928e-05,0.0250000261591033,0.0001074100758506,0.0250000070725157,7.00278342776019e-05,0.0250000089279883,8.453661292908503e-05,21477737,1464697,22804,1447864,25019,0.0681960580856353,0.001061750593184,0.0674123162975689,0.0011648806389611
01-10-2021,86.6,103.16,-20.0,-13.0,-35.0,-38.0,-19.0,6.0,0.0250000003245734,2.1849015992755586e-05,0.0250000004403521,2.6462356733678084e-05,0.0250000022017788,5.081150785908273e-05,0.0250000264719999,0.0001089650736257,0.0250000069605987,6.889718963135638e-05,0.0250000090300893,8.547276732015372e-05,21477737,1477010,22912,1459442,25191,0.0687693493965402,0.0010667790559126,0.067951386126015,0.0011728889314549
