date,Georgia-apple-driving,Georgia-apple-walking,Georgia-google-retail_and_recreation,Georgia-google-grocery_and_pharmacy,Georgia-google-parks,Georgia-google-transit_stations,Georgia-google-workplaces,Georgia-google-residential,Georgia-jh_beta_7,Georgia-jh_gamma_7,Georgia-cdc_beta_7,Georgia-cdc_gamma_7,Georgia-jh_beta_14,Georgia-jh_gamma_14,Georgia-cdc_beta_14,Georgia-cdc_gamma_14,Georgia-jh_beta_30,Georgia-jh_gamma_30,Georgia-cdc_beta_30,Georgia-cdc_gamma_30,Georgia-census_pop,Georgia-jh_confirmed,Georgia-jh_death,Georgia-cdc_confirmed,Georgia-cdc_death,Georgia-jh_confirmed_ratio,Georgia-jh_death_ratio,Georgia-cdc_confirmed_ratio,Georgia-cdc_death_ratio
01-01-2021,101.84,140.75,-45.0,-34.0,-30.0,-55.0,-75.0,27.0,0.025,1e-05,0.025,1e-05,0.0250000014644707,3.693582180168887e-05,0.0250000014644707,3.693582180168887e-05,0.0250000073858855,7.275036489757106e-05,0.0250000073858855,7.275036489757106e-05,10617423,677589,10958,677589,10958,0.0638185932688186,0.0010320771810636,0.0638185932688186,0.0010320771810636
01-02-2021,139.0,180.17,-19.0,-12.0,4.0,-19.0,-20.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000015275948,3.810728230091657e-05,0.0250000015275948,3.810728230091657e-05,0.025000007241244,7.146186053428295e-05,0.025000007241244,7.146186053428295e-05,10617423,685122,10960,685122,10960,0.0645280874652917,0.0010322655506896,0.0645280874652917,0.0010322655506896
01-03-2021,107.49,123.17,-18.0,-13.0,-11.0,-18.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000015074641,3.7815304574038736e-05,0.0250000015074641,3.7815304574038736e-05,0.0250000068356669,6.782782007784836e-05,0.0250000068356669,6.782782007784836e-05,10617423,690900,10964,690900,10964,0.0650722873149162,0.0010326422899417,0.0650722873149162,0.0010326422899417
01-04-2021,118.12,138.63,-12.0,-4.0,-8.0,-27.0,-33.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000016398424,4.092979093371485e-05,0.0250000016398424,4.092979093371485e-05,0.0250000064307774,6.42923567543419e-05,0.0250000064307774,6.42923567543419e-05,10617423,696063,10971,696063,10971,0.065558563504534,0.0010333015836328,0.065558563504534,0.0010333015836328
01-05-2021,125.05,140.08,-9.0,1.0,3.0,-29.0,-34.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000016909018,4.245073559520049e-05,0.0250000016909018,4.245073559520049e-05,0.0250000060996839,6.147692877047476e-05,0.0250000060996839,6.147692877047476e-05,10617423,706154,11072,706154,11072,0.06650898245271,0.0010428142497477,0.06650898245271,0.0010428142497477
01-06-2021,111.66,124.0,-15.0,-8.0,-15.0,-33.0,-32.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000016190052,4.095249547195422e-05,0.0250000016190052,4.095249547195422e-05,0.0250000062867524,6.330627193053234e-05,0.0250000062867524,6.330627193053234e-05,10617423,713840,11165,713840,11165,0.067232886925575,0.0010515734373585,0.067232886925575,0.0010515734373585
01-07-2021,111.84,119.15,-20.0,-9.0,-42.0,-37.0,-32.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000016166362,4.061732255608899e-05,0.0250000016166362,4.061732255608899e-05,0.0250000062209313,6.271168217585147e-05,0.0250000062209313,6.271168217585147e-05,10617423,723630,11230,723630,11230,0.0681549562450323,0.0010576954502048,0.0681549562450323,0.0010576954502048
01-08-2021,126.33,139.44,-22.0,-12.0,-32.0,-36.0,-31.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000016032534,3.99820768735873e-05,0.0250000016032534,3.99820768735873e-05,0.0250000063371505,6.380601175857952e-05,0.0250000063371505,6.380601175857952e-05,10617423,736926,11314,736926,11314,0.0694072375189346,0.0010656069744984,0.0694072375189346,0.0010656069744984
01-09-2021,127.26,149.41,-18.0,-9.0,-26.0,-32.0,-12.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000016661093,4.082607547330102e-05,0.0250000016661093,4.082607547330102e-05,0.0250000062892817,6.32790676383486e-05,0.0250000062892817,6.32790676383486e-05,10617423,748852,11457,748852,11457,0.0705304855990008,0.0010790754027601,0.0705304855990008,0.0010790754027601
01-10-2021,97.3,106.23,-18.0,-10.0,-17.0,-34.0,-17.0,6.0,0.0250000003293315,2.15894315781748e-05,0.0250000003293315,2.15894315781748e-05,0.0250000017775214,4.231149692814881e-05,0.0250000017775214,4.231149692814881e-05,0.0250000062377132,6.257875838460671e-05,0.0250000062377132,6.257875838460671e-05,10617423,757045,11458,757045,11458,0.0713021417720665,0.0010791695875731,0.0713021417720665,0.0010791695875731
01-11-2021,106.0,114.49,-21.0,-9.0,-39.0,-38.0,-31.0,12.0,0.0250000004010179,2.478333304004727e-05,0.0250000004010179,2.478333304004727e-05,0.0250000020388448,4.749642828823481e-05,0.0250000020388448,4.749642828823481e-05,0.025000006151475,6.16791663649531e-05,0.025000006151475,6.16791663649531e-05,10617423,764499,11475,764499,11475,0.0720041953683111,0.0010807707293945,0.0720041953683111,0.0010807707293945
01-12-2021,109.04,119.22,-18.0,-6.0,-31.0,-36.0,-32.0,12.0,0.0250000004485257,2.724646770017203e-05,0.0250000004485257,2.724646770017203e-05,0.025000002253192,5.200962880275381e-05,0.025000002253192,5.200962880275381e-05,0.0250000061205893,6.141465604293338e-05,0.0250000061205893,6.141465604293338e-05,10617423,773692,11662,773692,11662,0.0728700363543959,0.001098383289429,0.0728700363543959,0.001098383289429
01-13-2021,111.22,125.14,-18.0,-10.0,-20.0,-35.0,-32.0,11.0,0.0250000004470267,2.6881460621478266e-05,0.0250000004470267,2.6881460621478266e-05,0.0250000022752458,5.173485939334465e-05,0.0250000022752458,5.173485939334465e-05,0.0250000065124354,6.484310234892429e-05,0.0250000065124354,6.484310234892429e-05,10617423,782288,11803,782288,11803,0.0736796490071084,0.0011116633480647,0.0736796490071084,0.0011116633480647
01-14-2021,118.16,133.25,-20.0,-11.0,-22.0,-34.0,-32.0,11.0,0.0250000004737606,2.7503951443725235e-05,0.0250000004737606,2.7503951443725235e-05,0.0250000024220292,5.384893931434404e-05,0.0250000024220292,5.384893931434404e-05,0.0250000067843897,6.69812818277395e-05,0.0250000067843897,6.69812818277395e-05,10617423,791324,11975,791324,11975,0.0745307029775492,0.001127863135904,0.0745307029775492,0.001127863135904
01-15-2021,138.18,157.88,-21.0,-13.0,-7.0,-32.0,-31.0,11.0,0.0250000005610157,3.0490772153929e-05,0.0250000005610157,3.0490772153929e-05,0.0250000025628729,5.5525075924381e-05,0.0250000025628729,5.5525075924381e-05,0.0250000068769209,6.73503518162469e-05,0.0250000068769209,6.73503518162469e-05,10617423,801130,12138,801130,12138,0.0754542792540148,0.0011432152604261,0.0754542792540148,0.0011432152604261
01-16-2021,132.2,171.0,-21.0,-12.0,-20.0,-32.0,-14.0,7.0,0.0250000006461382,3.341632895285853e-05,0.0250000006461382,3.341632895285853e-05,0.0250000030451076,6.436449138893495e-05,0.0250000030451076,6.436449138893495e-05,0.0250000069588357,6.749252072737502e-05,0.0250000069588357,6.749252072737502e-05,10617423,809663,12291,809663,12291,0.076257958263507,0.0011576255368181,0.076257958263507,0.0011576255368181
01-17-2021,104.19,124.14,-21.0,-14.0,-9.0,-36.0,-19.0,6.0,0.025000000668832,3.390307129136908e-05,0.025000000668832,3.390307129136908e-05,0.0250000187466833,0.000100538001048,0.0250000187466833,0.000100538001048,0.0250000070814127,6.800533220925807e-05,0.0250000070814127,6.800533220925807e-05,10617423,815995,12296,815995,12296,0.0768543364995441,0.0011580964608832,0.0768543364995441,0.0011580964608832
01-18-2021,113.91,123.77,-18.0,-11.0,1.0,-35.0,-47.0,14.0,0.0250000007957218,3.987577987602548e-05,0.0250000007957218,3.987577987602548e-05,0.025000021594629,0.00011302163402,0.025000021594629,0.00011302163402,0.025000007318227,6.989716881582648e-05,0.025000007318227,6.989716881582648e-05,10617423,820952,12360,820952,12360,0.07732121061768,0.0011641242889164,0.07732121061768,0.0011641242889164
01-19-2021,108.85,118.21,-21.0,-8.0,-20.0,-35.0,-32.0,11.0,0.0250000008834951,4.442028073018159e-05,0.0250000008834951,4.442028073018159e-05,0.0250000238224358,0.0001244298820453,0.0250000238224358,0.0001244298820453,0.0250000074999908,7.131512922105362e-05,0.0250000074999908,7.131512922105362e-05,10617423,828581,12572,828444,12582,0.0780397465562029,0.0011840914692764,0.0780268432368193,0.0011850333174066
01-20-2021,106.53,116.42,-22.0,-14.0,-12.0,-37.0,-33.0,11.0,0.025000000818864,4.161487314919274e-05,0.0250000008231619,4.174520185141223e-05,0.02500002260976,0.0001248083464563,0.0250000227039028,0.0001249863338091,0.0250000080662261,7.621796144242806e-05,0.0250000080729401,7.626222083973155e-05,10617423,836649,12778,836649,12778,0.0787996296276412,0.0012034935407584,0.0787996296276412,0.0012034935407584
01-21-2021,110.45,116.6,-24.0,-13.0,-42.0,-38.0,-32.0,13.0,0.0250000008438226,4.209015982334382e-05,0.0250000008469674,4.220178414272763e-05,0.0250000228231222,0.0001283085043946,0.0250000228965516,0.0001284700893404,0.025000008642715,8.101981918210718e-05,0.0250000086488617,8.106182665634277e-05,10617423,844799,12889,844799,12889,0.0795672358537471,0.0012139480550035,0.0795672358537471,0.0012139480550035
01-22-2021,130.39,146.33,-22.0,-13.0,-13.0,-35.0,-30.0,11.0,0.0250000008164425,4.058772723605818e-05,0.0250000008186184,4.068072081405608e-05,0.0250000228370097,0.0001347090533136,0.0250000228911597,0.0001348544911183,0.0250000088128263,8.222240157988427e-05,0.0250000088183837,8.226186203902399e-05,10617423,853173,13060,853173,13060,0.0803559394779693,0.0012300536580298,0.0803559394779693,0.0012300536580298
01-23-2021,134.45,170.19,-18.0,-11.0,20.0,-33.0,-11.0,6.0,0.0250000008148896,4.008120519875468e-05,0.0250000008162781,4.015564412862111e-05,0.0250000213746951,0.0001388320552753,0.0250000214093542,0.000138961475221,0.0250000090913903,8.439371956261064e-05,0.0250000090964153,8.443082977023382e-05,10617423,862158,13246,862158,13246,0.0812021900229462,0.0012475720332513,0.0812021900229462,0.0012475720332513
01-24-2021,97.11,108.17,-22.0,-13.0,0.0,-36.0,-17.0,6.0,0.0250000008410801,4.076547722287582e-05,0.0250000008418576,4.082124667878958e-05,0.0250000190898371,0.0001369959828443,0.025000019108185,0.0001371104423449,0.0250000093203474,8.615422147207431e-05,0.0250000093248597,8.618894218224881e-05,10617423,866911,13250,866911,13250,0.0816498504392261,0.0012479487725034,0.0816498504392261,0.0012479487725034
01-25-2021,106.05,114.12,-23.0,-13.0,-20.0,-37.0,-30.0,10.0,0.0250000009806377,4.747922978329956e-05,0.025000000980981,4.751626767054914e-05,0.0250000186228457,0.0001506049397536,0.025000018628386,0.0001507056890853,0.0250000096297832,8.88585748929895e-05,0.0250000096338542,8.889123903563003e-05,10617423,870828,13303,870828,13303,0.082018772351822,0.0012529405675934,0.082018772351822,0.0012529405675934
01-26-2021,108.56,115.93,-21.0,-12.0,-16.0,-37.0,-31.0,11.0,0.0250000010134139,4.989693205198113e-05,0.025000001013499,4.99153492741868e-05,0.0250000168183374,0.0001609729925781,0.0250000168126767,0.0001610606772681,0.0250000099019857,9.132514725456512e-05,0.0250000099056592,9.135592218585593e-05,10617423,879221,13482,879221,13482,0.0828092654874916,0.0012697996491238,0.0828092654874916,0.0012697996491238
01-27-2021,108.01,112.66,-22.0,-14.0,-29.0,-38.0,-31.0,12.0,0.0250000008958123,4.505376778896087e-05,0.0250000008828808,4.450320551061349e-05,0.0250000068242023,0.0001417235803716,0.0250000068264946,0.0001417930890813,0.0250000105224704,9.705430260920916e-05,0.0250000105257778,9.708328147682245e-05,10617423,885605,13643,885605,13643,0.0834105413338057,0.0012849634040199,0.0834105413338057,0.0012849634040199
01-28-2021,116.91,121.75,-21.0,-12.0,-28.0,-35.0,-30.0,11.0,0.0250000008054029,4.091292911835839e-05,0.0250000008054029,4.091292911835839e-05,0.0250000068264535,0.0001417755630854,0.0250000068281311,0.0001418350961085,0.0250000111374775,0.0001027377181086,0.0250000111404422,0.0001027649383666,10617423,892957,13827,892957,13827,0.0841029880791224,0.0013022934096154,0.0841029880791224,0.0013022934096154
01-29-2021,136.77,153.03,-19.0,-13.0,0.0,-33.0,-28.0,9.0,0.025000000864368,4.282705358038508e-05,0.025000000864368,4.282705358038508e-05,0.0250000067283974,0.0001392676119416,0.0250000067295579,0.000139317208549,0.0250000112251227,0.0001035301404441,0.0250000112277448,0.0001035554425802,10617423,899515,13986,899515,13986,0.0847206520829018,0.0013172687948855,0.0847206520829018,0.0013172687948855
