date,Hawaii-apple-driving,Hawaii-apple-walking,Hawaii-google-retail_and_recreation,Hawaii-google-grocery_and_pharmacy,Hawaii-google-parks,Hawaii-google-transit_stations,Hawaii-google-workplaces,Hawaii-google-residential,Hawaii-jh_beta_7,Hawaii-jh_gamma_7,Hawaii-cdc_beta_7,Hawaii-cdc_gamma_7,Hawaii-jh_beta_14,Hawaii-jh_gamma_14,Hawaii-cdc_beta_14,Hawaii-cdc_gamma_14,Hawaii-jh_beta_30,Hawaii-jh_gamma_30,Hawaii-cdc_beta_30,Hawaii-cdc_gamma_30,Hawaii-census_pop,Hawaii-jh_confirmed,Hawaii-jh_death,Hawaii-cdc_confirmed,Hawaii-cdc_death,Hawaii-jh_confirmed_ratio,Hawaii-jh_death_ratio,Hawaii-cdc_confirmed_ratio,Hawaii-cdc_death_ratio
01-01-2021,64.81,69.72,-53.0,-45.0,-38.0,-68.0,-75.0,28.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000013374311,2.132003866144992e-05,0.0250000013071817,2.1052922640295545e-05,1415872,22397,289,21258,287,0.0158185203182208,0.0002041144962256,0.0150140690683903,0.0002027019391583
01-02-2021,78.63,72.32,-34.0,-22.0,-33.0,-55.0,-31.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000013738724,2.1689913516399697e-05,0.0250000013423233,2.1409678658057236e-05,1415872,22448,289,21417,287,0.0158545405234371,0.0002041144962256,0.0151263673552411,0.0002027019391583
01-03-2021,65.68,60.39,-34.0,-23.0,-39.0,-51.0,-23.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000001329484,2.1342462688102472e-05,0.0250000012993357,2.1073430333399204e-05,1415872,22560,289,21539,287,0.0159336437192062,0.0002041144962256,0.0152125333363467,0.0002027019391583
01-04-2021,73.68,67.52,-30.0,-20.0,-42.0,-49.0,-35.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,22602,289,21614,287,0.0159633074176196,0.0002041144962256,0.0152655042263707,0.0002027019391583
01-05-2021,73.7,65.91,-31.0,-16.0,-46.0,-53.0,-34.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,22757,289,21721,287,0.0160727805903358,0.0002041144962256,0.0153410760294715,0.0002027019391583
01-06-2021,70.23,63.65,-34.0,-22.0,-42.0,-55.0,-34.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,22917,299,21846,297,0.0161857851557202,0.0002111772815621,0.0154293608461781,0.0002097647244948
01-07-2021,71.75,63.19,-35.0,-20.0,-45.0,-54.0,-35.0,14.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,23400,299,22133,297,0.0165269176874745,0.0002111772815621,0.0156320627853365,0.0002097647244948
01-08-2021,77.03,68.74,-35.0,-21.0,-42.0,-55.0,-31.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,23704,303,22372,301,0.016741626361705,0.0002140023956967,0.0158008633548795,0.0002125898386294
01-09-2021,76.06,67.1,-35.0,-21.0,-37.0,-57.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,23897,308,22600,305,0.0168779381186999,0.000217533788365,0.0159618948605523,0.000215414952764
01-10-2021,62.99,56.53,-36.0,-22.0,-38.0,-59.0,-24.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,24045,309,22778,306,0.0169824673416806,0.0002182400668987,0.0160876124395425,0.0002161212312977
01-11-2021,67.87,62.64,-36.0,-25.0,-48.0,-55.0,-33.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,24201,309,22940,306,0.0170926467929304,0.0002182400668987,0.0162020295619943,0.0002161212312977
01-12-2021,67.76,60.03,-35.0,-22.0,-46.0,-56.0,-34.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,1415872,24261,309,23048,306,0.0171350235049496,0.0002182400668987,0.0162783076436288,0.0002161212312977
