date,Idaho-apple-driving,Idaho-apple-walking,Idaho-google-retail_and_recreation,Idaho-google-grocery_and_pharmacy,Idaho-google-parks,Idaho-google-transit_stations,Idaho-google-workplaces,Idaho-google-residential,Idaho-jh_beta_7,Idaho-jh_gamma_7,Idaho-cdc_beta_7,Idaho-cdc_gamma_7,Idaho-jh_beta_14,Idaho-jh_gamma_14,Idaho-cdc_beta_14,Idaho-cdc_gamma_14,Idaho-jh_beta_30,Idaho-jh_gamma_30,Idaho-cdc_beta_30,Idaho-cdc_gamma_30,Idaho-census_pop,Idaho-jh_confirmed,Idaho-jh_death,Idaho-cdc_confirmed,Idaho-cdc_death,Idaho-jh_confirmed_ratio,Idaho-jh_death_ratio,Idaho-cdc_confirmed_ratio,Idaho-cdc_death_ratio
01-01-2021,116.26,129.16,-32.0,-26.0,28.0,-41.0,-72.0,22.0,0.0250000003570627,2.2369213491629396e-05,0.0250000003570627,2.2369213491629396e-05,0.0250000031513266,6.961605045822826e-05,0.0250000031513266,6.961605045822826e-05,0.0250000124877852,0.0001194175956402,0.0250000124877852,0.0001194175956402,1787065,141077,1436,141077,1436,0.0789434072067887,0.0008035521931211,0.0789434072067887,0.0008035521931211
01-02-2021,138.56,153.77,-15.0,-7.0,-2.0,-11.0,-16.0,7.0,0.0250000004574083,2.669709003390073e-05,0.0250000004574083,2.669709003390073e-05,0.0250000030872547,6.801716749660355e-05,0.0250000030872547,6.801716749660355e-05,0.0250000116489754,0.0001118729554739,0.0250000116489754,0.0001118729554739,1787065,142199,1448,142199,1448,0.0795712523047566,0.000810267113955,0.0795712523047566,0.000810267113955
01-03-2021,105.36,104.25,-7.0,-7.0,23.0,-3.0,-12.0,5.0,0.0250000005172643,2.9479593400471908e-05,0.0250000005172643,2.9479593400471908e-05,0.025000003481987,7.637300810373873e-05,0.025000003481987,7.637300810373873e-05,0.0250000110747108,0.0001068946120655,0.0250000110747108,0.0001068946120655,1787065,142507,1448,142507,1448,0.0797436019394929,0.000810267113955,0.0797436019394929,0.000810267113955
01-04-2021,133.93,142.06,-3.0,1.0,-4.0,-13.0,-20.0,6.0,0.0250000005781662,3.275933299850527e-05,0.0250000005781662,3.275933299850527e-05,0.0250000036570299,8.054847301072463e-05,0.0250000036570299,8.054847301072463e-05,0.0250000106218978,0.0001032194093745,0.0250000106218978,0.0001032194093745,1787065,143305,1459,143305,1459,0.080190144174946,0.0008164224580527,0.080190144174946,0.0008164224580527
01-05-2021,139.25,159.65,-5.0,5.0,23.0,-12.0,-23.0,8.0,0.0250000004719836,2.8626925735477296e-05,0.0250000004719836,2.8626925735477296e-05,0.0250000033564832,7.442336189178061e-05,0.0250000033564832,7.442336189178061e-05,0.0250000108575367,0.000106033716911,0.0250000108575367,0.000106033716911,1787065,144843,1471,144843,1471,0.0810507731951551,0.0008231373788866,0.0810507731951551,0.0008231373788866
01-06-2021,130.36,154.55,-7.0,-1.0,2.0,-19.0,-22.0,8.0,0.0250000004262626,2.679912462711036e-05,0.0250000004262626,2.679912462711036e-05,0.0250000033456736,7.443324284047589e-05,0.0250000033456736,7.443324284047589e-05,0.0250000110486054,0.000108278679827,0.0250000110486054,0.000108278679827,1787065,146106,1488,146106,1488,0.0817575186129211,0.0008326501834012,0.0817575186129211,0.0008326501834012
01-07-2021,135.86,153.46,-10.0,-3.0,5.0,-20.0,-23.0,9.0,0.0250000004452366,2.735813353313483e-05,0.0250000004452366,2.735813353313483e-05,0.0250000033960258,7.548190063579383e-05,0.0250000033960258,7.548190063579383e-05,0.0250000106182389,0.0001045299186925,0.0250000106182389,0.0001045299186925,1787065,147173,1517,147173,1517,0.0823545869904004,0.0008488779087498,0.0823545869904004,0.0008488779087498
01-08-2021,154.97,180.4,-12.0,-6.0,-3.0,-24.0,-22.0,9.0,0.02500000033598,2.179317693357925e-05,0.02500000033598,2.179317693357925e-05,0.0250000031195695,6.87894891248426e-05,0.0250000031195695,6.87894891248426e-05,0.0250000102213918,0.0001009928271743,0.0250000102213918,0.0001009928271743,1787065,148258,1523,148258,1523,0.0829617277491305,0.0008522353691667,0.0829617277491305,0.0008522353691667
01-09-2021,149.84,171.11,-11.0,-4.0,1.0,-14.0,-9.0,5.0,0.0250000004494703,2.641712826521016e-05,0.0250000004494703,2.641712826521016e-05,0.025000003538634,7.76010733469174e-05,0.025000003538634,7.76010733469174e-05,0.0250000094645938,9.404849511356166e-05,0.0250000094645938,9.404849511356166e-05,1787065,149235,1528,149235,1528,0.0835084342203557,0.0008550332528475,0.0835084342203557,0.0008550332528475
01-10-2021,105.01,107.96,0.0,-1.0,24.0,-10.0,-12.0,4.0,0.0250000004475984,2.658372240687073e-05,0.0250000004475984,2.658372240687073e-05,0.0250000037631776,8.2639252897042e-05,0.0250000037631776,8.2639252897042e-05,0.0250000086300408,8.629526551532349e-05,0.0250000086300408,8.629526551532349e-05,1787065,149667,1534,149667,1534,0.0837501713703754,0.0008583907132644,0.0837501713703754,0.0008583907132644
