date,Illinois-apple-driving,Illinois-apple-walking,Illinois-google-retail_and_recreation,Illinois-google-grocery_and_pharmacy,Illinois-google-parks,Illinois-google-transit_stations,Illinois-google-workplaces,Illinois-google-residential,Illinois-jh_beta_7,Illinois-jh_gamma_7,Illinois-cdc_beta_7,Illinois-cdc_gamma_7,Illinois-jh_beta_14,Illinois-jh_gamma_14,Illinois-cdc_beta_14,Illinois-cdc_gamma_14,Illinois-jh_beta_30,Illinois-jh_gamma_30,Illinois-cdc_beta_30,Illinois-cdc_gamma_30,Illinois-census_pop,Illinois-jh_confirmed,Illinois-jh_death,Illinois-cdc_confirmed,Illinois-cdc_death,Illinois-jh_confirmed_ratio,Illinois-jh_death_ratio,Illinois-cdc_confirmed_ratio,Illinois-cdc_death_ratio
01-01-2021,66.97,72.67,-61.0,-48.0,-59.0,-68.0,-80.0,31.0,0.0250000007364255,3.757138754450255e-05,0.0250000007364255,3.757138754450255e-05,0.0250000195974752,0.0001388573452155,0.0250000195974752,0.0001388573452155,0.0250000184106916,0.0001708300312833,0.0250000184106916,0.0001708300312833,12671821,963389,17978,963389,18173,0.0760260896993415,0.00141873847492,0.0760260896993415,0.0014341269498677
01-02-2021,96.94,100.06,-33.0,-11.0,-22.0,-34.0,-22.0,10.0,0.0250000006519315,3.439435360794193e-05,0.0250000007226435,3.65407599203054e-05,0.025000016354885,0.0001280139792708,0.0250000175534309,0.0001307798138853,0.025000017466157,0.000162529745925,0.0250000175685256,0.0001632094874581,12671821,975352,18217,975352,18217,0.0769701529085677,0.0014375992211379,0.0769701529085677,0.0014375992211379
01-03-2021,79.76,76.78,-34.0,-18.0,-13.0,-37.0,-17.0,8.0,0.0250000007364555,3.782080819048653e-05,0.025000000787846,3.9645503241112726e-05,0.0250000155080065,0.000129040669627,0.0250000163829623,0.0001315576036874,0.0250000167573303,0.0001563181839466,0.0250000168501797,0.0001569579164619,12671821,979821,18322,979821,18322,0.0773228251882661,0.0014458853230328,0.0773228251882661,0.0014458853230328
01-04-2021,94.53,89.28,-25.0,-8.0,-35.0,-46.0,-37.0,13.0,0.0250000007630073,3.905053386711979e-05,0.025000000798325,4.055944016319138e-05,0.0250000150848098,0.0001337269913136,0.0250000156957133,0.0001360080836852,0.0250000164051329,0.00015353674681,0.0250000164892285,0.0001541386437657,12671821,984880,18412,984880,18412,0.0777220574690883,0.0014529876960856,0.0777220574690883,0.0014529876960856
01-05-2021,99.31,93.61,-24.0,-7.0,-30.0,-45.0,-37.0,14.0,0.0250000007501849,3.87876276858693e-05,0.0250000007725682,3.99863792307424e-05,0.0250000141207071,0.0001340317565728,0.025000014496679,0.0001360877743845,0.025000015678054,0.0001471443437339,0.0250000157541063,0.0001477104528841,12671821,991719,18562,991719,18562,0.0782617589058431,0.0014648249845069,0.0782617589058431,0.0014648249845069
01-06-2021,94.99,91.33,-26.0,-10.0,-33.0,-45.0,-36.0,14.0,0.0250000007560185,3.908669294081212e-05,0.0250000007685006,3.9980653847275774e-05,0.0250000128127384,0.0001319680485615,0.0250000129872661,0.0001338029096026,0.0250000156726289,0.0001475656862107,0.0250000157414618,0.0001480991208937,12671821,999288,18735,999288,18735,0.0788590684795815,0.0014784773238195,0.0788590684795815,0.0014784773238195
01-07-2021,96.74,92.08,-29.0,-9.0,-36.0,-47.0,-35.0,15.0,0.0250000006871145,3.5911267966206355e-05,0.0250000006926232,3.650493529114097e-05,0.0250000056395676,0.0001181005529461,0.0250000057028948,0.0001195869707308,0.0250000156548299,0.0001478275306139,0.0250000157168599,0.0001483288272982,12671821,1008045,18941,1008045,18941,0.0795501293776166,0.0014947338665847,0.0795501293776166,0.0014947338665847
01-08-2021,112.03,108.92,-30.0,-13.0,-38.0,-45.0,-34.0,14.0,0.0250000006926836,3.5670055559978685e-05,0.0250000006940518,3.596593075651392e-05,0.0250000058221326,0.0001215149748685,0.0250000058718117,0.0001228306505191,0.0250000153713262,0.0001453598402266,0.0250000154271103,0.0001458306647731,12671821,1017322,19108,1017322,19108,0.0802822262088455,0.0015079127143604,0.0802822262088455,0.0015079127143604
01-09-2021,110.4,119.14,-26.0,-6.0,-17.0,-33.0,-9.0,7.0,0.025000000871137,4.298135797981421e-05,0.0250000006667538,3.430096657739113e-05,0.0250000056941368,0.0001182236727289,0.0250000057318515,0.000119368423881,0.0250000148169533,0.0001402227111953,0.0250000148669254,0.0001406639875196,12671821,1024039,19210,1024039,19210,0.0808122999843511,0.0015159620704869,0.0808122999843511,0.0015159620704869
01-10-2021,82.36,80.6,-30.0,-12.0,-25.0,-41.0,-15.0,7.0,0.0250000007834681,3.930280539327697e-05,0.0250000007834681,3.930280539327697e-05,0.0250000060362307,0.0001254512309971,0.0250000060636404,0.0001264244025531,0.0250000141824433,0.000134452378953,0.0250000142268791,0.0001348638434596,12671821,1028750,19293,1028750,19293,0.0811840697560358,0.0015225120367467,0.0811840697560358,0.0015225120367467
