date,Indiana-apple-driving,Indiana-apple-walking,Indiana-google-retail_and_recreation,Indiana-google-grocery_and_pharmacy,Indiana-google-parks,Indiana-google-transit_stations,Indiana-google-workplaces,Indiana-google-residential,Indiana-jh_beta_7,Indiana-jh_gamma_7,Indiana-cdc_beta_7,Indiana-cdc_gamma_7,Indiana-jh_beta_14,Indiana-jh_gamma_14,Indiana-cdc_beta_14,Indiana-cdc_gamma_14,Indiana-jh_beta_30,Indiana-jh_gamma_30,Indiana-cdc_beta_30,Indiana-cdc_gamma_30,Indiana-census_pop,Indiana-jh_confirmed,Indiana-jh_death,Indiana-cdc_confirmed,Indiana-cdc_death,Indiana-jh_confirmed_ratio,Indiana-jh_death_ratio,Indiana-cdc_confirmed_ratio,Indiana-cdc_death_ratio
01-01-2021,76.93,58.85,-47.0,-41.0,-34.0,-55.0,-77.0,29.0,0.02500000094532,4.554571301057884e-05,0.0250000010274229,4.872327433673578e-05,0.0250000429926899,0.0001814967323835,0.0250000483621797,0.000192615996014,0.0250000235453429,0.0002109346742392,0.0250000245961935,0.0002196662692058,6732219,517773,9468,517998,9940,0.0769097083740145,0.0014063713613594,0.0769431297466704,0.0014764819742197
01-02-2021,111.41,82.48,-16.0,-9.0,5.0,-16.0,-20.0,7.0,0.0250000009685509,4.678516182926456e-05,0.025000001032809,4.9186792199749606e-05,0.0250000377609276,0.0001758873417448,0.0250000427131797,0.0001874278379112,0.0250000229733712,0.0002064482418224,0.0250000240589729,0.0002154978326742,6732219,523090,9562,523327,10041,0.0776994925447315,0.0014203340681579,0.0777346963905957,0.0014914844570564
01-03-2021,86.84,62.75,-21.0,-14.0,-7.0,-13.0,-15.0,6.0,0.025000000967098,4.688833339233842e-05,0.0250000010377988,4.95518811647952e-05,0.0250000344902109,0.0001735088653735,0.0250000391633197,0.0001855080743156,0.0250000224195949,0.0002022989602598,0.0250000235020447,0.0002113210101243,6732219,526071,9625,526320,10116,0.0781422885975634,0.0014296920525015,0.0781792749166359,0.0015026249146083
01-04-2021,107.58,80.25,-8.0,-4.0,-8.0,-18.0,-25.0,9.0,0.0250000009454032,4.629257684060096e-05,0.0250000010257256,4.9318664301050926e-05,0.0250000301836447,0.0001713397176081,0.025000034455064,0.0001838895883176,0.025000021783599,0.0001973348787442,0.0250000229021483,0.0002066868485101,6732219,529688,9735,529949,10237,0.0786795557304359,0.0014460313902444,0.0787183245227168,0.0015205981861255
01-05-2021,112.26,83.94,-12.0,-4.0,-11.0,-15.0,-25.0,9.0,0.0250000009264813,4.543485824986845e-05,0.0250000010106564,4.856960498880241e-05,0.0250000271899307,0.0001667117069769,0.0250000313269475,0.0001801637006208,0.0250000212188854,0.0001928985758157,0.0250000223672557,0.0002025138293269,6732219,533083,9800,533356,10309,0.0791838471089547,0.0014556864534561,0.0792243983744438,0.0015312930253754
01-06-2021,107.06,82.41,-13.0,-8.0,-9.0,-18.0,-25.0,10.0,0.0250000008589756,4.264732819845944e-05,0.0250000009456789,4.587203002122533e-05,0.0250000250866372,0.0001669062268882,0.0250000289707781,0.0001806615266393,0.025000020805455,0.0001898230525295,0.0250000219367186,0.0001992540261852,6732219,539229,9883,539514,10400,0.0800967704704793,0.0014680152264803,0.0801391042091767,0.0015448101138718
01-07-2021,108.67,83.09,-16.0,-8.0,-13.0,-19.0,-24.0,10.0,0.0250000008333745,4.158288910383392e-05,0.0250000009240952,4.498251170413553e-05,0.0250000220458923,0.0001641725076131,0.0250000256051876,0.0001787686322386,0.0250000203972337,0.0001866713769204,0.025000021574304,0.0001965191177942,6732219,546499,9958,546796,10482,0.0811766521558493,0.0014791556840322,0.0812207683677551,0.0015569903474619
01-08-2021,125.38,96.88,-18.0,-14.0,-13.0,-19.0,-23.0,10.0,0.0250000008481391,4.229490505674359e-05,0.0250000009498522,4.6191461556712845e-05,0.0250000186435023,0.0001641999903401,0.0250000215842592,0.0001788005548528,0.0250000198881374,0.0001825199586112,0.0250000210241812,0.0001919578033717,6732219,552594,10021,552903,10550,0.0820820000062386,0.0014885136683759,0.0821278986913527,0.0015670910289757
01-09-2021,121.1,94.58,-12.0,-6.0,6.0,-14.0,-7.0,5.0,0.0250000008467734,4.244323929916813e-05,0.0250000009433311,4.617002322668507e-05,0.0250000153679298,0.0001625667425717,0.0250000175871259,0.0001752754624149,0.0250000193862207,0.0001784970968168,0.0250000205169386,0.0001878831808958,6732219,558560,10089,558881,10633,0.0829681862696385,0.0014986143498896,0.0830158674279609,0.0015794198019999
01-10-2021,89.38,64.22,-16.0,-8.0,-10.0,-18.0,-12.0,5.0,0.0250000008067483,4.0925972264467245e-05,0.0250000009094126,4.487911019936839e-05,0.0250000071465003,0.0001488342499536,0.025000007812657,0.0001614882798226,0.0250000188043048,0.0001737705704603,0.0250000199445195,0.0001832359438424,6732219,563653,10147,563986,10697,0.0837246976071336,0.0015072296370632,0.0837741612386644,0.0015889263257775
