date,Iowa-apple-driving,Iowa-apple-walking,Iowa-google-retail_and_recreation,Iowa-google-grocery_and_pharmacy,Iowa-google-parks,Iowa-google-transit_stations,Iowa-google-workplaces,Iowa-google-residential,Iowa-jh_beta_7,Iowa-jh_gamma_7,Iowa-cdc_beta_7,Iowa-cdc_gamma_7,Iowa-jh_beta_14,Iowa-jh_gamma_14,Iowa-cdc_beta_14,Iowa-cdc_gamma_14,Iowa-jh_beta_30,Iowa-jh_gamma_30,Iowa-cdc_beta_30,Iowa-cdc_gamma_30,Iowa-census_pop,Iowa-jh_confirmed,Iowa-jh_death,Iowa-cdc_confirmed,Iowa-cdc_death,Iowa-jh_confirmed_ratio,Iowa-jh_death_ratio,Iowa-cdc_confirmed_ratio,Iowa-cdc_death_ratio
01-01-2021,87.56,92.28,-40.0,-36.0,-15.0,-49.0,-75.0,26.0,0.0250000003510875,2.178877796457721e-05,0.0250000003466431,2.163024550317392e-05,0.02499999349735,0.0001055405806419,0.0249999933824976,0.0001052705967253,0.0250000180075517,0.0001729094744438,0.0250000185385441,0.0001790866220605,3155070,282980,3898,282664,3898,0.0896905615406314,0.0012354717961883,0.0895904052841933,0.0012354717961883
01-02-2021,119.34,117.21,-20.0,2.0,-7.0,-21.0,-12.0,8.0,0.0250000004690181,2.654717461094056e-05,0.025000000464418,2.6373090354923436e-05,0.0249999901098693,0.0001138086014851,0.0249999901093125,0.0001136196222262,0.025000017170229,0.0001659001835542,0.0250000184435153,0.0001794108854261,3155070,283895,3946,283330,3946,0.0899805709540517,0.0012506854047612,0.0898014941031419,0.0012506854047612
01-03-2021,99.4,87.92,-14.0,3.0,-2.0,-19.0,-8.0,6.0,0.0250000006431911,3.367037278591845e-05,0.0250000006379101,3.345817545597245e-05,0.0249999942748807,9.516901287349898e-05,0.024999994499285,9.522465358997142e-05,0.0250000161704041,0.0001570266529971,0.0250000161506757,0.0001580321224834,3155070,284715,3946,284378,3946,0.0902404701005049,0.0012506854047612,0.0901336578903162,0.0012506854047612
01-04-2021,111.83,114.6,-5.0,12.0,-3.0,-20.0,-22.0,9.0,0.0250000007528459,3.906651528687403e-05,0.0250000007474414,3.883890485088986e-05,0.0249999964032894,8.47340219548702e-05,0.0249999964456888,8.453241592751234e-05,0.0250000154664686,0.0001511927254774,0.0250000165168823,0.0001623824098875,3155070,286356,3992,285476,3992,0.0907605853435898,0.0012652651129768,0.0904816691864205,0.0012652651129768
01-05-2021,117.36,124.93,-10.0,9.0,-2.0,-21.0,-23.0,9.0,0.0250000009025753,4.569514204242596e-05,0.0250000008958083,4.539986185189798e-05,0.0249999941370225,9.376444843123157e-05,0.0249999943411022,9.372309865228438e-05,0.025000015545241,0.0001528276781594,0.0250000158901827,0.0001569118434608,3155070,288298,3999,287306,3999,0.0913761025904338,0.0012674837642271,0.0910616880132612,0.0012674837642271
01-06-2021,107.4,111.05,-13.0,4.0,-9.0,-22.0,-21.0,10.0,0.025000000686296,3.684661179564451e-05,0.0250000006842805,3.675645120267716e-05,0.0249999966472866,8.031290389282527e-05,0.0249999968966653,8.035988283591697e-05,0.025000015350869,0.000151732596418,0.0250000159078421,0.0001578772147388,3155070,290776,4060,289932,4060,0.0921615051330081,0.0012868177251217,0.0918939991822685,0.0012868177251217
01-07-2021,114.14,117.08,-14.0,-1.0,-8.0,-23.0,-22.0,10.0,0.0250000008121548,4.1832475873637705e-05,0.0250000008096408,4.171994986342447e-05,0.0249999954671561,8.483895460491973e-05,0.0249999956941198,8.479885799316821e-05,0.0250000156365662,0.0001551727714824,0.0250000157757689,0.0001569526392159,3155070,293189,4065,291753,4065,0.0929263059139733,0.0012884024760147,0.0924711654575017,0.0012884024760147
01-08-2021,133.74,135.52,-10.0,1.0,-6.0,-22.0,-17.0,7.0,0.0250000006033982,3.293578481816117e-05,0.0250000006017273,3.2863076351283925e-05,0.0250000041761988,8.84486123217078e-05,0.0250000041482188,8.786354956907714e-05,0.0250000158974576,0.0001585071110862,0.025000013097353,0.0001308389129754,3155070,294762,4124,294008,4124,0.0934248685449134,0.0013071025365522,0.0931858881102479,0.0013071025365522
01-09-2021,133.85,135.95,-13.0,6.0,-7.0,-21.0,-1.0,6.0,0.025000000752289,3.882019174187776e-05,0.0250000007516408,3.87917756011662e-05,0.0249999965433193,7.856995541051096e-05,0.0249999966509432,7.833005613730359e-05,0.0250000161837305,0.0001619053928192,0.0250000119058969,0.0001193560029584,3155070,296171,4127,295353,4127,0.0938714513465628,0.001308053387088,0.0936121861004668,0.001308053387088
01-10-2021,99.97,95.46,-10.0,8.0,-7.0,-23.0,-6.0,5.0,0.0250000006450851,3.4455634912673775e-05,0.0250000006441166,3.441365812561485e-05,0.0249999941104899,8.773306827779895e-05,0.0249999942782468,8.753519889318708e-05,0.0250000164234474,0.0001648670648426,0.0250000107590154,0.0001083404515482,3155070,296682,4138,296480,4138,0.0940334128878281,0.0013115398390526,0.0939693889517506,0.0013115398390526
