date,Kansas-apple-driving,Kansas-apple-walking,Kansas-google-retail_and_recreation,Kansas-google-grocery_and_pharmacy,Kansas-google-parks,Kansas-google-transit_stations,Kansas-google-workplaces,Kansas-google-residential,Kansas-jh_beta_7,Kansas-jh_gamma_7,Kansas-cdc_beta_7,Kansas-cdc_gamma_7,Kansas-jh_beta_14,Kansas-jh_gamma_14,Kansas-cdc_beta_14,Kansas-cdc_gamma_14,Kansas-jh_beta_30,Kansas-jh_gamma_30,Kansas-cdc_beta_30,Kansas-cdc_gamma_30,Kansas-census_pop,Kansas-jh_confirmed,Kansas-jh_death,Kansas-cdc_confirmed,Kansas-cdc_death,Kansas-jh_confirmed_ratio,Kansas-jh_death_ratio,Kansas-cdc_confirmed_ratio,Kansas-cdc_death_ratio
01-01-2021,65.49,92.18,-56.0,-49.0,-19.0,-51.0,-77.0,27.0,0.0250000006664317,3.244584104180208e-05,0.0250000006216484,3.0614741487897546e-05,0.0250000240811941,0.0001442736482566,0.0250000262320153,0.0001439842254903,0.0250000208710549,0.0001917865886719,0.0250000209907346,0.0001926511001166,2913314,230108,2892,227745,2879,0.0789849635157761,0.0009926839331428,0.0781738597349959,0.0009882216609675
01-02-2021,108.26,136.59,-29.0,-16.0,-13.0,-15.0,-18.0,9.0,0.0250000010269927,4.564785785424622e-05,0.0250000009948162,4.4194304011538014e-05,0.0250000187957684,0.0001232093393601,0.0250000204770347,0.0001234579221151,0.025000018562417,0.0001699674287813,0.025000018659621,0.0001706212090928,2913314,230119,2893,227745,2879,0.0789887392845398,0.0009930271848485,0.0781738597349959,0.0009882216609675
01-03-2021,91.58,105.43,-18.0,-14.0,-28.0,-4.0,-11.0,6.0,0.0250000012741236,5.646393604291319e-05,0.0250000012481296,5.519319137580886e-05,0.0250000238430924,0.0001433188540051,0.0250000264126879,0.0001439159667451,0.0250000194920668,0.0001784919235808,0.0250000196654489,0.0001797623285628,2913314,230119,2893,227745,2879,0.0789887392845398,0.0009930271848485,0.0781738597349959,0.0009882216609675
01-04-2021,108.47,141.27,-11.0,-4.0,-8.0,-12.0,-28.0,10.0,0.0250001423219788,0.0002677654345318,0.0250001460720533,0.0002693279593334,0.0250000275655067,0.0001605695178027,0.0250000310709283,0.0001618925569464,0.0250000172140754,0.0001578531693351,0.0250000173148375,0.000158500601254,2913314,234069,2911,231317,2897,0.0803445835224078,0.0009992057155528,0.0793999548280755,0.0009944001916717
01-05-2021,112.47,144.64,-11.0,-5.0,5.0,-14.0,-28.0,10.0,0.025000122437467,0.0002557865556655,0.0250001264037355,0.0002583559115103,0.0250000182026743,0.000126391571024,0.0250000204820743,0.0001280581135068,0.0250000179753836,0.0001652509079743,0.0250000181243416,0.0001663007977514,2913314,233901,3006,231317,2897,0.0802869172358352,0.0010318146276027,0.0793999548280755,0.0009944001916717
01-06-2021,104.01,141.32,-15.0,-7.0,-15.0,-13.0,-26.0,10.0,0.0250001399904879,0.0002743151189142,0.0250001413871914,0.0002797841795914,0.0250000214736241,0.0001460583716308,0.0250000220036317,0.0001423769225831,0.0250000189165525,0.0001739322458929,0.0250000188703045,0.0001737060323249,2913314,239197,3041,236818,3027,0.0821047782696956,0.0010438284373054,0.0812881824616227,0.0010390229134243
01-07-2021,107.71,136.56,-20.0,-11.0,-15.0,-16.0,-28.0,12.0,0.0250000009661838,4.675163620962569e-05,0.0250000008438986,4.233997657967406e-05,0.0250000067886213,0.0001349876066599,0.0250000175179798,0.0001335630303994,0.0250000176554565,0.0001626742464087,0.0250000175778336,0.0001620828247355,2913314,239311,3042,236818,3027,0.0821439089641556,0.0010441716890112,0.0812881824616227,0.0010390229134243
01-08-2021,126.84,165.5,-15.0,-15.0,1.0,-14.0,-21.0,7.0,0.0250000011013243,5.306845698381876e-05,0.0250000010112302,4.92278524684978e-05,0.0250000072525409,0.0001460161921897,0.02500001909271,0.0001510963055793,0.0250000183894728,0.0001698288869778,0.0250000184102859,0.000169978360156,2913314,244583,3164,242322,3148,0.083953531957077,0.0010860483971175,0.0831774398502873,0.0010805563698248
01-09-2021,125.44,163.43,-20.0,-9.0,-14.0,-12.0,-8.0,6.0,0.0250000007660339,3.7053493144145886e-05,0.0250000007007671,3.378874069739677e-05,0.0250000191700313,0.0001768047069446,0.0250000226547192,0.0001736295684133,0.025000016992637,0.0001568707328238,0.0250000169477611,0.00015640681628,2913314,244583,3164,242322,3148,0.083953531957077,0.0010860483971175,0.0831774398502873,0.0010805563698248
01-10-2021,92.87,115.4,-11.0,-9.0,-28.0,-13.0,-9.0,5.0,0.0250000009596461,4.545123826527444e-05,0.0250000009173014,4.291006149164136e-05,0.0250000195160778,0.000195412234546,0.0250000244076843,0.0001933542017451,0.0250000178273932,0.0001647616707857,0.0250000178345016,0.0001646478900465,2913314,244583,3165,242322,3148,0.083953531957077,0.0010863916488232,0.0831774398502873,0.0010805563698248
