date,Louisiana-apple-driving,Louisiana-apple-walking,Louisiana-google-retail_and_recreation,Louisiana-google-grocery_and_pharmacy,Louisiana-google-parks,Louisiana-google-transit_stations,Louisiana-google-workplaces,Louisiana-google-residential,Louisiana-jh_beta_7,Louisiana-jh_gamma_7,Louisiana-cdc_beta_7,Louisiana-cdc_gamma_7,Louisiana-jh_beta_14,Louisiana-jh_gamma_14,Louisiana-cdc_beta_14,Louisiana-cdc_gamma_14,Louisiana-jh_beta_30,Louisiana-jh_gamma_30,Louisiana-cdc_beta_30,Louisiana-cdc_gamma_30,Louisiana-census_pop,Louisiana-jh_confirmed,Louisiana-jh_death,Louisiana-cdc_confirmed,Louisiana-cdc_death,Louisiana-jh_confirmed_ratio,Louisiana-jh_death_ratio,Louisiana-cdc_confirmed_ratio,Louisiana-cdc_death_ratio
01-01-2021,76.01,41.92,-44.0,-28.0,-28.0,-47.0,-69.0,24.0,0.0250000003290028,2.128909288737986e-05,0.0250000003290028,2.128909288737986e-05,0.0250000262614288,0.0001145105585663,0.0250000262614288,0.0001145105585663,0.0250000111485511,0.0001041050367302,0.0250000111485511,0.0001041050367302,4648794,315275,7488,315275,7488,0.0678186643675757,0.0016107403339446,0.0678186643675757,0.0016107403339446
01-02-2021,96.0,44.94,-24.0,-10.0,-42.0,-23.0,-20.0,8.0,0.0250000004007601,2.459023610520025e-05,0.0250000004007601,2.459023610520025e-05,0.025000024967417,0.0001143644137779,0.025000024967417,0.0001143644137779,0.0250000107652704,0.0001008447095298,0.0250000107652704,0.0001008447095298,4648794,315275,7488,315275,7488,0.0678186643675757,0.0016107403339446,0.0678186643675757,0.0016107403339446
01-03-2021,76.0,30.49,-22.0,-9.0,-28.0,-16.0,-18.0,5.0,0.0250000004443218,2.7083156093829687e-05,0.0250000004443218,2.7083156093829687e-05,0.0250000276516164,0.0001234164899131,0.0250000276516164,0.0001234164899131,0.0250000107368177,0.0001010414249707,0.0250000107368177,0.0001010414249707,4648794,321058,7537,321058,7537,0.0690626429134093,0.0016212807020487,0.0690626429134093,0.0016212807020487
01-04-2021,95.85,36.65,-10.0,-2.0,-25.0,-20.0,-23.0,7.0,0.0250000004681259,2.8306734217782773e-05,0.0250000004681259,2.8306734217782773e-05,0.0250000236776434,0.000116405297273,0.0250000236776434,0.000116405297273,0.0250000107032438,0.000101124634607,0.0250000107032438,0.000101124634607,4648794,322181,7585,322181,7585,0.0693042109415904,0.0016316059605996,0.0693042109415904,0.0016316059605996
01-05-2021,99.94,38.16,-11.0,1.0,-24.0,-20.0,-24.0,7.0,0.0250000004422488,2.708027044837204e-05,0.0250000004422488,2.708027044837204e-05,0.0250000200169563,0.0001058376336396,0.0250000200169563,0.0001058376336396,0.02500001121908,0.000106095313464,0.02500001121908,0.000106095313464,4648794,326648,7635,326648,7635,0.0702651053154861,0.0016423614382568,0.0702651053154861,0.0016423614382568
01-06-2021,93.92,37.07,-14.0,-5.0,-24.0,-18.0,-23.0,7.0,0.0250000003954998,2.4712592754932205e-05,0.0250000003954998,2.4712592754932205e-05,0.0250000175535267,9.9518141339624e-05,0.0250000175535267,9.9518141339624e-05,0.0250000110035388,0.0001043658655486,0.0250000110035388,0.0001043658655486,4648794,333524,7681,333524,7681,0.0717441986029064,0.0016522564777015,0.0717441986029064,0.0016522564777015
01-07-2021,95.3,37.33,-20.0,-7.0,-42.0,-24.0,-24.0,10.0,0.0250000003836066,2.3764297154139712e-05,0.0250000003836066,2.3764297154139712e-05,0.0250000029748944,6.536045594706957e-05,0.0250000029748944,6.536045594706957e-05,0.0250000111542609,0.000105824977346,0.0250000111542609,0.000105824977346,4648794,338054,7728,338054,7728,0.0727186448786502,0.0016623666266993,0.0727186448786502,0.0016623666266993
01-08-2021,110.45,43.66,-21.0,-5.0,-40.0,-28.0,-23.0,10.0,0.0250000004027645,2.4225038565482103e-05,0.0250000004027645,2.4225038565482103e-05,0.0250000029418348,6.413678890174864e-05,0.0250000029418348,6.413678890174864e-05,0.0250000109211085,0.000103696444789,0.0250000109211085,0.000103696444789,4648794,341431,7833,341431,7833,0.0734450698396186,0.0016849531297794,0.0734450698396186,0.0016849531297794
01-09-2021,104.67,44.94,-21.0,-5.0,-46.0,-25.0,-14.0,7.0,0.0250000005769823,3.080187176725754e-05,0.0250000005769823,3.080187176725754e-05,0.0250000181634136,0.0001004730010877,0.0250000181634136,0.0001004730010877,0.02500001089071,0.0001033652449836,0.02500001089071,0.0001033652449836,4648794,341431,7833,341431,7833,0.0734450698396186,0.0016849531297794,0.0734450698396186,0.0016849531297794
01-10-2021,71.32,29.42,-27.0,-7.0,-51.0,-31.0,-20.0,7.0,0.0250000006937002,3.598448612458204e-05,0.0250000006937002,3.598448612458204e-05,0.0250000220545672,0.000113342625274,0.0250000220545672,0.000113342625274,0.0250000107770966,0.0001022994501706,0.0250000107770966,0.0001022994501706,4648794,346829,7873,346829,7873,0.0746062312074916,0.0016935575119052,0.0746062312074916,0.0016935575119052
01-11-2021,85.31,33.33,-27.0,-15.0,-49.0,-31.0,-30.0,12.0,0.0250000006877338,3.603975960668146e-05,0.0250000006877338,3.603975960668146e-05,0.0250000228949109,0.0001191737357164,0.0250000228949109,0.0001191737357164,0.0250000106025329,0.0001007004572219,0.0250000106025329,0.0001007004572219,4648794,348234,7918,348234,7918,0.0749084601296594,0.0017032374417967,0.0749084601296594,0.0017032374417967
