date,Minnesota-apple-driving,Minnesota-apple-walking,Minnesota-google-retail_and_recreation,Minnesota-google-grocery_and_pharmacy,Minnesota-google-parks,Minnesota-google-transit_stations,Minnesota-google-workplaces,Minnesota-google-residential,Minnesota-jh_beta_7,Minnesota-jh_gamma_7,Minnesota-cdc_beta_7,Minnesota-cdc_gamma_7,Minnesota-jh_beta_14,Minnesota-jh_gamma_14,Minnesota-cdc_beta_14,Minnesota-cdc_gamma_14,Minnesota-jh_beta_30,Minnesota-jh_gamma_30,Minnesota-cdc_beta_30,Minnesota-cdc_gamma_30,Minnesota-census_pop,Minnesota-jh_confirmed,Minnesota-jh_death,Minnesota-cdc_confirmed,Minnesota-cdc_death,Minnesota-jh_confirmed_ratio,Minnesota-jh_death_ratio,Minnesota-cdc_confirmed_ratio,Minnesota-cdc_death_ratio
01-01-2021,74.39,94.62,-51.0,-39.0,16.0,-62.0,-78.0,28.0,0.0250000003878055,2.412957784560991e-05,0.0250000003878055,2.412957784560991e-05,0.0250000123219861,0.0001082846794809,0.0250000123219861,0.0001082846794809,0.025000014993707,0.0001409142970741,0.025000014993707,0.0001409142970741,5639632,415302,5382,415302,5382,0.073639911256621,0.0009543175866794,0.073639911256621,0.0009543175866794
01-02-2021,92.17,119.45,-36.0,-14.0,7.0,-38.0,-19.0,10.0,0.0250000004632282,2.7540829480079204e-05,0.0250000004632282,2.7540829480079204e-05,0.0250000105898854,0.0001016301678255,0.0250000105898854,0.0001016301678255,0.0250000143387985,0.0001354823848777,0.0250000143387985,0.0001354823848777,5639632,417832,5436,417832,5436,0.074088522087966,0.0009638926795223,0.074088522087966,0.0009638926795223
01-03-2021,77.56,97.14,-33.0,-16.0,34.0,-38.0,-16.0,7.0,0.0250000004276511,2.601443276280523e-05,0.0250000004276511,2.601443276280523e-05,0.0250000094685727,9.725169239984316e-05,0.0250000094685727,9.725169239984316e-05,0.02500001349831,0.0001282356728663,0.02500001349831,0.0001282356728663,5639632,420544,5489,420544,5489,0.0745694045285224,0.0009732904558311,0.0745694045285224,0.0009732904558311
01-04-2021,89.64,127.67,-23.0,-8.0,1.0,-45.0,-36.0,14.0,0.0250000004406473,2.645417851785865e-05,0.0250000004406473,2.645417851785865e-05,0.025000003649449,7.982398752051547e-05,0.025000003649449,7.982398752051547e-05,0.0250000130747865,0.0001248375601247,0.0250000130747865,0.0001248375601247,5639632,423688,5502,423688,5502,0.0751268877118223,0.0009755955707748,0.0751268877118223,0.0009755955707748
01-05-2021,92.73,125.46,-24.0,-8.0,3.0,-48.0,-36.0,15.0,0.0250000004884378,2.875183515787522e-05,0.0250000004884378,2.875183515787522e-05,0.0250000038001363,8.333746403254334e-05,0.0250000038001363,8.333746403254334e-05,0.0250000124333067,0.000119462758167,0.0250000124333067,0.000119462758167,5639632,425261,5520,425261,5520,0.0754058066200064,0.0009787872683891,0.0754058066200064,0.0009787872683891
01-06-2021,89.04,127.29,-26.0,-13.0,-2.0,-49.0,-36.0,15.0,0.0250000004696135,2.830792235135283e-05,0.0250000004696135,2.830792235135283e-05,0.0250000038939924,8.581608111357749e-05,0.0250000038939924,8.581608111357749e-05,0.0250000119329103,0.0001154105502433,0.0250000119329103,0.0001154105502433,5639632,427587,5596,427587,5596,0.0758182448783892,0.0009922633249829,0.0758182448783892,0.0009922633249829
01-07-2021,91.15,125.27,-31.0,-13.0,-10.0,-52.0,-36.0,16.0,0.0250000004207187,2.596474825940109e-05,0.0250000004207187,2.596474825940109e-05,0.0250000035913853,7.916593304629339e-05,0.0250000035913853,7.916593304629339e-05,0.0250000119477779,0.0001161407798769,0.0250000119477779,0.0001161407798769,5639632,429570,5640,429570,5640,0.0761698635655659,0.0010000652524845,0.0761698635655659,0.0010000652524845
01-08-2021,105.09,144.65,-32.0,-14.0,-11.0,-50.0,-34.0,16.0,0.0250000003852168,2.4201492434652036e-05,0.0250000003852168,2.4201492434652036e-05,0.0250000032585824,7.181603096269613e-05,0.0250000032585824,7.181603096269613e-05,0.0250000120393158,0.0001174244912618,0.0250000120393158,0.0001174244912618,5639632,431944,5688,431944,5688,0.0765908130175869,0.0010085764461227,0.0765908130175869,0.0010085764461227
01-09-2021,99.8,133.92,-33.0,-12.0,-1.0,-43.0,-11.0,10.0,0.0250000004918452,2.8541029611825467e-05,0.0250000004918452,2.8541029611825467e-05,0.0250000036616147,8.02219303555468e-05,0.0250000036616147,8.02219303555468e-05,0.0250000114615926,0.0001122537994326,0.0250000114615926,0.0001122537994326,5639632,434413,5731,434413,5731,0.0770286075403501,0.0010162010570902,0.0770286075403501,0.0010162010570902
01-10-2021,78.7,96.67,-29.0,-13.0,26.0,-46.0,-13.0,7.0,0.0250000004754621,2.7721485339991376e-05,0.0250000004754621,2.7721485339991376e-05,0.0250000035494782,7.760039076463104e-05,0.0250000035494782,7.760039076463104e-05,0.02500001086319,0.0001067686978826,0.02500001086319,0.0001067686978826,5639632,436572,5775,436572,5775,0.0774114339375335,0.0010240029845919,0.0774114339375335,0.0010240029845919
