date,Montana-apple-driving,Montana-apple-walking,Montana-google-retail_and_recreation,Montana-google-grocery_and_pharmacy,Montana-google-parks,Montana-google-transit_stations,Montana-google-workplaces,Montana-google-residential,Montana-jh_beta_7,Montana-jh_gamma_7,Montana-cdc_beta_7,Montana-cdc_gamma_7,Montana-jh_beta_14,Montana-jh_gamma_14,Montana-cdc_beta_14,Montana-cdc_gamma_14,Montana-jh_beta_30,Montana-jh_gamma_30,Montana-cdc_beta_30,Montana-cdc_gamma_30,Montana-census_pop,Montana-jh_confirmed,Montana-jh_death,Montana-cdc_confirmed,Montana-cdc_death,Montana-jh_confirmed_ratio,Montana-jh_death_ratio,Montana-cdc_confirmed_ratio,Montana-cdc_death_ratio
01-01-2021,127.3,136.83,-40.0,-28.0,9.0,-31.0,-68.0,22.0,0.0250000003144874,2.0943057232575703e-05,0.0250000003144874,2.0943057232575703e-05,0.0250000037011098,8.16443344694718e-05,0.0250000037011098,8.16443344694718e-05,0.0250000111622644,0.0001072974902968,0.0250000111622644,0.0001072974902968,1068778,81555,961,81555,961,0.0763067727816253,0.0008991577296688,0.0763067727816253,0.0008991577296688
01-02-2021,148.43,168.74,-16.0,-5.0,-11.0,-7.0,-13.0,6.0,0.0250000003928986,2.4431435291754807e-05,0.0250000003928986,2.4431435291754807e-05,0.0250000037983257,8.405477120419135e-05,0.0250000037983257,8.405477120419135e-05,0.0250000104841001,0.0001013854234823,0.0250000104841001,0.0001013854234823,1068778,81944,971,81944,971,0.0766707398543009,0.0009085142096862,0.0766707398543009,0.0009085142096862
01-03-2021,125.02,121.8,-13.0,-5.0,-13.0,0.0,-9.0,5.0,0.0250000004508782,2.6938748665336135e-05,0.0250000004508782,2.6938748665336135e-05,0.0250000036867432,8.169554861925291e-05,0.0250000036867432,8.169554861925291e-05,0.0250000102532413,9.957764413288242e-05,0.0250000102532413,9.957764413288242e-05,1068778,82381,972,82381,972,0.0770796180310597,0.0009094498576879,0.0770796180310597,0.0009094498576879
01-04-2021,135.38,171.85,-2.0,3.0,2.0,-6.0,-15.0,6.0,0.0250000004548323,2.755055971128665e-05,0.0250000004548323,2.755055971128665e-05,0.0250000039532844,8.779355073116088e-05,0.0250000039532844,8.779355073116088e-05,0.0250000101164574,9.893690946148266e-05,0.0250000101164574,9.893690946148266e-05,1068778,82664,975,82664,975,0.0773444064155512,0.0009122568016931,0.0773444064155512,0.0009122568016931
01-05-2021,138.39,168.87,-6.0,2.0,8.0,-7.0,-17.0,6.0,0.0250000004700228,2.867762985136924e-05,0.0250000004700228,2.867762985136924e-05,0.0250000034309905,7.69971627851571e-05,0.0250000034309905,7.69971627851571e-05,0.0250000099704623,9.802977342837808e-05,0.0250000099704623,9.802977342837808e-05,1068778,83378,1005,83378,1005,0.0780124590887911,0.0009403262417452,0.0780124590887911,0.0009403262417452
01-06-2021,134.46,168.03,-8.0,-1.0,6.0,-9.0,-17.0,7.0,0.0250000004861122,2.826838954287767e-05,0.0250000004861122,2.826838954287767e-05,0.0250000032644963,7.210142882408848e-05,0.0250000032644963,7.210142882408848e-05,0.0250000102043766,0.0001004121651409,0.0250000102043766,0.0001004121651409,1068778,84060,1015,84060,1015,0.0786505710259754,0.0009496827217626,0.0786505710259754,0.0009496827217626
01-07-2021,135.36,164.04,-12.0,-4.0,-9.0,-10.0,-17.0,8.0,0.0250000005108775,2.85251890545706e-05,0.0250000005108775,2.85251890545706e-05,0.0250000028511481,6.199412117855389e-05,0.0250000028511481,6.199412117855389e-05,0.0250000102390582,0.0001008114041399,0.0250000102390582,0.0001008114041399,1068778,84750,1038,84750,1038,0.0792961681471736,0.0009712026258025,0.0792961681471736,0.0009712026258025
01-08-2021,162.58,207.76,-14.0,-5.0,-8.0,-10.0,-17.0,8.0,0.0250000005841431,3.0496412045549625e-05,0.0250000005841431,3.0496412045549625e-05,0.0250000034233595,7.244699008249817e-05,0.0250000034233595,7.244699008249817e-05,0.025000009541343,9.386764412429084e-05,0.025000009541343,9.386764412429084e-05,1068778,85568,1049,85568,1049,0.0800615282125942,0.0009814947538216,0.0800615282125942,0.0009814947538216
01-09-2021,153.89,180.49,-14.0,-3.0,-17.0,-10.0,-7.0,5.0,0.0250000007746911,3.820078611315712e-05,0.0250000007746911,3.820078611315712e-05,0.0250000040782899,8.513170841975601e-05,0.0250000040782899,8.513170841975601e-05,0.0250000095498478,9.378603788175422e-05,0.0250000095498478,9.378603788175422e-05,1068778,86102,1054,86102,1054,0.0805611642455215,0.0009861729938303,0.0805611642455215,0.0009861729938303
01-10-2021,124.31,128.17,-8.0,0.0,1.0,-3.0,-8.0,4.0,0.0250000007998328,3.968697598715432e-05,0.0250000007998328,3.968697598715432e-05,0.0250000045336817,9.429424563939376e-05,0.0250000045336817,9.429424563939376e-05,0.0250000094305553,9.256046898914709e-05,0.0250000094305553,9.256046898914709e-05,1068778,86324,1056,86324,1056,0.080768878101907,0.0009880442898338,0.080768878101907,0.0009880442898338
01-11-2021,129.6,164.29,-8.0,-2.0,3.0,-10.0,-15.0,6.0,0.0250000008911939,4.4660332605277205e-05,0.0250000008911939,4.4660332605277205e-05,0.025000004790454,0.0001000032713956,0.025000004790454,0.0001000032713956,0.0250000085162988,8.379033375670623e-05,0.0250000085162988,8.379033375670623e-05,1068778,86653,1057,86653,1057,0.0810767062944783,0.0009889799378355,0.0810767062944783,0.0009889799378355
01-12-2021,130.55,164.48,-11.0,-3.0,1.0,-13.0,-17.0,7.0,0.0250000009175533,4.705469229479293e-05,0.0250000009175533,4.705469229479293e-05,0.0250000050529489,0.0001065092620453,0.0250000050529489,0.0001065092620453,0.0250000082748716,8.165070866463925e-05,0.0250000082748716,8.165070866463925e-05,1068778,87077,1067,87077,1067,0.0814734210472146,0.0009983364178529,0.0814734210472146,0.0009983364178529
01-13-2021,131.33,163.1,-14.0,-9.0,-16.0,-17.0,-19.0,7.0,0.0250000006201381,3.485212788227782e-05,0.0250000006201381,3.485212788227782e-05,0.0250000048801552,0.0001034716976334,0.0250000048801552,0.0001034716976334,0.0250000085167452,8.417956664723908e-05,0.0250000085167452,8.417956664723908e-05,1068778,87653,1069,87653,1069,0.0820123542962149,0.0010002077138563,0.0820123542962149,0.0010002077138563
01-14-2021,138.76,172.22,-11.0,-6.0,3.0,-10.0,-17.0,6.0,0.0250000005531785,3.241721010790736e-05,0.0250000005531785,3.241721010790736e-05,0.0250000047068299,0.0001008415468819,0.0250000047068299,0.0001008415468819,0.0250000089163616,8.818260212655303e-05,0.0250000089163616,8.818260212655303e-05,1068778,88110,1077,88110,1077,0.0824399454330085,0.0010076928978702,0.0824399454330085,0.0010076928978702
01-15-2021,162.0,209.48,-17.0,-8.0,-16.0,-12.0,-18.0,8.0,0.0250000003318549,2.285784825062111e-05,0.0250000003318549,2.285784825062111e-05,0.0250000045059916,9.749227842517084e-05,0.0250000045059916,9.749227842517084e-05,0.0250000088034738,8.737546567741073e-05,0.0250000088034738,8.737546567741073e-05,1068778,88635,1086,88635,1086,0.0829311606339202,0.0010161137298859,0.0829311606339202,0.0010161137298859
01-16-2021,155.6,190.72,-15.0,-5.0,-12.0,-14.0,-9.0,5.0,0.0250000002806915,2.02998742714762e-05,0.0250000002806915,2.02998742714762e-05,0.0250000048787427,0.0001063359643596,0.0250000048787427,0.0001063359643596,0.0250000086177033,8.579051039270297e-05,0.0250000086177033,8.579051039270297e-05,1068778,89056,1088,89056,1088,0.0833250684426513,0.0010179850258893,0.0833250684426513,0.0010179850258893
01-17-2021,125.1,130.05,-14.0,-6.0,-13.0,-11.0,-11.0,5.0,0.0250000002863028,2.054721497058208e-05,0.0250000002863028,2.054721497058208e-05,0.0250000046890086,0.0001033088034479,0.0250000046890086,0.0001033088034479,0.0250000082249075,8.232046211529775e-05,0.0250000082249075,8.232046211529775e-05,1068778,89393,1092,89393,1092,0.0836403818192365,0.0010217276178963,0.0836403818192365,0.0010217276178963
01-18-2021,136.35,155.18,-10.0,-7.0,3.0,-15.0,-32.0,9.0,0.025000000323996,2.2319921374077055e-05,0.025000000323996,2.2319921374077055e-05,0.0250000049416271,0.0001098194487597,0.0250000049416271,0.0001098194487597,0.0250000082533941,8.293385433997232e-05,0.0250000082533941,8.293385433997232e-05,1068778,89576,1093,89576,1093,0.0838116054035543,0.001022663265898,0.0838116054035543,0.001022663265898
01-19-2021,128.69,154.7,-13.0,-5.0,3.0,-10.0,-18.0,6.0,0.025000000356037,2.408220789718991e-05,0.025000000356037,2.408220789718991e-05,0.0250000050291171,0.000112798390141,0.0250000050291171,0.000112798390141,0.0250000079934224,8.082164966708601e-05,0.0250000079934224,8.082164966708601e-05,1068778,89864,1093,89864,1093,0.0840810720280544,0.001022663265898,0.0840810720280544,0.001022663265898
01-20-2021,126.61,148.12,-13.0,-6.0,-1.0,-15.0,-18.0,7.0,0.0250000002511403,2.0052953550501333e-05,0.0250000002511403,2.0052953550501333e-05,0.0250000036536657,8.41060121956111e-05,0.0250000036536657,8.41060121956111e-05,0.0250000081429365,8.27887754091889e-05,0.0250000081429365,8.27887754091889e-05,1068778,90255,1094,90255,1094,0.0844469103967334,0.0010235989138997,0.0844469103967334,0.0010235989138997
01-21-2021,135.19,158.96,-13.0,-8.0,-9.0,-12.0,-16.0,7.0,0.0250000002442229,2.0159591420174733e-05,0.0250000002442229,2.0159591420174733e-05,0.0250000032901181,7.717527324169333e-05,0.0250000032901181,7.717527324169333e-05,0.0250000076023704,7.791879728776978e-05,0.0250000076023704,7.791879728776978e-05,1068778,90649,1100,90649,1100,0.0848155557094176,0.0010292128019102,0.0848155557094176,0.0010292128019102
01-22-2021,153.84,186.33,-17.0,-7.0,-15.0,-14.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000022514318,5.511903865897503e-05,0.0250000022514318,5.511903865897503e-05,0.0250000071062656,7.354467722171307e-05,0.0250000071062656,7.354467722171307e-05,1068778,91049,1104,91049,1104,0.0851898149101123,0.0010329553939171,0.0851898149101123,0.0010329553939171
