date,Nebraska-apple-driving,Nebraska-apple-walking,Nebraska-google-retail_and_recreation,Nebraska-google-grocery_and_pharmacy,Nebraska-google-parks,Nebraska-google-transit_stations,Nebraska-google-workplaces,Nebraska-google-residential,Nebraska-jh_beta_7,Nebraska-jh_gamma_7,Nebraska-cdc_beta_7,Nebraska-cdc_gamma_7,Nebraska-jh_beta_14,Nebraska-jh_gamma_14,Nebraska-cdc_beta_14,Nebraska-cdc_gamma_14,Nebraska-jh_beta_30,Nebraska-jh_gamma_30,Nebraska-cdc_beta_30,Nebraska-cdc_gamma_30,Nebraska-census_pop,Nebraska-jh_confirmed,Nebraska-jh_death,Nebraska-cdc_confirmed,Nebraska-cdc_death,Nebraska-jh_confirmed_ratio,Nebraska-jh_death_ratio,Nebraska-cdc_confirmed_ratio,Nebraska-cdc_death_ratio
01-01-2021,96.98,95.71,-36.0,-32.0,-24.0,-40.0,-76.0,27.0,0.025,1e-05,0.025,1e-05,0.0250000036143661,8.049004525200365e-05,0.0250000036133099,8.046628808863266e-05,0.0250000120969894,0.0001193382273692,0.0250000122019356,0.0001201828481636,1934408,167716,1668,168011,1668,0.0867014611188539,0.000862279312327,0.0868539625559861,0.000862279312327
01-02-2021,124.58,115.74,-20.0,-9.0,-17.0,-24.0,-17.0,8.0,0.0250000005206995,2.871307201923621e-05,0.0250000005207381,2.8714644444685445e-05,0.025000003642897,8.016718301329787e-05,0.0250000036422881,8.015363134413489e-05,0.0250000109407809,0.0001085530107762,0.0250000110197525,0.0001091864068968,1934408,168262,1669,168643,1669,0.0869837180160545,0.0008627962663512,0.0871806774992659,0.0008627962663512
01-03-2021,100.72,85.04,-17.0,-11.0,-17.0,-19.0,-11.0,6.0,0.0250000006217836,3.346815532155167e-05,0.0250000006218255,3.3469939717285467e-05,0.0250000039300459,8.616921984891039e-05,0.0250000039329071,8.623312051154544e-05,0.0250000102655644,0.0001024937454607,0.0250000103432483,0.0001031183776943,1934408,169000,1672,169226,1672,0.087365230085897,0.0008643471284237,0.087482061695361,0.0008643471284237
01-04-2021,118.0,120.48,-3.0,2.0,-5.0,-20.0,-27.0,9.0,0.0250000006980782,3.758197473026476e-05,0.0250000006980374,3.758014944310554e-05,0.0249999998012123,7.790295135936192e-05,0.0249999998332776,7.795257242128446e-05,0.0250000097371456,9.781996900929508e-05,0.0250000097682227,9.80709384670868e-05,1934408,169585,1682,170287,1682,0.0876676481900405,0.0008695166686655,0.0880305499150127,0.0008695166686655
01-05-2021,119.11,120.77,-9.0,0.0,-7.0,-21.0,-23.0,9.0,0.0250000005596933,3.2251446774387546e-05,0.0250000005600008,3.226543678140501e-05,0.0250000035835393,7.90859334388478e-05,0.0250000035832464,7.907942136666582e-05,0.025000009666605,9.770359594554352e-05,0.0250000097582969,9.844876476605768e-05,1934408,171033,1692,171795,1692,0.0884161976170487,0.0008746862089073,0.0888101165834715,0.0008746862089073
01-06-2021,106.05,110.2,-16.0,-9.0,-28.0,-26.0,-22.0,11.0,0.0250000005090806,3.048379937506761e-05,0.0250000005110304,3.057401283079045e-05,0.0250000036393458,8.056706507248336e-05,0.0250000036416494,8.061881769405441e-05,0.0250000095915931,9.73768431973622e-05,0.0250000099743036,0.0001009865819029,1934408,172469,1703,173141,1703,0.0891585435957667,0.0008803727031732,0.0895059367000136,0.0008803727031732
01-07-2021,114.41,111.86,-18.0,-9.0,-25.0,-22.0,-22.0,11.0,0.0250000005233115,3.1245606107257005e-05,0.0250000005244019,3.129663421804892e-05,0.0250000027719396,6.194132177412447e-05,0.02500000277336,6.197224773024468e-05,0.025000008989013,9.182563954255753e-05,0.0250000090691543,9.247833445363512e-05,1934408,173591,1719,174393,1733,0.0897385660108932,0.0008886439675601,0.0901531631382831,0.0008958813238985
01-08-2021,134.04,133.61,-14.0,-7.0,-21.0,-20.0,-20.0,9.0,0.0250000003097053,2.1705686397278215e-05,0.0250000003487088,2.29149509889043e-05,0.0250000029339845,6.560864776862868e-05,0.0250000030227293,6.696482937989798e-05,0.0250000082917639,8.527799539322722e-05,0.0250000082402288,8.45391986401798e-05,1934408,174614,1733,175780,1733,0.0902674099776262,0.0008958813238985,0.0908701783698165,0.0008958813238985
01-09-2021,134.52,129.43,-15.0,-8.0,-24.0,-17.0,-8.0,6.0,0.025,1e-05,0.0250000003074443,2.1018368036150503e-05,0.0250000036363845,8.109313867260114e-05,0.0250000037109737,8.23143398645987e-05,0.0250000079287955,8.195085809584068e-05,0.0250000080086033,8.256095338487947e-05,1934408,175620,1737,176376,1737,0.0907874657259482,0.0008979491399952,0.0911782829682259,0.0008979491399952
01-10-2021,101.47,86.68,-13.0,-7.0,-24.0,-23.0,-9.0,5.0,0.0250000003496037,2.312125775928022e-05,0.0250000003693814,2.3979157054503824e-05,0.0249999979651266,7.449309177337297e-05,0.024999997904795,7.540248242495615e-05,0.0250000072144574,7.524604373328727e-05,0.0250000072997478,7.591071635732326e-05,1934408,176026,1760,176779,1760,0.090997349059764,0.0009098390825513,0.0913866154399692,0.0009098390825513
01-11-2021,110.29,106.32,-11.0,-5.0,-3.0,-21.0,-21.0,8.0,0.025000000440296,2.6745065198518136e-05,0.0250000004529051,2.7426042034161523e-05,0.0249999966168167,8.136972118780414e-05,0.0249999965144701,8.220242599053012e-05,0.0250000071143938,7.440293562402491e-05,0.0250000071805565,7.492388200934103e-05,1934408,176670,1772,177649,1772,0.0913302674513339,0.0009160425308414,0.0918363654410031,0.0009160425308414
01-12-2021,111.44,112.99,-13.0,-7.0,11.0,-20.0,-22.0,9.0,0.0250000004714752,2.7974748550713107e-05,0.0250000004796768,2.853049994997115e-05,0.0249999978445924,7.243166283718949e-05,0.0249999977036365,7.311829604421513e-05,0.0250000068330634,7.172184050456124e-05,0.0250000068851538,7.213808063477542e-05,1934408,177670,1791,178771,1791,0.0918472214755108,0.0009258646573008,0.0924163878561296,0.0009258646573008
01-13-2021,113.01,108.65,-12.0,-5.0,6.0,-21.0,-21.0,8.0,0.0250000005197685,2.982102665304657e-05,0.0250000005244601,3.022368309013067e-05,0.0250000038499152,8.571014176364217e-05,0.0250000038982614,8.685121031980862e-05,0.0250000068950947,7.241696342658122e-05,0.0250000069638161,7.297536656665172e-05,1934408,179199,1803,179846,1803,0.0926376441784773,0.0009320681055909,0.0929721134321198,0.0009320681055909
01-14-2021,112.37,110.52,-21.0,-10.0,-31.0,-24.0,-23.0,10.0,0.0250000005516473,3.1158442576705484e-05,0.025000000553971,3.139182623942471e-05,0.0249999972508545,7.281916118237177e-05,0.0249999969919911,7.318643785941066e-05,0.0250000060877171,6.441572998221724e-05,0.0250000061350047,6.480673075867455e-05,1934408,180131,1818,180777,1818,0.0931194453290102,0.0009398224159536,0.0934533976286285,0.0009398224159536
01-15-2021,95.22,102.42,-41.0,-31.0,-47.0,-35.0,-39.0,20.0,0.0250000005446164,3.082226608128407e-05,0.0250000004344592,2.6066363785691537e-05,0.025000003259027,7.19438236037899e-05,0.0250000032852013,7.270257200608427e-05,0.0250000058488377,6.213721160781945e-05,0.0250000058862231,6.245498496440799e-05,1934408,180910,1837,181548,1818,0.093522152513844,0.0009496445424129,0.0938519691812689,0.0009398224159536
