date,New Hampshire-apple-driving,New Hampshire-apple-walking,New Hampshire-google-retail_and_recreation,New Hampshire-google-grocery_and_pharmacy,New Hampshire-google-parks,New Hampshire-google-transit_stations,New Hampshire-google-workplaces,New Hampshire-google-residential,New Hampshire-jh_beta_7,New Hampshire-jh_gamma_7,New Hampshire-cdc_beta_7,New Hampshire-cdc_gamma_7,New Hampshire-jh_beta_14,New Hampshire-jh_gamma_14,New Hampshire-cdc_beta_14,New Hampshire-cdc_gamma_14,New Hampshire-jh_beta_30,New Hampshire-jh_gamma_30,New Hampshire-cdc_beta_30,New Hampshire-cdc_gamma_30,New Hampshire-census_pop,New Hampshire-jh_confirmed,New Hampshire-jh_death,New Hampshire-cdc_confirmed,New Hampshire-cdc_death,New Hampshire-jh_confirmed_ratio,New Hampshire-jh_death_ratio,New Hampshire-cdc_confirmed_ratio,New Hampshire-cdc_death_ratio
01-01-2021,101.33,130.03,-34.0,-28.0,42.0,-59.0,-75.0,28.0,0.025,1e-05,0.025,1e-05,0.0250000013207815,3.33992768784752e-05,0.0250000012962372,3.296173727330024e-05,0.025000481727744,0.0002334398067666,0.0250004786250335,0.0002328893508096,1359711,45932,759,44028,758,0.0337807078121747,0.0005582068542506,0.0323804102489426,0.0005574714038497
01-02-2021,109.63,147.37,-32.0,-21.0,-29.0,-30.0,-20.0,11.0,0.025,1e-05,0.025,1e-05,0.025000001351627,3.3950656529182377e-05,0.0250000013200998,3.33930152532562e-05,0.0250004382905916,0.0002251126760409,0.0250004425737284,0.0002258428391658,1359711,46614,769,45184,769,0.0342822849855594,0.0005655613582592,0.0332305909123335,0.0005655613582592
01-03-2021,98.31,113.68,-22.0,-12.0,-18.0,-22.0,-13.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000013330145,3.3515863861119784e-05,0.0250000013031416,3.298160254365872e-05,0.0250003884624521,0.0002165528367037,0.0250004200773742,0.0002223182845575,1359711,47376,780,46450,780,0.0348426981910126,0.0005736513126686,0.0341616711198188,0.0005736513126686
01-04-2021,100.5,130.83,-16.0,-6.0,3.0,-29.0,-31.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000014150761,3.510607636308524e-05,0.0250000013917881,3.468220727679725e-05,0.0250003527173338,0.0002098830398796,0.0250003867002327,0.000216269877122,1359711,47870,781,47328,781,0.0352060106890361,0.0005743867630695,0.0348073965717715,0.0005743867630695
01-05-2021,106.05,126.04,-18.0,-2.0,-2.0,-29.0,-29.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000015627585,3.823455570142517e-05,0.0250000015469895,3.793801631994825e-05,0.0250003193902815,0.0002039933394141,0.0250003715611135,0.0002140393908251,1359711,48662,792,47992,792,0.035788487406515,0.0005824767174789,0.0352957356379407,0.0005824767174789
01-06-2021,103.82,132.44,-18.0,-8.0,-7.0,-34.0,-30.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000017208335,4.151136590894711e-05,0.025000001706695,4.123663502768768e-05,0.0250003064259153,0.0002033906547904,0.02500035866297,0.0002135116159508,1359711,49584,816,48838,816,0.0364665726761054,0.0006001275270995,0.0359179266770659,0.0006001275270995
01-07-2021,105.93,133.8,-20.0,-8.0,12.0,-33.0,-29.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000015898607,3.859135159270451e-05,0.0250000015742534,3.828856434975631e-05,0.0250003079823503,0.000208025203845,0.0250003463074454,0.0002153489561395,1359711,50337,827,49261,827,0.0370203668279509,0.0006082174815089,0.0362290221966285,0.0006082174815089
01-08-2021,124.51,170.44,-22.0,-9.0,-6.0,-39.0,-28.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000016078578,3.868346951900168e-05,0.0250000015656037,3.788453578673356e-05,0.0250003112485668,0.0002144937227549,0.0250003505989347,0.0002218232518216,1359711,51289,846,50152,846,0.037720515609567,0.0006221910391252,0.0368843085037923,0.0006221910391252
01-09-2021,130.41,168.69,-19.0,-8.0,-3.0,-28.0,-9.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000018619325,4.345683184911517e-05,0.0250000017822714,4.195044573951869e-05,0.0250002968266473,0.0002154560940453,0.0250003343957273,0.000222441171153,1359711,52371,862,50871,862,0.0385162729432945,0.0006339582455389,0.0374130973420087,0.0006339582455389
01-10-2021,105.45,122.83,-17.0,-9.0,15.0,-30.0,-11.0,6.0,0.0250000003144193,2.0992636794879087e-05,0.0250000003055655,2.067028601848965e-05,0.025000001926524,4.438491041816059e-05,0.0250000018744703,4.339993031021684e-05,0.0250002644766438,0.0002065770466728,0.0250002997801891,0.0002133953982884,1359711,52980,869,51600,869,0.0389641622374166,0.0006391063983449,0.0379492406842336,0.0006391063983449
01-11-2021,101.58,122.71,-19.0,-9.0,3.0,-31.0,-30.0,12.0,0.0250000003286184,2.164195796464303e-05,0.0250000003227297,2.142432439570836e-05,0.0250000020473577,4.663679236044373e-05,0.0250000020096663,4.5916823561963226e-05,0.02500024292086,0.000205106963612,0.0250002711491835,0.0002106219756258,1359711,53913,869,52307,869,0.0396503374614164,0.0006391063983449,0.0384692041176397,0.0006391063983449
01-12-2021,103.95,126.91,-18.0,-5.0,11.0,-29.0,-28.0,13.0,0.0250000003658734,2.353625837445232e-05,0.0250000003620648,2.338894615197305e-05,0.0250000021298824,4.8413191566380616e-05,0.0250000021042258,4.7915134245881045e-05,0.0250002170811929,0.0001997295438262,0.0250002448188244,0.0002053069542364,1359711,54516,878,53148,878,0.0400938140531333,0.0006457254519526,0.0390877179047606,0.0006457254519526
01-13-2021,105.3,134.49,-18.0,-9.0,4.0,-35.0,-30.0,13.0,0.0250000003562648,2.3432437550946364e-05,0.0250000003517695,2.32549304010094e-05,0.0250000019798205,4.547620142356783e-05,0.0250000019697349,4.5275123193741046e-05,0.0250002136407711,0.0002039162415858,0.0250002376353067,0.0002086700151447,1359711,55378,885,54125,885,0.0407277722986722,0.0006508736047586,0.0398062529463981,0.0006508736047586
01-14-2021,108.02,135.15,-21.0,-10.0,10.0,-34.0,-29.0,13.0,0.0250000002795472,2.0501286681983524e-05,0.0250000002757485,2.035159533215969e-05,0.0250000020782873,4.765534823262498e-05,0.0250000020509157,4.712819275967532e-05,0.0250002039475951,0.0002083514581998,0.0250002254828324,0.000212559879778,1359711,55957,897,54778,897,0.0411535980807686,0.0006596990095689,0.0402865020581579,0.0006596990095689
01-15-2021,131.78,162.05,-23.0,-9.0,7.0,-36.0,-28.0,13.0,0.0250000002717869,2.0181779995028048e-05,0.025,1e-05,0.0250000019641978,4.544257315536444e-05,0.0250000019490717,4.518015394266111e-05,0.0250001963567337,0.0002142367588259,0.0250002220144312,0.0002191500167189,1359711,56966,908,55500,908,0.0418956675352335,0.0006677889639783,0.0408174972475768,0.0006677889639783
01-16-2021,120.77,172.16,-31.0,-20.0,-41.0,-43.0,-14.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000021949523,5.024169374296964e-05,0.0250000021312376,4.903784032219983e-05,0.0250001574906971,0.000198029586354,0.025000176269118,0.0002019181351232,1359711,57605,927,55945,927,0.0423656203413813,0.0006817625215946,0.0411447726759583,0.0006817625215946
01-17-2021,114.67,143.36,-18.0,-12.0,12.0,-39.0,-13.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000022561983,5.1378572139229e-05,0.0250000021937994,5.017741063391604e-05,0.0250001458243269,0.0002006057405695,0.0250001629594525,0.0002041258265632,1359711,58229,933,56864,933,0.0428245413915162,0.0006861752239998,0.0418206515943461,0.0006861752239998
01-18-2021,117.43,135.47,-9.0,-7.0,53.0,-33.0,-44.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000022799787,5.1892875940349074e-05,0.0250000022399378,5.11194289030461e-05,0.0250001262612867,0.0001975338911981,0.0250001458525469,0.0002016422030064,1359711,58709,933,57864,933,0.0431775575839277,0.0006861752239998,0.0425561019952033,0.0006861752239998
01-19-2021,101.71,127.62,-21.0,-7.0,12.0,-35.0,-28.0,12.0,0.0250000002829229,2.0314407036911902e-05,0.0250000002754043,2.0026223325577108e-05,0.0250000024488018,5.563876971242816e-05,0.0250000024238521,5.514925305607231e-05,0.0250001080682127,0.0001918751501067,0.0250001261696533,0.0001958011429212,1359711,59228,938,58709,938,0.0435592563419726,0.000689852476004,0.0431775575839277,0.000689852476004
01-20-2021,101.05,120.58,-23.0,-13.0,2.0,-37.0,-30.0,13.0,0.0250000002696401,2.0037802915416592e-05,0.025,1e-05,0.0250000024153152,5.526466108453553e-05,0.0250000023854867,5.467544858063924e-05,0.0250000927219588,0.0001914228779378,0.0250001055071539,0.0001942216213942,1359711,59891,950,59437,950,0.044046859957741,0.0006986778808143,0.0437129654757518,0.0006986778808143
01-21-2021,105.35,120.88,-24.0,-13.0,3.0,-35.0,-28.0,13.0,0.0250000002777965,2.04432833484251e-05,0.025000000272229,2.0222349925584776e-05,0.0250000021321474,4.957985271660703e-05,0.0250000021036882,4.902238734121713e-05,0.0250000830315837,0.0001973891348988,0.025000090796147,0.0001990405526287,1359711,60588,962,60294,962,0.0445594688871385,0.0007075032856246,0.0443432464692864,0.0007075032856246
01-22-2021,129.95,162.5,-24.0,-11.0,7.0,-39.0,-27.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000021195216,4.928748343115106e-05,0.0250000020794289,4.850288553721049e-05,0.0250000730657535,0.0002035858950076,0.0250000798791527,0.0002049981144763,1359711,61206,971,60951,971,0.0450139772348682,0.0007141223392323,0.0448264373826496,0.0007141223392323
01-23-2021,135.59,175.35,-22.0,-14.0,-6.0,-31.0,-9.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000019420096,4.5576812681286496e-05,0.0250000019043067,4.484699915866585e-05,0.0250000560238069,0.0001902312109924,0.0250000636701182,0.0001919416968481,1359711,61995,981,61576,981,0.0455942476011446,0.0007214768432409,0.0452860938831854,0.0007214768432409
01-24-2021,102.11,121.29,-26.0,-17.0,-23.0,-36.0,-12.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000018306508,4.318083142742977e-05,0.0250000017851375,4.230876907253187e-05,0.025000019941064,0.0001732650347523,0.025000054276743,0.0001870547978947,1359711,62492,987,62337,987,0.0459597664503707,0.000725889545646,0.0458457716382378,0.000725889545646
01-25-2021,99.38,116.35,-22.0,-14.0,4.0,-36.0,-29.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000018846483,4.431127526494799e-05,0.0250000018420589,4.349069315899525e-05,0.0250000211325257,0.0001842801331982,0.0250000557428542,0.0001956848856164,1359711,62890,990,62768,990,0.0462524757099118,0.0007280958968486,0.0461627507610073,0.0007280958968486
