date,North Dakota-apple-driving,North Dakota-apple-walking,North Dakota-google-retail_and_recreation,North Dakota-google-grocery_and_pharmacy,North Dakota-google-parks,North Dakota-google-transit_stations,North Dakota-google-workplaces,North Dakota-google-residential,North Dakota-jh_beta_7,North Dakota-jh_gamma_7,North Dakota-cdc_beta_7,North Dakota-cdc_gamma_7,North Dakota-jh_beta_14,North Dakota-jh_gamma_14,North Dakota-cdc_beta_14,North Dakota-cdc_gamma_14,North Dakota-jh_beta_30,North Dakota-jh_gamma_30,North Dakota-cdc_beta_30,North Dakota-cdc_gamma_30,North Dakota-census_pop,North Dakota-jh_confirmed,North Dakota-jh_death,North Dakota-cdc_confirmed,North Dakota-cdc_death,North Dakota-jh_confirmed_ratio,North Dakota-jh_death_ratio,North Dakota-cdc_confirmed_ratio,North Dakota-cdc_death_ratio
01-01-2021,92.61,119.7,-38.0,-41.0,-16.0,-45.0,-71.0,26.0,0.0250000004799158,2.757520416600452e-05,0.0250000005890895,3.132681623611239e-05,0.0250000026361152,6.49213486307958e-05,0.0250000019889396,4.969997041016993e-05,0.0250000116882409,0.0001228765744264,0.0250000116451458,0.0001230422470074,762062,92770,1316,92891,1310,0.1217355018358086,0.0017268936123307,0.1218942815676414,0.0017190202371985
01-02-2021,110.9,134.88,-22.0,-16.0,-10.0,-30.0,-13.0,7.0,0.0250000007005157,3.516740654089436e-05,0.0250000007890588,4.012911516626283e-05,0.0250000021038746,5.159737181290784e-05,0.0250000020222972,5.010646088776132e-05,0.0250000114611385,0.0001210268744689,0.0250000113164732,0.0001204543501737,762062,92891,1317,93041,1310,0.1218942815676414,0.0017282058415194,0.1220911159459466,0.0017190202371985
01-03-2021,90.65,94.1,-18.0,-16.0,-2.0,-24.0,-11.0,4.0,0.0250000009327997,4.542950595320969e-05,0.0250000008664339,4.463722798974016e-05,0.0250000021812732,5.282597470050794e-05,0.0250000022602191,5.5715475510006246e-05,0.0250000111590066,0.000118640274411,0.0250000109377878,0.0001173177238924,762062,93041,1317,93240,1312,0.1220911159459466,0.0017282058415194,0.1223522495544982,0.0017216446955759
01-04-2021,104.8,125.84,-7.0,-8.0,-4.0,-23.0,-20.0,7.0,0.0250000010306824,5.1095969065755136e-05,0.0250000008571642,4.555088601176595e-05,0.025000002455409,5.917504516330664e-05,0.0250000023824641,5.888703228348844e-05,0.0250000108040671,0.0001156936011369,0.025000010333791,0.0001116954849131,762062,93240,1319,93240,1312,0.1223522495544982,0.0017308302998968,0.1223522495544982,0.0017216446955759
01-05-2021,113.41,139.79,-13.0,-15.0,-15.0,-21.0,-21.0,8.0,0.025000001032872,5.2871570280111934e-05,0.0250000007546689,4.242366563125478e-05,0.0250000026074427,6.301560510268215e-05,0.0250000023188799,5.810467445516762e-05,0.0250000102210724,0.0001102487156002,0.0250000102288516,0.0001112771536918,762062,93494,1336,93832,1334,0.1226855557684283,0.0017531381961047,0.1231290892342092,0.0017505137377273
01-06-2021,107.4,139.01,-13.0,-15.0,-8.0,-24.0,-19.0,8.0,0.0250000010934744,5.541298352743542e-05,0.0250000008293483,4.4409651810365726e-05,0.0250000027154867,6.518764519752704e-05,0.0250000024120593,5.971436037642018e-05,0.0250000102091193,0.0001105413033864,0.0250000100847941,0.000110098321277,762062,93832,1341,94156,1341,0.1231290892342092,0.0017596993420482,0.1235542514913484,0.0017596993420482
01-07-2021,110.62,138.58,-13.0,-14.0,-11.0,-27.0,-20.0,9.0,0.0250000011271658,5.695638066597516e-05,0.0250000007928942,4.153919415473701e-05,0.0250000028039262,6.710488444794426e-05,0.0250000019865383,4.947192504697538e-05,0.0250000100759272,0.0001094982937851,0.0250000085424333,9.419329012622716e-05,762062,94156,1348,94438,1352,0.1235542514913484,0.0017688849463691,0.1239243001225622,0.0017741338631239
01-08-2021,130.52,164.01,-15.0,-16.0,-12.0,-25.0,-17.0,10.0,0.0250000008718538,4.511493285672208e-05,0.0250000006040676,3.156957524551634e-05,0.0250000023713106,5.710471463394768e-05,0.0250000021599023,5.285148476027914e-05,0.0250000103751054,0.000112812013848,0.0250000078946089,8.805556570805838e-05,762062,94438,1359,94558,1352,0.1239243001225622,0.0017833194674449,0.1240817676252063,0.0017741338631239
01-09-2021,128.75,178.22,-16.0,-14.0,-12.0,-24.0,-6.0,6.0,0.0250000006541035,3.4407159389362776e-05,0.0250000007518937,3.854493214271469e-05,0.0250000025355405,6.065816188317347e-05,0.0250000024433568,5.936127216182434e-05,0.0250000079032489,8.769179711322369e-05,0.0250000071663769,8.060080528240134e-05,762062,94558,1360,94716,1352,0.1240817676252063,0.0017846316966336,0.1242890998370211,0.0017741338631239
01-10-2021,98.52,112.11,-11.0,-11.0,3.0,-24.0,-9.0,4.0,0.025000000789082,4.095487968077269e-05,0.0250000008611024,4.489313425014134e-05,0.0250000028179196,6.742884957946275e-05,0.0250000025828238,6.301388840275033e-05,0.0250000071860275,8.035701218440849e-05,0.0250000062667903,7.135055164125697e-05,762062,94716,1360,94830,1352,0.1242890998370211,0.0017846316966336,0.124438693964533,0.0017741338631239
01-11-2021,109.09,150.48,-12.0,-15.0,-7.0,-27.0,-18.0,7.0,0.0250000008895107,4.684459910122877e-05,0.0250000008694353,4.7101101384448974e-05,0.0250000029543641,7.127058868325184e-05,0.0250000025870727,6.385280350480128e-05,0.0250000065357717,7.375912490561922e-05,0.0250000055638111,6.41859089245694e-05,762062,94830,1360,94968,1355,0.124438693964533,0.0017846316966336,0.1246197815925738,0.0017780705506901
01-12-2021,109.55,149.64,-15.0,-16.0,-7.0,-23.0,-20.0,8.0,0.0250000008933374,4.856365859702769e-05,0.0250000009246454,5.084746931680382e-05,0.025000002954276,7.222818981545911e-05,0.0250000024831407,6.222209338863553e-05,0.0250000058402551,6.66900668109037e-05,0.0250000057351715,6.627404818259414e-05,762062,94968,1363,95135,1357,0.1246197815925738,0.0017885683841997,0.1248389238670869,0.0017806950090675
01-13-2021,108.28,147.74,-14.0,-12.0,-3.0,-19.0,-19.0,7.0,0.0250000005006629,3.164190486499135e-05,0.0250000003937247,2.735801909571112e-05,0.0250000028444523,7.062999321570565e-05,0.0250000023556702,6.005887421625626e-05,0.025000006018372,6.886807280009735e-05,0.0250000057018588,6.618638120047148e-05,762062,95135,1364,95378,1365,0.1248389238670869,0.0017898806133884,0.1251577955599413,0.0017911928425771
01-14-2021,98.01,129.28,-24.0,-21.0,-28.0,-35.0,-21.0,11.0,0.025000000409898,2.8124270287648644e-05,0.0250000003137591,2.3066683237273645e-05,0.0250000027018658,6.828285716913517e-05,0.0250000020963805,5.443541450560304e-05,0.0250000059870771,6.883421983388701e-05,0.0250000053550968,6.271989745581568e-05,762062,95378,1372,95599,1373,0.1251577955599413,0.001800378446898,0.1254477982106442,0.0018016906760867
01-15-2021,125.48,167.02,-23.0,-24.0,-28.0,-28.0,-20.0,12.0,0.0250000003238335,2.3658675881599016e-05,0.025,1e-05,0.0250000021316504,5.5582539280087726e-05,0.0250000015732534,4.2424593113591416e-05,0.0250000056412478,6.541089910565183e-05,0.0250000055586037,6.496745098952807e-05,762062,95599,1395,95714,1381,0.1254477982106442,0.0018305597182381,0.1255987045673449,0.0018121885095963
01-16-2021,128.16,168.86,-18.0,-16.0,-16.0,-28.0,-8.0,6.0,0.0250000003181799,2.036933753298541e-05,0.0250000003502454,2.232569461158356e-05,0.0250000017263167,4.541549623300429e-05,0.0250000017611132,4.6581832730103365e-05,0.0250000049025292,5.753814178477287e-05,0.0250000043908518,5.2694991008251576e-05,762062,95714,1403,95864,1384,0.1255987045673449,0.0018410575517477,0.1257955389456501,0.0018161251971624
01-17-2021,98.16,111.6,-15.0,-16.0,-4.0,-28.0,-11.0,4.0,0.0250000005721099,2.9899980459993487e-05,0.0250000005016696,2.8939531690656348e-05,0.0250000020147098,5.125151178259675e-05,0.0250000019699662,5.139918181666574e-05,0.0250000047928441,5.634098657143887e-05,0.0250000037459564,4.5950816778847965e-05,762062,95864,1406,95907,1384,0.1257955389456501,0.0018449942393138,0.1258519648007642,0.0018161251971624
01-18-2021,109.82,138.89,-17.0,-21.0,-19.0,-30.0,-34.0,12.0,0.0250000007932478,3.963013114620336e-05,0.0250000005999963,3.41323275398942e-05,0.0250000023083471,5.758262321580835e-05,0.0250000020497254,5.351932101822794e-05,0.0250000041969945,5.00339637577723e-05,0.0250000036803365,4.539610379472832e-05,762062,95934,1406,96071,1386,0.1258873949888591,0.0018449942393138,0.1260671703877112,0.0018187496555398
01-19-2021,106.29,134.67,-21.0,-19.0,-22.0,-25.0,-21.0,8.0,0.0250000009361083,4.731120038287716e-05,0.0250000005970284,3.492780874503469e-05,0.025000002458588,6.105237162051212e-05,0.0250000022009434,5.727969294741135e-05,0.0250000041769624,4.9899621982338285e-05,0.0250000038331324,4.720420292609282e-05,762062,96071,1408,96222,1387,0.1260671703877112,0.0018476186976912,0.1262653169952051,0.0018200618847285
01-20-2021,105.12,143.95,-17.0,-16.0,-17.0,-22.0,-18.0,8.0,0.0250000009583882,4.998539952683753e-05,0.0250000005970895,3.5902015163982255e-05,0.0250000019441213,4.938792514187569e-05,0.0250000013872453,3.888993410389769e-05,0.0250000043707003,5.2100881095605946e-05,0.0250000039043083,4.815312623267748e-05,762062,96222,1409,96370,1400,0.1262653169952051,0.0018489309268799,0.1264595269151329,0.0018371208641816
01-21-2021,109.71,135.21,-17.0,-16.0,-22.0,-25.0,-19.0,8.0,0.0250000009968061,5.345308976488405e-05,0.0250000005361168,3.2351895257215016e-05,0.0250000018991537,4.877114864670928e-05,0.0250000012958155,3.645381566074041e-05,0.0250000044799051,5.34271401849338e-05,0.0250000038790001,4.7982490449921895e-05,762062,96369,1422,96567,1403,0.1264582146859441,0.001865989906333,0.126718036065307,0.0018410575517477
01-22-2021,134.39,163.7,-18.0,-17.0,-16.0,-25.0,-16.0,9.0,0.0250000009394009,5.057004653338447e-05,0.0250000004550057,2.8157760950660676e-05,0.0250000018425347,4.7343386353746464e-05,0.0250000010259442,3.0044882137216625e-05,0.0250000044864859,5.359206742814745e-05,0.0250000038499354,4.777772344335139e-05,762062,96565,1428,96720,1411,0.1267154116069296,0.0018738632814652,0.1269188071311783,0.0018515553852573
01-23-2021,126.44,179.07,-21.0,-18.0,-13.0,-29.0,-7.0,6.0,0.0250000004837543,2.9090832537274517e-05,0.0250000004062993,2.508623932270476e-05,0.0250000016235158,4.219863791429001e-05,0.025000001245999,3.480990664739332e-05,0.0250000044981193,5.379158168360279e-05,0.0250000033803708,4.280668172511786e-05,762062,96720,1436,96817,1411,0.1269188071311783,0.0018843611149748,0.1270460933624823,0.0018515553852573
01-24-2021,92.11,101.99,-20.0,-18.0,-22.0,-29.0,-10.0,5.0,0.0250000004559774,2.6812417942404616e-05,0.0250000004382424,2.674540941788069e-05,0.0250000018426982,4.711386547050193e-05,0.0250000014223448,3.896874158769188e-05,0.0250000040651344,4.919833622129976e-05,0.025000003383718,4.295616571530919e-05,762062,96817,1436,96874,1411,0.1270460933624823,0.0018843611149748,0.1271208904262382,0.0018515553852573
01-25-2021,103.32,130.18,-20.0,-21.0,-21.0,-28.0,-18.0,8.0,0.0250000005023401,2.91280643530224e-05,0.0250000005086858,3.084355465367924e-05,0.0250000020497252,5.2212127687106406e-05,0.0250000015625008,4.256761341011192e-05,0.0250000041007496,4.96964560274057e-05,0.0250000035278199,4.4645266869456e-05,762062,96874,1436,97006,1415,0.1271208904262382,0.0018843611149748,0.1272941046791468,0.0018568043020121
01-26-2021,105.03,126.05,-22.0,-22.0,-30.0,-27.0,-19.0,9.0,0.0250000005819787,3.374970565941359e-05,0.0250000005326548,3.257979113845306e-05,0.0250000022127223,5.659606141483552e-05,0.0250000015796424,4.3266064520883227e-05,0.0250000042747694,5.171841137273383e-05,0.0250000035962113,4.551203121688768e-05,762062,97006,1440,97160,1416,0.1272941046791468,0.0018896100317297,0.1274961879742068,0.0018581165312008
01-27-2021,108.26,127.38,-20.0,-20.0,-24.0,-24.0,-18.0,8.0,0.0250000006110095,3.587058553022514e-05,0.0250000005617421,3.458014790610582e-05,0.0250000022458268,5.791930132313956e-05,0.025000001614563,4.447389078836236e-05,0.025000004369911,5.289447192832955e-05,0.0250000035775139,4.546933790049025e-05,762062,97160,1441,97305,1417,0.1274961879742068,0.0018909222609184,0.1276864612065684,0.0018594287603895
01-28-2021,113.51,142.02,-17.0,-17.0,-16.0,-28.0,-18.0,8.0,0.0250000006424196,3.813007860663513e-05,0.0250000002520539,2.0915931303195e-05,0.0250000023324845,6.0546890986667874e-05,0.0250000013821706,3.953684091008593e-05,0.025000004375011,5.313775879963532e-05,0.0250000034623691,4.4433921185075593e-05,762062,97304,1442,97458,1419,0.1276851489773798,0.0018922344901071,0.1278872322724397,0.0018620532187669
01-29-2021,137.26,167.5,-16.0,-18.0,-19.0,-27.0,-16.0,9.0,0.0250000003333916,2.459703298119116e-05,0.025,1e-05,0.0250000021059817,5.590497194390903e-05,0.0250000011446775,3.442144569142224e-05,0.025000004278942,5.234959451832751e-05,0.0250000033361792,4.3289411576001e-05,762062,97457,1444,97562,1422,0.127885920043251,0.0018948589484845,0.1280237041080647,0.001865989906333
01-30-2021,127.86,170.48,-18.0,-16.0,-16.0,-32.0,-8.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000012573345,3.672726083153268e-05,0.0250000009131665,2.933529591931092e-05,0.0250000041679075,5.141822299390051e-05,0.0250000030642547,4.055304134998868e-05,762062,97561,1447,97630,1422,0.1280223918788759,0.0018987956360506,0.1281129356928964,0.001865989906333
01-31-2021,97.66,109.43,-14.0,-14.0,-4.0,-27.0,-10.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000010297726,3.179387660013999e-05,0.0250000008645556,2.8593476491741004e-05,0.0250000036490007,4.608298755027746e-05,0.0250000025224531,3.4936268155307853e-05,762062,97629,1447,97683,1422,0.1281116234637077,0.0018987956360506,0.1281824838398975,0.001865989906333
02-01-2021,104.88,125.24,-14.0,-13.0,-11.0,-27.0,-17.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000009837635,3.117636744886662e-05,0.0250000009221298,3.0367348579162967e-05,0.0250000031197606,4.0654524307301054e-05,0.0250000025708254,3.565965895816809e-05,762062,97680,1447,97798,1422,0.1281785471523314,0.0018987956360506,0.1283333901965981,0.001865989906333
02-02-2021,110.06,128.89,-16.0,-14.0,-12.0,-25.0,-19.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000010425824,3.3041395586896286e-05,0.0250000008813376,2.987381763459697e-05,0.0250000031800326,4.155952380270207e-05,0.0250000026439112,3.6667998918405376e-05,762062,97797,1447,97936,1422,0.1283320779674094,0.0018987956360506,0.1285144778246389,0.001865989906333
02-03-2021,111.53,136.84,-16.0,-12.0,-15.0,-24.0,-17.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000010030117,3.262753075239927e-05,0.0250000008698737,3.0009308177117543e-05,0.0250000032630242,4.273124477053754e-05,0.0250000026309121,3.6764256242340615e-05,762062,97936,1447,98034,1422,0.1285144778246389,0.0018987956360506,0.1286430762851316,0.001865989906333
02-04-2021,109.8,128.95,-19.0,-16.0,-22.0,-27.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000009917608,3.280822195800116e-05,0.0250000003624358,1.8567074914329724e-05,0.0250000032579075,4.297135425839728e-05,0.0250000026915279,3.763375208054008e-05,762062,98034,1447,98095,1426,0.1286430762851316,0.0018987956360506,0.1287231222656424,0.0018712388230878
02-05-2021,132.12,166.17,-19.0,-14.0,-27.0,-28.0,-16.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000004842357,2.138631585274805e-05,0.0250000002875987,1.686556563303956e-05,0.0250000026880375,3.714574879506892e-05,0.0250000019272058,2.962586233843366e-05,762062,98095,1451,98106,1428,0.1287231222656424,0.0019040445528054,0.1287375567867181,0.0018738632814652
02-06-2021,119.19,165.45,-25.0,-16.0,-40.0,-33.0,-9.0,8.0,0.025,1e-05,0.025,1e-05,0.025000000287608,1.68659907025217e-05,0.025,1e-05,0.0250000025639705,3.607004122426946e-05,0.0250000017271224,2.7639460658572496e-05,762062,98106,1453,98155,1428,0.1287375567867181,0.0019066690111828,0.1288018560169645,0.0018738632814652
02-07-2021,85.85,102.2,-30.0,-15.0,-40.0,-35.0,-12.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000002366675,3.418301050901222e-05,0.0250000013766438,2.4035615963903245e-05,762062,98155,1453,98184,1428,0.1288018560169645,0.0019066690111828,0.1288399106634368,0.0018738632814652
02-08-2021,95.16,115.48,-22.0,-23.0,-29.0,-30.0,-19.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000020181928,3.066579007142229e-05,0.0250000014241354,2.4719732150711563e-05,762062,98184,1454,98175,1427,0.1288399106634368,0.0019079812403715,0.1288281006007385,0.0018725510522765
02-09-2021,102.3,120.75,-20.0,-20.0,-33.0,-27.0,-19.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000020355872,3.107079432206656e-05,0.0250000014601364,2.5299409060579154e-05,762062,98175,1457,98214,1429,0.1288281006007385,0.0019119179279376,0.1288792775390978,0.0018751755106539
02-10-2021,104.17,120.96,-17.0,-17.0,-24.0,-23.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000020913067,3.185752029348784e-05,0.0250000014990667,2.5881981234177832e-05,762062,98214,1459,98353,1430,0.1288792775390978,0.001914542386315,0.1290616773963273,0.0018764877398426
02-11-2021,109.62,141.6,-18.0,-15.0,-27.0,-25.0,-19.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000021481897,3.263045686720112e-05,0.0250000014270544,2.5252947497166848e-05,762062,98353,1460,98466,1431,0.1290616773963273,0.0019158546155037,0.1292099592946505,0.0018777999690313
02-12-2021,139.37,167.23,-16.0,-16.0,-37.0,-25.0,-21.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000020919978,3.217076659735783e-05,0.0250000013889882,2.497366057590962e-05,762062,98466,1461,98551,1431,0.1292099592946505,0.0019171668446924,0.1293214987756901,0.0018777999690313
02-13-2021,129.7,180.18,-18.0,-16.0,-46.0,-28.0,-11.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000021038188,3.242905824638866e-05,0.0250000011287004,2.2289994106257703e-05,762062,98551,1461,98597,1431,0.1293214987756901,0.0019171668446924,0.1293818613183704,0.0018777999690313
02-14-2021,102.63,126.05,-8.0,-12.0,-35.0,-28.0,-14.0,4.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000018550228,2.986809729339452e-05,0.0250000008661116,1.957051092271641e-05,762062,98597,1461,98643,1431,0.1293818613183704,0.0019171668446924,0.1294422238610506,0.0018777999690313
02-15-2021,102.96,120.12,-12.0,-19.0,-29.0,-28.0,-35.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000010656208,2.1450096281747182e-05,0.0250000006030011,1.6834029563787655e-05,762062,98643,1461,98781,1431,0.1294422238610506,0.0019171668446924,0.1296233114890914,0.0018777999690313
02-16-2021,104.79,122.11,-20.0,-20.0,-30.0,-28.0,-20.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000008133686,1.8826460495672904e-05,0.0250000005151396,1.598760036697798e-05,762062,98781,1461,98901,1431,0.1296233114890914,0.0019171668446924,0.1297807789917355,0.0018777999690313
02-17-2021,107.76,125.6,-18.0,-17.0,-17.0,-23.0,-16.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007351469,1.8084403845549187e-05,0.0250000005332216,1.6278962265758485e-05,762062,98901,1461,99034,1435,0.1297807789917355,0.0019171668446924,0.1299553054738328,0.0018830488857861
02-18-2021,119.09,147.08,-14.0,-14.0,-20.0,-22.0,-19.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007615893,1.846985993912739e-05,0.0250000004899861,1.5853467367794174e-05,762062,99034,1465,99153,1435,0.1299553054738328,0.0019224157614472,0.1301114607472882,0.0018830488857861
02-19-2021,147.41,185.6,-13.0,-14.0,-14.0,-20.0,-17.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007264623,1.8138151570002505e-05,0.0250000004792468,1.5776164420697038e-05,762062,99153,1465,99228,1437,0.1301114607472882,0.0019224157614472,0.1302098779364408,0.0018856733441635
02-20-2021,146.61,203.46,-14.0,-13.0,7.0,-21.0,-8.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000007224429,1.814261054729855e-05,0.0250000000472614,1.1109477168432937e-05,762062,99228,1467,99277,1438,0.1302098779364408,0.0019250402198246,0.1302741771666872,0.0018869855733522
02-21-2021,108.13,121.42,-9.0,-9.0,12.0,-17.0,-10.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000002964262,1.355061212463848e-05,0.025,1e-05,762062,99277,1468,99312,1438,0.1302741771666872,0.0019263524490133,0.1303201051882917,0.0018869855733522
02-22-2021,107.01,128.28,-11.0,-15.0,-5.0,-27.0,-16.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000000118811,1.1639318625112578e-05,0.025,1e-05,762062,99312,1468,99416,1439,0.1303201051882917,0.0019263524490133,0.1304565770239167,0.001888297802541
02-23-2021,107.47,124.73,-19.0,-19.0,-22.0,-24.0,-19.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99416,1469,99531,1440,0.1304565770239167,0.001927664678202,0.1306074833806173,0.0018896100317297
02-24-2021,112.63,141.14,-13.0,-15.0,-10.0,-17.0,-16.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99531,1470,99621,1441,0.1306074833806173,0.0019289769073907,0.1307255840076004,0.0018909222609184
02-25-2021,122.17,152.95,-9.0,-11.0,-7.0,-18.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99621,1471,99711,1442,0.1307255840076004,0.0019302891365794,0.1308436846345835,0.0018922344901071
02-26-2021,149.65,191.72,-9.0,-12.0,-5.0,-19.0,-15.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99711,1472,99780,1445,0.1308436846345835,0.0019316013657681,0.1309342284486039,0.0018961711776732
02-27-2021,145.47,199.01,-13.0,-14.0,-25.0,-20.0,-7.0,4.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99780,1475,99809,1445,0.1309342284486039,0.0019355380533342,0.1309722830950762,0.0018961711776732
02-28-2021,108.71,119.43,-6.0,-8.0,-12.0,-15.0,-9.0,2.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99809,1475,99852,1445,0.1309722830950762,0.0019355380533342,0.1310287089501904,0.0018961711776732
03-01-2021,111.44,134.64,-10.0,-11.0,-12.0,-21.0,-16.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99852,1475,99957,1447,0.1310287089501904,0.0019355380533342,0.131166493015004,0.0018987956360506
03-02-2021,117.78,153.19,-9.0,-12.0,5.0,-16.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,99957,1477,100067,1448,0.131166493015004,0.0019381625117116,0.1313108382257611,0.0019001078652393
03-03-2021,119.69,157.26,-7.0,-9.0,19.0,-10.0,-17.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100067,1478,100067,1448,0.1313108382257611,0.0019394747409003,0.1313108382257611,0.0019001078652393
03-04-2021,130.93,172.89,-5.0,-8.0,25.0,-14.0,-19.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100184,1478,100278,1448,0.1314643690408392,0.0019394747409003,0.1315877185845771,0.0019001078652393
03-05-2021,156.88,215.63,-6.0,-10.0,10.0,-10.0,-17.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100278,1478,100278,1448,0.1315877185845771,0.0019394747409003,0.1315877185845771,0.0019001078652393
03-06-2021,150.27,208.92,-6.0,-8.0,20.0,-9.0,-10.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100357,1479,100391,1449,0.1316913846904845,0.001940786970089,0.1317360004829003,0.001901420094428
03-07-2021,111.38,134.76,0.0,-2.0,49.0,-5.0,-10.0,1.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100391,1479,100419,1449,0.1317360004829003,0.001940786970089,0.1317727429001839,0.001901420094428
03-08-2021,115.22,152.98,-8.0,-10.0,20.0,-20.0,-16.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100419,1479,100514,1449,0.1317727429001839,0.001940786970089,0.1318974046731106,0.001901420094428
03-09-2021,120.04,146.75,-10.0,-13.0,-3.0,-13.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,762062,100514,1479,100615,1452,0.1318974046731106,0.001940786970089,0.1320299398211694,0.0019053567819941
