date,Ohio-apple-driving,Ohio-apple-walking,Ohio-google-retail_and_recreation,Ohio-google-grocery_and_pharmacy,Ohio-google-parks,Ohio-google-transit_stations,Ohio-google-workplaces,Ohio-google-residential,Ohio-jh_beta_7,Ohio-jh_gamma_7,Ohio-cdc_beta_7,Ohio-cdc_gamma_7,Ohio-jh_beta_14,Ohio-jh_gamma_14,Ohio-cdc_beta_14,Ohio-cdc_gamma_14,Ohio-jh_beta_30,Ohio-jh_gamma_30,Ohio-cdc_beta_30,Ohio-cdc_gamma_30,Ohio-census_pop,Ohio-jh_confirmed,Ohio-jh_death,Ohio-cdc_confirmed,Ohio-cdc_death,Ohio-jh_confirmed_ratio,Ohio-jh_death_ratio,Ohio-cdc_confirmed_ratio,Ohio-cdc_death_ratio
01-01-2021,78.19,88.65,-51.0,-41.0,-34.0,-58.0,-76.0,28.0,0.0250000007784396,3.896258068349609e-05,0.025,1e-05,0.0250001942505754,0.0002620962575312,0.0250000023021476,5.253886332156735e-05,0.0249994695215898,0.0003190784222246,0.024999915080351,0.0001381747625382,11689100,700380,13766,700380,8962,0.0599173589070159,0.0011776783499157,0.0599173589070159,0.0007666971794235
01-02-2021,110.21,126.32,-21.0,-12.0,9.0,-22.0,-19.0,8.0,0.0250000007738822,3.891955879558854e-05,0.0250000003269578,2.1699617049339576e-05,0.0250001736743124,0.0002510991263486,0.0250000023342546,5.316273147568654e-05,0.0249994265611564,0.0003141295932352,0.0249999148979236,0.000131853497394,11689100,714673,13919,714673,9017,0.0611401219939944,0.0011907674671274,0.0611401219939944,0.0007714024176369
01-03-2021,86.28,95.14,-23.0,-17.0,-3.0,-24.0,-14.0,6.0,0.0250000007590387,3.837796572930866e-05,0.0250000003704146,2.379516251019141e-05,0.0250001593543791,0.0002436162197305,0.0250000023806513,5.418817181039226e-05,0.0249993748509873,0.0003098740935225,0.0249999091655643,0.0001286217770652,11689100,721481,14053,721481,9076,0.0617225449350249,0.0012022311384109,0.0617225449350249,0.0007764498549931
01-04-2021,105.79,114.82,-14.0,-7.0,-11.0,-24.0,-29.0,11.0,0.0250000007384327,3.762094165144445e-05,0.0250000003968248,2.520104683537011e-05,0.0250001452587753,0.0002356264267752,0.0250000025832927,5.853992630156285e-05,0.0249993355094858,0.0003018266757019,0.024999910446483,0.0001214111513385,11689100,727423,14217,727423,9143,0.0622308817616411,0.0012162613032654,0.0622308817616411,0.0007821816906348
01-05-2021,112.16,120.55,-18.0,-7.0,-9.0,-22.0,-29.0,11.0,0.0250000007153889,3.663974338323462e-05,0.0250000003974286,2.5413807982829923e-05,0.0250001334788762,0.0002279775707511,0.0250000025778233,5.851918334579738e-05,0.0249992946525184,0.000294706746603,0.0249999027544125,0.0001193850542646,11689100,735003,14352,735003,9247,0.0628793491372304,0.0012278105243346,0.0628793491372304,0.0007910788683474
01-06-2021,106.94,121.14,-18.0,-9.0,-9.0,-24.0,-29.0,11.0,0.0250000007067288,3.63010571638597e-05,0.0250000003330975,2.261391756247185e-05,0.0250001202299493,0.0002187642666166,0.0250000024081948,5.485700422184473e-05,0.0249992698043645,0.0002891967777712,0.0249998882159071,0.0001221744355681,11689100,742817,14506,742817,9368,0.0635478351626729,0.001240985191332,0.0635478351626729,0.0008014303924168
01-07-2021,108.69,119.47,-20.0,-10.0,-10.0,-24.0,-29.0,12.0,0.0250000007143792,3.660018161929178e-05,0.0250000002999197,2.087793945368866e-05,0.0250001136751532,0.0002157955382845,0.0250000023430419,5.317563112736241e-05,0.0249992412965767,0.0002828891854068,0.0249998804432759,0.0001209880098794,11689100,753068,14625,753068,9462,0.0644248060158609,0.0012511656158301,0.0644248060158609,0.0008094720722724
01-08-2021,124.1,139.13,-23.0,-14.0,-4.0,-26.0,-27.0,12.0,0.0250000007101741,3.651543840458184e-05,0.0250000002930833,2.0296424105455504e-05,0.025000107515869,0.0002137768615368,0.0250000023384548,5.2770315646255225e-05,0.025000030009344,0.0002643152160494,0.025000012365385,0.0001144475207336,11689100,762603,14766,762603,9544,0.0652405232224893,0.0012632281356135,0.0652405232224893,0.0008164871546996
01-09-2021,124.71,146.06,-17.0,-8.0,26.0,-21.0,-8.0,6.0,0.0250000007039968,3.632644200840689e-05,0.0250000003779008,2.3745830814538647e-05,0.0250001055442841,0.0002120735315031,0.0250000026478865,5.9089800556057565e-05,0.0250000291084843,0.0002572620280414,0.0250000120633648,0.0001119262475451,11689100,770977,14898,770977,9599,0.0659569171279225,0.0012745207073256,0.0659569171279225,0.000821192392913
01-10-2021,93.26,102.14,-18.0,-8.0,28.0,-26.0,-11.0,5.0,0.0250000007001783,3.622242598016119e-05,0.0250000004071651,2.5091563713533746e-05,0.0250000933720343,0.0002033211959079,0.0250000029033049,6.445625062746736e-05,0.0250000280771619,0.0002490726334916,0.0250000126366076,0.0001172503026714,11689100,777065,15045,777065,9627,0.0664777442232507,0.0012870965258232,0.0664777442232507,0.0008235877869125
