date,Oklahoma-apple-driving,Oklahoma-apple-walking,Oklahoma-google-retail_and_recreation,Oklahoma-google-grocery_and_pharmacy,Oklahoma-google-parks,Oklahoma-google-transit_stations,Oklahoma-google-workplaces,Oklahoma-google-residential,Oklahoma-jh_beta_7,Oklahoma-jh_gamma_7,Oklahoma-cdc_beta_7,Oklahoma-cdc_gamma_7,Oklahoma-jh_beta_14,Oklahoma-jh_gamma_14,Oklahoma-cdc_beta_14,Oklahoma-cdc_gamma_14,Oklahoma-jh_beta_30,Oklahoma-jh_gamma_30,Oklahoma-cdc_beta_30,Oklahoma-cdc_gamma_30,Oklahoma-census_pop,Oklahoma-jh_confirmed,Oklahoma-jh_death,Oklahoma-cdc_confirmed,Oklahoma-cdc_death,Oklahoma-jh_confirmed_ratio,Oklahoma-jh_death_ratio,Oklahoma-cdc_confirmed_ratio,Oklahoma-cdc_death_ratio
01-01-2021,76.23,76.12,-45.0,-36.0,-42.0,-42.0,-72.0,27.0,0.025000000296531,2.0540745301834127e-05,0.025000000977584,4.687596408443104e-05,0.025000002637158,5.960135349974615e-05,0.0250000249463002,0.0001579520389599,0.0250000093412127,8.974661261213506e-05,0.0250000189758371,0.0001737639785259,3956971,291209,2489,329026,4619,0.073593918176302,0.0006290164876113,0.0831509758347988,0.0011673070133695
01-02-2021,109.42,105.14,-20.0,-10.0,-38.0,-11.0,-16.0,8.0,0.0250000003629558,2.3478671147287137e-05,0.0250000010136523,4.8455557103677456e-05,0.0250000027336998,6.174737384887067e-05,0.0250000222457495,0.0001581350011645,0.0250000086036676,8.3003740988362e-05,0.0250000185444729,0.0001701554520413,3956971,296343,2527,331382,4684,0.074891375246369,0.0006386197927657,0.0837463807543699,0.0011837337195546
01-03-2021,91.91,80.56,-14.0,-9.0,-24.0,-5.0,-11.0,6.0,0.0250000003611101,2.3327131892518468e-05,0.0250000010599336,5.036968047051701e-05,0.025000002739878,6.173588024806444e-05,0.0250000198025618,0.0001586880085167,0.025000008527392,8.23365394175347e-05,0.0250000182338528,0.000167505443365,3956971,304375,2547,334353,4735,0.0769212106937351,0.0006436741638996,0.0844972075863078,0.001196622365946
01-04-2021,111.6,114.31,-5.0,-1.0,-17.0,-10.0,-27.0,9.0,0.0250000004003178,2.5079574220824734e-05,0.0250000010603311,5.0452907134814806e-05,0.0250000028003907,6.299422221321491e-05,0.025000018401514,0.0001605445347581,0.0250000082917846,8.044267373161897e-05,0.0250000177251149,0.0001629523731513,3956971,307091,2552,337128,4783,0.077607594293716,0.000644937756683,0.0851985015811336,0.0012087528566673
01-05-2021,118.85,119.51,-6.0,1.0,0.0,-5.0,-25.0,8.0,0.0250000004180381,2.620993217083578e-05,0.025000001035841,4.9573763539313794e-05,0.0250000030039118,6.763938320683167e-05,0.0250000167290257,0.0001627371675179,0.0250000082296919,8.026078044376863e-05,0.0250000174823099,0.0001609362423414,3956971,308600,2571,342671,4841,0.0779889465957673,0.0006497394092602,0.0865993205408884,0.0012234105329556
01-06-2021,108.53,112.39,-10.0,-4.0,-22.0,-8.0,-24.0,9.0,0.0250000004039921,2.5866296356102804e-05,0.025000001044188,4.998930025016851e-05,0.0250000029997676,6.784755263879088e-05,0.0250000075831428,0.0001550163328528,0.0250000080762008,7.912654050966831e-05,0.0250000172839703,0.0001591861035955,3956971,311924,2633,346822,4892,0.0788289830782181,0.0006654079597752,0.0876483552697252,0.001236299179347
01-07-2021,113.18,112.47,-14.0,-5.0,-26.0,-13.0,-25.0,10.0,0.0250000003584538,2.3423695914680485e-05,0.0250000010370107,4.977358725420228e-05,0.0250000028462734,6.4116865248693e-05,0.0250000077780597,0.0001593407393624,0.025000008179358,8.011643901304513e-05,0.0250000171940275,0.0001585002497444,3956971,315730,2672,350724,4951,0.0797908299049955,0.0006752639834863,0.0886344630779452,0.0012512095741919
01-08-2021,130.41,133.06,-16.0,-12.0,-28.0,-12.0,-23.0,10.0,0.0250000003625689,2.3056297621331037e-05,0.0250000010486568,5.024604007321153e-05,0.0250000026908107,6.018572820228184e-05,0.0250000079492396,0.0001631077405947,0.0250000083552383,8.177170960326557e-05,0.0250000168993662,0.0001561019268256,3956971,320974,2703,354099,5015,0.0811160860162988,0.0006830982587438,0.0894873882067874,0.0012673835618203
01-09-2021,125.05,126.09,-16.0,-7.0,-28.0,-8.0,-8.0,6.0,0.0250000004778936,2.765713083494217e-05,0.0250000010702885,5.099168085875399e-05,0.0250000030910953,6.82286105931961e-05,0.0250000081356942,0.0001670646639459,0.0250000083324994,8.152233578664763e-05,0.0250000165964691,0.0001534981508541,3956971,325277,2738,357361,5073,0.0822035339657531,0.0006919434082281,0.0903117561387232,0.0012820412381086
01-10-2021,88.79,78.71,-16.0,-7.0,-42.0,-13.0,-11.0,6.0,0.0250000004771314,2.742303925748896e-05,0.0250000010532438,5.00961695945516e-05,0.0250000031678534,6.936310194427604e-05,0.0250000083145539,0.0001708497640043,0.0250000081176442,7.941876105392885e-05,0.0250000163364267,0.0001513293112528,3956971,331775,2761,359445,5145,0.0838456991471506,0.0006977559350321,0.0908384216108735,0.0013002369741906
