date,Oregon-apple-driving,Oregon-apple-walking,Oregon-google-retail_and_recreation,Oregon-google-grocery_and_pharmacy,Oregon-google-parks,Oregon-google-transit_stations,Oregon-google-workplaces,Oregon-google-residential,Oregon-jh_beta_7,Oregon-jh_gamma_7,Oregon-cdc_beta_7,Oregon-cdc_gamma_7,Oregon-jh_beta_14,Oregon-jh_gamma_14,Oregon-cdc_beta_14,Oregon-cdc_gamma_14,Oregon-jh_beta_30,Oregon-jh_gamma_30,Oregon-cdc_beta_30,Oregon-cdc_gamma_30,Oregon-census_pop,Oregon-jh_confirmed,Oregon-jh_death,Oregon-cdc_confirmed,Oregon-cdc_death,Oregon-jh_confirmed_ratio,Oregon-jh_death_ratio,Oregon-cdc_confirmed_ratio,Oregon-cdc_death_ratio
01-01-2021,82.09,83.9,-47.0,-29.0,-5.0,-57.0,-74.0,24.0,0.025,1e-05,0.025,1e-05,0.0250000006423627,2.18946248009733e-05,0.0250000006442049,2.1940470748167284e-05,0.025000265828163,0.0001889188935405,0.0250002663385201,0.000189091608663,4217737,113909,1477,113909,1477,0.0270071367655214,0.0003501877902771,0.0270071367655214,0.0003501877902771
01-02-2021,98.85,98.38,-35.0,-16.0,-21.0,-33.0,-23.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000005971332,2.105952561959066e-05,0.0250000005985399,2.1099689700090634e-05,0.0250002452594968,0.0001842129822589,0.0250002456916367,0.000184373276645,4217737,116348,1492,116348,1492,0.0275854089527156,0.0003537441997924,0.0275854089527156,0.0003537441997924
01-03-2021,89.16,90.01,-26.0,-14.0,5.0,-28.0,-17.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000226575461,0.0001791377860578,0.025000226942469,0.0001792870181375,4217737,117745,1500,117745,1500,0.0279166292255776,0.0003556409515339,0.0279166292255776,0.0003556409515339
01-04-2021,97.7,99.81,-23.0,-8.0,-11.0,-39.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250001906741766,0.0001674902137374,0.0250001909631883,0.0001676272172016,4217737,118453,1506,118453,1506,0.0280844917547016,0.00035706351534,0.0280844917547016,0.00035706351534
01-05-2021,98.27,103.71,-24.0,-5.0,2.0,-38.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000005489496,2.01675727605176e-05,0.0250000005494021,2.019044227746928e-05,0.0250001663189095,0.0001592955178052,0.0250001665503259,0.0001594215917058,4217737,119488,1550,119488,1550,0.02832988401126,0.0003674956499184,0.02832988401126,0.0003674956499184
01-06-2021,98.44,99.97,-27.0,-11.0,-12.0,-42.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250001645754247,0.0001607996148062,0.0250001647736587,0.0001609161286389,4217737,120223,1558,120223,1558,0.0285041480775117,0.0003693924016599,0.0285041480775117,0.0003693924016599
01-07-2021,101.16,105.88,-27.0,-7.0,9.0,-40.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000157202834,0.0001594699360635,0.0250001573678724,0.0001595773010604,4217737,121085,1568,121085,1568,0.0287085230776598,0.0003717633413368,0.0287085230776598,0.0003717633413368
01-08-2021,112.08,118.96,-30.0,-11.0,-7.0,-43.0,-35.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250001338040266,0.0001486875055644,0.0250001339322227,0.0001487861639387,4217737,122847,1575,122847,1575,0.0291262826487284,0.0003734229991106,0.0291262826487284,0.0003734229991106
01-09-2021,109.63,118.2,-30.0,-11.0,22.0,-33.0,-16.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250001162357557,0.0001400984638677,0.0250001163352254,0.0001401889173296,4217737,124476,1603,124476,1603,0.0295125087220943,0.0003800616302059,0.0295125087220943,0.0003800616302059
01-10-2021,86.71,89.13,-25.0,-11.0,-6.0,-36.0,-17.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250001093902786,0.0001382833899344,0.0250001094682761,0.0001383657020863,4217737,125683,1604,125683,1605,0.0297986811410953,0.0003802987241736,0.0297986811410953,0.0003805358181413
01-11-2021,96.14,97.03,-27.0,-11.0,-4.0,-42.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000006045397,2.0744827215921213e-05,0.0250000006055198,2.0758535448764053e-05,0.0250001008651059,0.0001353053853593,0.0250001009829333,0.0001354080681345,4217737,126607,1613,126607,1613,0.0300177559672402,0.0003824325698828,0.0300177559672402,0.0003824325698828
01-12-2021,96.66,96.65,-30.0,-10.0,-20.0,-43.0,-39.0,14.0,0.025,1e-05,0.025,1e-05,0.025000000638222,2.1458050493311684e-05,0.0250000006390596,2.147071195104065e-05,0.0250000948076174,0.0001336354112478,0.0250000949024215,0.0001337291773158,4217737,127780,1667,127780,1667,0.0302958671913398,0.000395235644138,0.0302958671913398,0.000395235644138
01-13-2021,105.46,111.28,-24.0,-8.0,34.0,-39.0,-38.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006638642,2.175192428089093e-05,0.0250000006645708,2.1763535265719167e-05,0.0250000962232312,0.000136287274237,0.0250000963025626,0.0001363729185186,4217737,129109,1708,129109,1708,0.0306109650743989,0.0004049564968133,0.0306109650743989,0.0004049564968133
01-14-2021,106.17,111.35,-28.0,-10.0,19.0,-40.0,-38.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000006991008,2.213320184573105e-05,0.0250000006996904,2.214380868924407e-05,0.0250000976698654,0.0001389653353719,0.0250000977349734,0.000139043081353,4217737,130246,1737,130246,1737,0.0308805409156616,0.0004118322218763,0.0308805409156616,0.0004118322218763
01-15-2021,121.76,123.16,-32.0,-14.0,-13.0,-41.0,-36.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000007950281,2.3748912271958995e-05,0.0250000007955145,2.3758573447419885e-05,0.0250000798146669,0.0001250837733243,0.0250000798621871,0.0001251540162854,4217737,131258,1758,131258,1758,0.0311204800109632,0.0004168111951978,0.0311204800109632,0.0004168111951978
01-16-2021,114.81,127.58,-30.0,-13.0,36.0,-31.0,-17.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000009241791,2.6138958894636456e-05,0.0250000009245668,2.614754548577098e-05,0.0250000643984497,0.0001121713314434,0.0250000644315725,0.0001122341064088,4217737,132412,1799,132412,1799,0.0313940864496766,0.000426532047873,0.0313940864496766,0.000426532047873
01-17-2021,93.71,99.34,-26.0,-14.0,11.0,-34.0,-18.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000010142431,2.7641727511886388e-05,0.0250000010145509,2.764942604026092e-05,0.0250000617810081,0.0001104807527413,0.0250000618057728,0.000110536557825,4217737,133205,1800,133205,1800,0.0315821019660543,0.0004267691418407,0.0315821019660543,0.0004267691418407
01-18-2021,111.28,110.99,-22.0,-11.0,52.0,-39.0,-46.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000011073948,2.944996263870903e-05,0.0250000011076294,2.9456695100116453e-05,0.0250000583315012,0.0001083299446941,0.0250000583491677,0.0001083790757249,4217737,133851,1803,133851,1803,0.0317352646691816,0.0004274804237438,0.0317352646691816,0.0004274804237438
01-19-2021,100.4,103.3,-28.0,-10.0,24.0,-40.0,-38.0,12.0,0.025,1e-05,0.025,1e-05,0.025000001184851,3.1114100737472875e-05,0.0250000011850217,3.11198344155965e-05,0.0250000499392772,0.000100528364086,0.0250000499507612,0.0001005710785116,4217737,134468,1808,134468,1808,0.0318815516472459,0.0004286658935822,0.0318815516472459,0.0004286658935822
01-20-2021,97.29,98.16,-29.0,-12.0,17.0,-42.0,-38.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000010502517,2.8583610771471323e-05,0.0250000010503694,2.858837125063524e-05,0.025000051984219,0.0001050357639245,0.0250000519920492,0.000105072521068,4217737,135142,1832,135142,1832,0.0320413529814685,0.0004343561488068,0.0320413529814685,0.0004343561488068
01-21-2021,101.22,97.23,-30.0,-11.0,-5.0,-41.0,-38.0,13.0,0.025,1e-05,0.025,1e-05,0.025000001107283,2.989540722510364e-05,0.0250000011073576,2.9899192063946323e-05,0.0250000533913213,0.0001082433423703,0.0250000533966659,0.0001082744805932,4217737,135973,1843,135973,1843,0.0322383780686183,0.0004369641824513,0.0322383780686183,0.0004369641824513
01-22-2021,118.78,121.55,-32.0,-12.0,1.0,-41.0,-36.0,13.0,0.025,1e-05,0.025,1e-05,0.0250000011466233,3.089855768214458e-05,0.0250000011466649,3.0901381748100166e-05,0.025000046047592,0.0001009857112913,0.025000046050848,0.0001010113204196,4217737,136839,1865,136839,1865,0.0324437014446372,0.0004421802497405,0.0324437014446372,0.0004421802497405
01-23-2021,119.43,125.24,-30.0,-12.0,41.0,-33.0,-16.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000012149041,3.243117575987382e-05,0.0250000012149226,3.2433062621179115e-05,0.0250000435756102,9.90909260946215e-05,0.0250000435781141,9.91113424416506e-05,4217737,137600,1877,137600,1877,0.0326241299540488,0.0004450253773528,0.0326241299540488,0.0004450253773528
01-24-2021,81.6,79.25,-33.0,-18.0,-36.0,-42.0,-20.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000011619959,3.152550628854594e-05,0.0250000011620005,3.15264506467162e-05,0.0250000430189802,0.0001001482512906,0.0250000430214986,0.0001001636850309,4217737,138168,1880,138168,1880,0.0327587993276963,0.0004457366592558,0.0327587993276963,0.0004457366592558
01-25-2021,94.7,93.45,-29.0,-15.0,-2.0,-42.0,-37.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012371316,3.3282875394308986e-05,0.0250000012316262,3.317133189504119e-05,0.0250000463827058,0.0001056422768596,0.0250000428820553,0.0001024866329735,4217737,138587,1882,138587,1882,0.0328581417001581,0.0004462108471912,0.0328581417001581,0.0004462108471912
