date,Rhode Island-apple-driving,Rhode Island-apple-walking,Rhode Island-google-retail_and_recreation,Rhode Island-google-grocery_and_pharmacy,Rhode Island-google-parks,Rhode Island-google-transit_stations,Rhode Island-google-workplaces,Rhode Island-google-residential,Rhode Island-jh_beta_7,Rhode Island-jh_gamma_7,Rhode Island-cdc_beta_7,Rhode Island-cdc_gamma_7,Rhode Island-jh_beta_14,Rhode Island-jh_gamma_14,Rhode Island-cdc_beta_14,Rhode Island-cdc_gamma_14,Rhode Island-jh_beta_30,Rhode Island-jh_gamma_30,Rhode Island-cdc_beta_30,Rhode Island-cdc_gamma_30,Rhode Island-census_pop,Rhode Island-jh_confirmed,Rhode Island-jh_death,Rhode Island-cdc_confirmed,Rhode Island-cdc_death,Rhode Island-jh_confirmed_ratio,Rhode Island-jh_death_ratio,Rhode Island-cdc_confirmed_ratio,Rhode Island-cdc_death_ratio
01-01-2021,84.09,95.85,-48.0,-36.0,48.0,-66.0,-76.0,28.0,0.0250000010096424,4.856826112466812e-05,0.025000001030988,4.961426197135623e-05,0.025000016274967,0.0001714120593726,0.0250000159436984,0.0001728714604595,0.0250000248345858,0.0002239882900154,0.0250000245732825,0.0002213689310466,1059361,87949,1944,90402,1934,0.0830208021628132,0.0018350684988403,0.0853363489877388,0.0018256288460685
01-02-2021,107.68,122.73,-29.0,-13.0,50.0,-42.0,-24.0,9.0,0.0250000009337759,4.520490262848993e-05,0.0250000010362909,4.962573589045444e-05,0.0250000078376512,0.0001609888187888,0.0250000078110759,0.0001604586125284,0.0250000244039746,0.0002210777225069,0.0250000240687891,0.0002179833603952,1059361,87949,1957,91177,1948,0.0830208021628132,0.0018473400474436,0.0860679220775543,0.001838844359949
01-03-2021,82.13,83.9,-31.0,-18.0,-22.0,-44.0,-16.0,8.0,0.0250000009767478,4.709994157379124e-05,0.0250000009635882,4.638730097171969e-05,0.0250000075601589,0.0001550865573852,0.0250000078875142,0.0001620196748321,0.0250000238197878,0.0002171385179579,0.0250000235043164,0.0002139908379446,1059361,87949,1974,92055,1962,0.0830208021628132,0.0018633874571557,0.0868967235909194,0.0018520598738296
01-04-2021,101.37,111.41,-23.0,-11.0,4.0,-52.0,-35.0,13.0,0.0250000010056169,4.826606102353498e-05,0.0250000010215959,4.888885000349904e-05,0.0250000076110049,0.0001560911365313,0.0250000077079981,0.0001581203096571,0.0250000234043627,0.0002144587544269,0.0250000230164481,0.0002107757144374,1059361,92708,1992,92699,1979,0.0875131329169187,0.001880378832145,0.0875046372294241,0.0018681072835416
01-05-2021,107.38,112.16,-23.0,-7.0,-1.0,-51.0,-37.0,13.0,0.0250000010716888,5.088053496810469e-05,0.0250000010628712,5.058725663241407e-05,0.0250000080450458,0.0001651910257608,0.0250000078080701,0.0001601163871461,0.0250000233735481,0.0002143557305021,0.0250000226056094,0.0002081015639462,1059361,93852,2005,93856,1998,0.0885930291940141,0.0018926503807483,0.0885968050551228,0.0018860426238081
01-06-2021,106.11,121.33,-24.0,-11.0,3.0,-51.0,-36.0,13.0,0.0250000010600358,5.040271315747106e-05,0.025000001114166,5.254366189531429e-05,0.0250000079729699,0.000163569036922,0.0250000081469076,0.000167054343894,0.0250000233859117,0.0002146813173233,0.0250000221003713,0.0002041058612663,1059361,95463,2024,95431,2011,0.0901137572555531,0.0019105857210148,0.0900835503666833,0.0018983141724114
01-07-2021,108.19,117.95,-25.0,-11.0,21.0,-49.0,-35.0,14.0,0.0250000011468456,5.39636508964982e-05,0.0250000011078354,5.230295430905993e-05,0.0250000083575438,0.0001715696685734,0.0250000080887628,0.0001656661925351,0.0250000214290132,0.0001983925708866,0.0250000217577441,0.0002015838575655,1059361,96591,2035,96649,2030,0.0911785500882135,0.0019209693390638,0.09123330007429,0.0019162495126779
01-08-2021,121.64,134.22,-27.0,-15.0,10.0,-46.0,-33.0,15.0,0.0250000010878549,5.160837094858734e-05,0.025000001187947,5.560758576409292e-05,0.0250000082505072,0.0001692846953279,0.0249999983601651,0.0001633042160905,0.025000020644815,0.0001917318245349,0.0250000208352781,0.0001935165962557,1059361,97614,2048,97829,2041,0.0921442265667699,0.0019332408876671,0.0923471791013639,0.0019266331307269
01-09-2021,120.85,148.8,-26.0,-12.0,34.0,-35.0,-15.0,8.0,0.0250000010873519,5.186232561529954e-05,0.0250000011391391,5.373330030601385e-05,0.0250000079099288,0.0001620815262736,0.024999995896887,0.0001608034642395,0.0250000202109291,0.0001884192673945,0.0250000200549434,0.0001868852071481,1059361,97614,2062,99017,2054,0.0921442265667699,0.0019464564015477,0.0934686098506552,0.0019389046793302
01-10-2021,94.73,117.49,-24.0,-14.0,31.0,-35.0,-13.0,6.0,0.0250000010986691,5.257549034084477e-05,0.0250000011476037,5.44277576614847e-05,0.0250000080920606,0.0001662593507783,0.0249999963636834,0.0001538450146102,0.0250000192880008,0.0001801381949477,0.0250000195977466,0.0001833836826886,1059361,97614,2074,100108,2069,0.0921442265667699,0.0019577839848739,0.0944984759680599,0.0019530641584879
01-11-2021,103.02,121.04,-24.0,-12.0,9.0,-50.0,-33.0,12.0,0.0250000010455473,5.0528025806718885e-05,0.025000001159748,5.515999170925464e-05,0.0250000081401024,0.000167709153574,0.0249999932231189,0.0001566359194787,0.0250000185041119,0.0001735355151633,0.025000018699079,0.0001753969461143,1059361,100607,2095,100762,2084,0.0949695146413734,0.0019776072556947,0.0951158292593365,0.0019672236376457
01-12-2021,107.05,126.48,-22.0,-10.0,23.0,-48.0,-33.0,12.0,0.0250000010604957,5.084402675045072e-05,0.0250000011296879,5.391898167579513e-05,0.0249999910417998,0.0001552749700382,0.0249999906961184,0.0001574376531006,0.0250000182990349,0.0001715501846464,0.0250000180687362,0.0001699966647394,1059361,101393,2109,101693,2106,0.0957114713492379,0.0019908227695752,0.0959946609323922,0.0019879908737437
01-13-2021,107.62,125.04,-25.0,-13.0,15.0,-52.0,-33.0,12.0,0.0250000011047553,5.255834872544226e-05,0.0250000011141243,5.2749377904779016e-05,0.0249999887347737,0.0001511152955548,0.0249999869789572,0.000157145131599,0.0250000175106679,0.0001638813749293,0.0250000176341246,0.000166182650804,1059361,102485,2120,102671,2121,0.0967422814319198,0.0020012063876242,0.0969178589734755,0.0020021503529014
01-14-2021,109.37,122.88,-26.0,-14.0,17.0,-51.0,-33.0,12.0,0.0250000010456572,5.0095157718901206e-05,0.0250000011817549,5.540572498099889e-05,0.0249999846770307,0.0001526918440638,0.024999984516535,0.0001538262531262,0.0250000165995623,0.0001567196603359,0.0250000167702364,0.0001579334983281,1059361,103386,2130,103524,2132,0.0975927941466601,0.002010646040396,0.0977230613549111,0.0020125339709504
01-15-2021,124.31,141.28,-28.0,-17.0,7.0,-53.0,-33.0,13.0,0.0250000010768981,5.184892012276472e-05,0.0250000011310103,5.335601010685556e-05,0.0249999861831554,0.000147336419555,0.0249999798632662,0.0001547032015734,0.0250000162055738,0.0001535569967544,0.0250000164844371,0.0001557077453215,1059361,104443,2146,104537,2142,0.0985905654446406,0.0020257494848309,0.0986792981806957,0.0020219736237222
01-16-2021,114.4,139.38,-32.0,-19.0,15.0,-52.0,-19.0,8.0,0.0250000010938477,5.270769152515809e-05,0.0250000011711766,5.5633582551728754e-05,0.0249999860164964,0.0001473603968555,0.0249999794833666,0.0001486445589207,0.0250000157344925,0.0001494782916657,0.0250000161552538,0.0001530680537973,1059361,104443,2161,105448,2158,0.0985905654446406,0.0020399089639886,0.0995392505482078,0.0020370770681571
01-17-2021,97.73,116.07,-26.0,-18.0,23.0,-45.0,-15.0,6.0,0.0250000010939287,5.268590327833381e-05,0.0250000011944647,5.692119196108542e-05,0.0249999855599466,0.0001484998359878,0.0249999773876665,0.0001479867437867,0.0250000153489848,0.0001462511871554,0.0250000156756475,0.0001489436347754,1059361,104443,2169,106195,2173,0.0985905654446406,0.0020474606862061,0.1002443926102622,0.0020512365473148
01-18-2021,103.68,120.85,-21.0,-15.0,74.0,-57.0,-48.0,15.0,0.0250000010922293,5.294324857074322e-05,0.0250000011915372,5.689525258528485e-05,0.0249999865537449,0.0001446094775749,0.0249999751624049,0.000147187115061,0.0250000151640639,0.0001448210382879,0.0250000154767414,0.0001472153631185,1059361,104443,2187,106702,2181,0.0985905654446406,0.0020644520611953,0.1007229830057931,0.0020587882695322
01-19-2021,105.37,119.1,-26.0,-12.0,19.0,-53.0,-34.0,12.0,0.0250000010110644,4.920087904657982e-05,0.0250000011506476,5.551463033037092e-05,0.0249999793472682,0.0001332138095519,0.0249999751741292,0.0001428927336721,0.0250000148834549,0.0001421354194,0.0250000152192092,0.0001452427228705,1059361,107066,2199,107193,2200,0.101066586366687,0.0020757796445215,0.1011864699568891,0.0020767236097987
01-20-2021,104.07,111.32,-29.0,-17.0,-3.0,-54.0,-34.0,13.0,0.0250000010074651,4.897901826017069e-05,0.0250000010404929,5.04251808328729e-05,0.0249999771999245,0.0001321193797539,0.0249999753649926,0.0001366220728216,0.0250000148758758,0.0001421690608305,0.0250000147262023,0.000140914025419,1059361,107876,2223,108055,2213,0.1018311982412039,0.0020984348111739,0.1020001680258193,0.002088995158402
