date,South Carolina-apple-driving,South Carolina-apple-walking,South Carolina-google-retail_and_recreation,South Carolina-google-grocery_and_pharmacy,South Carolina-google-parks,South Carolina-google-transit_stations,South Carolina-google-workplaces,South Carolina-google-residential,South Carolina-jh_beta_7,South Carolina-jh_gamma_7,South Carolina-cdc_beta_7,South Carolina-cdc_gamma_7,South Carolina-jh_beta_14,South Carolina-jh_gamma_14,South Carolina-cdc_beta_14,South Carolina-cdc_gamma_14,South Carolina-jh_beta_30,South Carolina-jh_gamma_30,South Carolina-cdc_beta_30,South Carolina-cdc_gamma_30,South Carolina-census_pop,South Carolina-jh_confirmed,South Carolina-jh_death,South Carolina-cdc_confirmed,South Carolina-cdc_death,South Carolina-jh_confirmed_ratio,South Carolina-jh_death_ratio,South Carolina-cdc_confirmed_ratio,South Carolina-cdc_death_ratio
01-01-2021,98.17,114.52,-42.0,-31.0,-23.0,-43.0,-72.0,24.0,0.0250000003423887,2.257347441986399e-05,0.0250000004405049,2.6354470806738768e-05,0.0250000022724285,5.191832789592052e-05,0.0250000028185809,6.208918142134168e-05,0.025000010342124,9.61585259475187e-05,0.0250000114260008,0.0001046393165932,5148714,307507,5296,323250,5531,0.0597250109444805,0.0010286063665606,0.0627826676719662,0.0010742488318442
01-02-2021,134.28,139.16,-17.0,-10.0,-11.0,-1.0,-20.0,8.0,0.0250000003934412,2.4938117520214677e-05,0.0250000004132156,2.4414589406552777e-05,0.0250000023078689,5.273809056189279e-05,0.0250000425322087,0.0001240946703918,0.0250000100653174,9.367816290813584e-05,0.0250000114073427,0.0001039620059953,5148714,312718,5385,329059,5598,0.0607371083342364,0.0010458922363914,0.0639109105691246,0.0010872617900314
01-03-2021,108.63,101.16,-13.0,-8.0,0.0,17.0,-17.0,6.0,0.0250000003335493,2.2069092827032365e-05,0.0250000005251342,2.8543656227638846e-05,0.0250000024747049,5.573088260483499e-05,0.0250000474707577,0.0001321156756458,0.0250000101927963,9.470166739632844e-05,0.0250000116837184,0.0001060311674418,5148714,321669,5469,334312,5643,0.0624756007033989,0.0010622069899396,0.0649311653356546,0.0010960018365751
01-04-2021,119.38,115.71,-8.0,-2.0,-9.0,-10.0,-26.0,8.0,0.0250000004028751,2.4340184815507503e-05,0.0250000006230686,3.2554961163222804e-05,0.0250000025785474,5.703604110819377e-05,0.0250000478345744,0.0001332155589861,0.0250000102315145,9.473945784684835e-05,0.0250000118273751,0.0001070200474731,5148714,325472,5484,338195,5680,0.0632142317479665,0.0010651203387875,0.0656853342407444,0.0011031880970665
01-05-2021,123.8,118.59,-10.0,-2.0,-15.0,-10.0,-27.0,9.0,0.0250000004638952,2.6862690370240075e-05,0.0250000006744195,3.501269369864187e-05,0.0250000027317545,5.984229136164727e-05,0.0250000512130055,0.0001395198970357,0.0250000103628469,9.585327530415976e-05,0.0250000120964511,0.0001093190700179,5148714,328073,5498,341611,5707,0.0637194064381902,0.0010678394643788,0.0663488008850365,0.0011084321249927
01-06-2021,116.59,117.88,-14.0,-7.0,-21.0,-15.0,-27.0,10.0,0.0250000004881193,2.820519822580261e-05,0.0250000007032752,3.678477305797173e-05,0.0250000029440858,6.427581845035533e-05,0.0250000554697744,0.000147947142254,0.0250000100091852,9.254978346465684e-05,0.0250000118795581,0.0001072091031604,5148714,333235,5582,347096,5812,0.0647219868883764,0.001084154217927,0.0674141154470805,0.0011288255669279
01-07-2021,119.61,119.03,-16.0,-6.0,-27.0,-16.0,-27.0,10.0,0.0250000004930415,2.8278577111781963e-05,0.0250000007127931,3.70629125905174e-05,0.0250000029460888,6.385551286406056e-05,0.0250000525630512,0.0001453192476184,0.0250000103471976,9.550298165400974e-05,0.0250000123816476,0.0001115810613437,5148714,338112,5661,352666,5915,0.0656692137104527,0.0010994978551925,0.0684959389859293,0.0011488305623501
01-08-2021,126.09,130.7,-23.0,-13.0,-43.0,-25.0,-28.0,12.0,0.0250000005290074,2.9446836395817465e-05,0.0250000007505498,3.809398748281093e-05,0.0250000380363166,0.0001218701183289,0.0250000596548624,0.0001571229938865,0.0250000108700437,0.0001000349599677,0.0250000130470317,0.0001172777533509,5148714,344176,5695,360358,5963,0.0668469835380252,0.0011061014459144,0.0699899042751257,0.0011581532786633
01-09-2021,129.55,146.79,-16.0,-7.0,-15.0,-21.0,-10.0,6.0,0.0250000006382926,3.402993693360832e-05,0.0250000006851094,3.5084598585889383e-05,0.0250000471251454,0.0001372217618349,0.0250000519768257,0.0001472275316629,0.0250000110230068,0.0001012202658448,0.0250000133337491,0.0001195881131601,5148714,350084,5758,366811,6055,0.0679944545375796,0.0011183375110755,0.0712432269494868,0.0011760218182637
01-10-2021,97.57,99.42,-16.0,-7.0,-19.0,-13.0,-16.0,6.0,0.0250000005792461,3.141556317380431e-05,0.0250000007202873,3.615596152713493e-05,0.0250000400316032,0.0001261922910911,0.0250000589628596,0.0001602968143167,0.0250000114088501,0.000104533372589,0.0250000138584628,0.0001240283559532,5148714,354525,5811,374271,6112,0.0688570000198107,0.0011286313436714,0.0726921324431693,0.0011870925438857
01-11-2021,112.79,115.71,-16.0,-7.0,-26.0,-20.0,-24.0,9.0,0.0250000005323425,2.934258027449053e-05,0.0250000007896111,3.9049537490642046e-05,0.0250000396707553,0.0001295103644776,0.0250000634519878,0.000171712565925,0.0250000112478629,0.0001028406614538,0.025000013795076,0.0001231818070761,5148714,357654,5826,378581,6135,0.06946472458948,0.0011315446925193,0.0735292346787955,0.0011915596787858
01-12-2021,114.72,114.92,-15.0,-5.0,-22.0,-17.0,-26.0,10.0,0.0250000005949177,3.236943119071672e-05,0.0250000008358803,4.157979625236253e-05,0.0250000429228562,0.0001375787970571,0.0250000667445212,0.0001797373719926,0.0250000115601067,0.0001058188046944,0.0250000142130694,0.0001271182354611,5148714,359357,5860,382248,6179,0.0697954867953434,0.0011381482832412,0.0742414513604756,0.0012001055020729
01-13-2021,116.94,120.72,-18.0,-10.0,-25.0,-18.0,-26.0,9.0,0.025000000650002,3.512348217377155e-05,0.0250000008921205,4.456888783020801e-05,0.0250000440643999,0.0001426059011392,0.0250000678834584,0.0001860688813183,0.0250000112250735,0.0001027584510094,0.0250000140228129,0.0001254305388715,5148714,365378,5911,387454,6258,0.0709649050228853,0.001148053669324,0.0752525776339489,0.0012154491393384
01-14-2021,123.89,124.59,-18.0,-11.0,-15.0,-15.0,-27.0,9.0,0.0250000005626775,3.15901353196927e-05,0.0250000007950178,4.055806087674307e-05,0.0250000411435387,0.0001398962912404,0.0250000639726519,0.0001840790503105,0.0250000115796317,0.0001061345509292,0.0250000145325125,0.000130207045891,5148714,371180,5934,392749,6330,0.072091788357248,0.0011525208042241,0.0762809897772531,0.0012294332138083
01-15-2021,143.61,148.61,-20.0,-13.0,-28.0,-18.0,-27.0,9.0,0.0250000004686152,2.782429228396054e-05,0.0250000007115725,3.6828537852048896e-05,0.0250000375031644,0.0001369047945632,0.0250000584314565,0.0001806594151543,0.0250000119992049,0.0001102593175777,0.0250000151384134,0.0001358756259965,5148714,375967,6037,396090,6435,0.073021535086237,0.0011725257996462,0.0769298896773058,0.0012498266557435
01-16-2021,136.61,166.5,-19.0,-9.0,-14.0,-21.0,-13.0,6.0,0.0250000005313142,2.990575723506454e-05,0.0250000007977908,3.981715484879048e-05,0.0250000449295586,0.0001517612231786,0.0250000485950914,0.0001673719601103,0.0250000119208952,0.0001094454135602,0.0250000152253878,0.0001365676608454,5148714,382422,6108,402658,6532,0.0742752462071111,0.0011863156508596,0.0782055480261673,0.0012686663116265
01-17-2021,104.22,114.15,-18.0,-11.0,-16.0,-17.0,-19.0,6.0,0.025000000542562,2.9744017388497836e-05,0.0250000007978183,3.9051444399331234e-05,0.0250000372027854,0.0001391449835454,0.0250000452899347,0.0001661064731433,0.0250000119023727,0.0001091220969027,0.0250000153481265,0.0001374946970481,5148714,388184,6237,408732,6677,0.0753943606112128,0.0012113704509514,0.079385260086305,0.0012968286838227
01-18-2021,122.06,118.12,-15.0,-11.0,-4.0,-17.0,-42.0,12.0,0.0250000006340271,3.247411015556449e-05,0.0250000009419735,4.401048714821646e-05,0.0250000312791062,0.0001298781753381,0.0250000467302316,0.0001739563597203,0.0250000121152405,0.0001108552674737,0.0250000157077539,0.000140600787962,5148714,391464,6248,412958,6695,0.0760314128926174,0.0012135069067732,0.0802060475683831,0.0013003247024402
