date,Utah-apple-driving,Utah-apple-walking,Utah-google-retail_and_recreation,Utah-google-grocery_and_pharmacy,Utah-google-parks,Utah-google-transit_stations,Utah-google-workplaces,Utah-google-residential,Utah-jh_beta_7,Utah-jh_gamma_7,Utah-cdc_beta_7,Utah-cdc_gamma_7,Utah-jh_beta_14,Utah-jh_gamma_14,Utah-cdc_beta_14,Utah-cdc_gamma_14,Utah-jh_beta_30,Utah-jh_gamma_30,Utah-cdc_beta_30,Utah-cdc_gamma_30,Utah-census_pop,Utah-jh_confirmed,Utah-jh_death,Utah-cdc_confirmed,Utah-cdc_death,Utah-jh_confirmed_ratio,Utah-jh_death_ratio,Utah-cdc_confirmed_ratio,Utah-cdc_death_ratio
01-01-2021,110.6,133.28,-36.0,-33.0,9.0,-56.0,-77.0,24.0,0.025,1e-05,0.025,1e-05,0.025000001295012,3.50490564683466e-05,0.025000001295012,3.50490564683466e-05,0.0250000045181097,4.972249008025653e-05,0.0250000045181097,4.972249008025653e-05,3205958,276612,1269,279722,1278,0.0862806062961523,0.0003958255223555,0.0872506751492065,0.0003986327955637
01-02-2021,138.25,162.85,-22.0,-14.0,-1.0,-25.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000012201593,3.345175369011714e-05,0.0250000012517884,3.392658280548668e-05,0.0250000042944991,4.788824257136061e-05,0.0250000043118513,4.8004212900360586e-05,3205958,281654,1294,281654,1294,0.0878533031312325,0.0004036235034894,0.0878533031312325,0.0004036235034894
01-03-2021,89.98,97.99,-19.0,-14.0,-17.0,-27.0,-22.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000013042446,3.492350719656755e-05,0.0250000013313759,3.5363409377068614e-05,0.0250000041982841,4.7178031529174326e-05,0.0250000042139418,4.728667232381409e-05,3205958,283473,1301,283473,1301,0.0884206842385333,0.0004058069382069,0.0884206842385333,0.0004058069382069
01-04-2021,123.52,147.93,-14.0,-5.0,-2.0,-35.0,-30.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000013894292,3.658278346545968e-05,0.0250000014123928,3.698723910953582e-05,0.0250000041748782,4.714779736129545e-05,0.0250000041890496,4.7249944756638e-05,3205958,285633,1305,285633,1305,0.0890944298085003,0.0004070546151883,0.0890944298085003,0.0004070546151883
01-05-2021,124.4,150.53,-16.0,-5.0,5.0,-38.0,-31.0,11.0,0.0250000002646862,2.0430513928142413e-05,0.0250000002692084,2.0674940385500297e-05,0.0250000014674158,3.828592882956077e-05,0.0250000014865704,3.865495177968663e-05,0.025000004015985,4.585697944368485e-05,0.0250000040287374,4.595262640276408e-05,3205958,288951,1312,288951,1312,0.0901293778645883,0.0004092380499058,0.0901293778645883,0.0004092380499058
01-06-2021,121.0,149.15,-16.0,-8.0,2.0,-37.0,-30.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000014286563,3.75335587313411e-05,0.0250000014443963,3.786809314042207e-05,0.0250000041238933,4.711922494715295e-05,0.0250000041354072,4.720915124471843e-05,3205958,292720,1330,292720,1330,0.0913050015003315,0.0004148525963222,0.0913050015003315,0.0004148525963222
01-07-2021,125.96,151.39,-18.0,-9.0,-1.0,-37.0,-30.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012209056,3.290496284360187e-05,0.0250000012335951,3.3205546332026404e-05,0.0250000040809308,4.683997125345571e-05,0.0250000040913144,4.692453229398098e-05,3205958,297317,1359,297317,1359,0.0927388942712287,0.0004238982544375,0.0927388942712287,0.0004238982544375
01-08-2021,146.59,183.58,-19.0,-11.0,-4.0,-38.0,-29.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000013509447,3.521779788257583e-05,0.0250000013609328,3.548481169314748e-05,0.0250000038493374,4.461140517887277e-05,0.0250000038586677,4.4690765313035344e-05,3205958,301110,1381,301110,1381,0.0939220039688604,0.0004307604778353,0.0939220039688604,0.0004307604778353
01-09-2021,145.55,179.77,-19.0,-11.0,-9.0,-30.0,-12.0,7.0,0.0250000003038752,2.139044835380878e-05,0.025,1e-05,0.0250000016524828,4.117011161052352e-05,0.0250000016600256,4.140103887505389e-05,0.0250000036340845,4.2492616731324544e-05,0.0250000036424307,4.256689999257989e-05,3205958,303723,1390,303723,1390,0.0947370489569732,0.0004335677510435,0.0947370489569732,0.0004335677510435
01-10-2021,88.37,106.7,-13.0,-9.0,-5.0,-33.0,-20.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000017973639,4.401039977934255e-05,0.0250000018028951,4.420864861220014e-05,0.0250000034318342,4.055182165125687e-05,0.0250000034392436,4.0620987912299005e-05,3205958,305999,1392,305999,1392,0.0954469771594013,0.0004341915895342,0.0954469771594013,0.0004341915895342
01-11-2021,117.85,150.46,-17.0,-8.0,-10.0,-40.0,-28.0,10.0,0.0250000002902989,2.0987647967861934e-05,0.0250000002902989,2.0987647967861934e-05,0.025000001998584,4.8468347798430285e-05,0.0250000020023828,4.863213909850412e-05,0.0250000034363919,4.064780727781557e-05,0.0250000034429828,4.071243056938013e-05,3205958,307483,1396,307483,1396,0.0959098653195082,0.0004354392665156,0.0959098653195082,0.0004354392665156
01-12-2021,119.2,148.63,-19.0,-10.0,0.0,-41.0,-30.0,11.0,0.0250000003123454,2.2424583098154417e-05,0.0250000003123454,2.2424583098154417e-05,0.0250000021159535,5.134052579079617e-05,0.0250000021183653,5.147088660290559e-05,0.0250000033322033,3.976888165664429e-05,0.025000003337999,3.982875087809958e-05,3205958,309629,1422,309629,1422,0.0965792440200401,0.0004435491668948,0.0965792440200401,0.0004435491668948
01-13-2021,119.55,147.5,-18.0,-11.0,0.0,-39.0,-31.0,11.0,0.0250000003481018,2.4002954208366146e-05,0.0250000003481018,2.4002954208366146e-05,0.0250000020870855,5.062728928858682e-05,0.025000002088436,5.072492676327499e-05,0.0250000032247087,3.871791454037741e-05,0.0250000032298189,3.877362470967817e-05,3205958,314817,1449,314817,1449,0.0981974810649422,0.0004519709865194,0.0981974810649422,0.0004519709865194
01-14-2021,129.11,159.73,-19.0,-12.0,3.0,-37.0,-31.0,11.0,0.0250000003540855,2.3927858815744008e-05,0.0250000003540855,2.3927858815744008e-05,0.0250000020131128,4.859733565323283e-05,0.0250000020137099,4.866230605901632e-05,0.0250000033006748,3.939916107957612e-05,0.0250000033051588,3.945089113624416e-05,3205958,317559,1460,317559,1460,0.0990527636357057,0.0004554020982183,0.0990527636357057,0.0004554020982183
