date,Virginia-apple-driving,Virginia-apple-walking,Virginia-google-retail_and_recreation,Virginia-google-grocery_and_pharmacy,Virginia-google-parks,Virginia-google-transit_stations,Virginia-google-workplaces,Virginia-google-residential,Virginia-jh_beta_7,Virginia-jh_gamma_7,Virginia-cdc_beta_7,Virginia-cdc_gamma_7,Virginia-jh_beta_14,Virginia-jh_gamma_14,Virginia-cdc_beta_14,Virginia-cdc_gamma_14,Virginia-jh_beta_30,Virginia-jh_gamma_30,Virginia-cdc_beta_30,Virginia-cdc_gamma_30,Virginia-census_pop,Virginia-jh_confirmed,Virginia-jh_death,Virginia-cdc_confirmed,Virginia-cdc_death,Virginia-jh_confirmed_ratio,Virginia-jh_death_ratio,Virginia-cdc_confirmed_ratio,Virginia-cdc_death_ratio
01-01-2021,78.24,75.99,-47.0,-36.0,-39.0,-63.0,-75.0,29.0,0.025,1e-05,0.025,1e-05,0.0250000009884647,2.7961219973144787e-05,0.0250000009842609,2.766142735455961e-05,0.0250000087075815,8.053846522099617e-05,0.025000009024644,8.316205343392811e-05,8535519,354766,5081,358755,5117,0.0415634948501667,0.000595277217472,0.0420308360862415,0.0005994948871884
01-02-2021,114.11,115.38,-24.0,-10.0,31.0,-25.0,-18.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000009874352,2.772620515592832e-05,0.0250000009848152,2.750349351437712e-05,0.0250000090242699,8.315759737656497e-05,0.0250000091328527,8.39090616327338e-05,8535519,358755,5117,363765,5124,0.0420308360862415,0.0005994948871884,0.0426177951217729,0.0006003149896333
01-03-2021,85.82,79.18,-29.0,-18.0,-37.0,-28.0,-18.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000009848152,2.750349351437712e-05,0.0250000010849285,2.9550693474163693e-05,0.0250000091325531,8.390514751585977e-05,0.0250000095271934,8.7403327437063e-05,8535519,363765,5124,367536,5132,0.0426177951217729,0.0006003149896333,0.0430595960245651,0.0006012522495702
01-04-2021,99.71,99.34,-20.0,-8.0,-15.0,-39.0,-35.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000010849285,2.9550693474163693e-05,0.0250000011795884,3.160949336465733e-05,0.0250000095269336,8.739967826316131e-05,0.0250000095647369,8.775614249699443e-05,8535519,367536,5132,371913,5191,0.0430595960245651,0.0006012522495702,0.0435723943675832,0.0006081645416054
01-05-2021,105.01,103.6,-20.0,-5.0,-5.0,-37.0,-37.0,14.0,0.025,1e-05,0.025,1e-05,0.0250000011795911,3.160955496074436e-05,0.0250000011372229,3.072755062197533e-05,0.0250000095645132,8.775274565755783e-05,0.0250000101514569,9.301142704214157e-05,8535519,371913,5191,377300,5226,0.0435723943675832,0.0006081645416054,0.0442035217776446,0.0006122650538297
01-06-2021,101.27,101.71,-23.0,-10.0,-17.0,-36.0,-38.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000011372197,3.072749269567508e-05,0.0250000010832622,2.9603571631088477e-05,0.0250000101512665,9.30082832747256e-05,0.0250000106745135,9.769570577489724e-05,8535519,377300,5226,382679,5275,0.0442035217776446,0.0006122650538297,0.0448337119277691,0.0006180057709437
01-07-2021,102.27,101.71,-23.0,-7.0,-8.0,-39.0,-37.0,15.0,0.025,1e-05,0.025,1e-05,0.0250000010832622,2.9603571631088477e-05,0.0250000011195893,3.0279515947721974e-05,0.0250000106743537,9.769281764128032e-05,0.0250000105592239,9.64760805037867e-05,8535519,382679,5275,387917,5312,0.0448337119277691,0.0006180057709437,0.0454473828715043,0.0006223405981522
01-08-2021,112.61,112.09,-29.0,-15.0,-23.0,-44.0,-37.0,16.0,0.025,1e-05,0.025,1e-05,0.0250000011195893,3.0279515947721974e-05,0.0250000011612161,3.108976266714001e-05,0.025000010559092,9.647344914924172e-05,0.0250000109385847,9.977990562762536e-05,8535519,387917,5312,393715,5381,0.0454473828715043,0.0006223405981522,0.0461266620108279,0.0006304244651086
01-09-2021,112.7,120.62,-25.0,-9.0,-8.0,-34.0,-12.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000011612161,3.108976266714001e-05,0.0250000012495919,3.274785920790957e-05,0.0250000109384433,9.977723560176634e-05,0.0250000108430354,9.858773706209712e-05,8535519,393715,5381,398856,5383,0.0461266620108279,0.0006304244651086,0.0467289686778273,0.0006306587800929
01-10-2021,89.35,89.6,-24.0,-12.0,3.0,-37.0,-15.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000012495919,3.274785920790957e-05,0.0250000013391697,3.463396572040582e-05,0.0250000108429512,9.85856191007562e-05,0.024999998542716,8.921100566308815e-05,8535519,398856,5383,403386,5393,0.0467289686778273,0.0006306587800929,0.0472596921171401,0.0006318303550141
