date,West Virginia-apple-driving,West Virginia-apple-walking,West Virginia-google-retail_and_recreation,West Virginia-google-grocery_and_pharmacy,West Virginia-google-parks,West Virginia-google-transit_stations,West Virginia-google-workplaces,West Virginia-google-residential,West Virginia-jh_beta_7,West Virginia-jh_gamma_7,West Virginia-cdc_beta_7,West Virginia-cdc_gamma_7,West Virginia-jh_beta_14,West Virginia-jh_gamma_14,West Virginia-cdc_beta_14,West Virginia-cdc_gamma_14,West Virginia-jh_beta_30,West Virginia-jh_gamma_30,West Virginia-cdc_beta_30,West Virginia-cdc_gamma_30,West Virginia-census_pop,West Virginia-jh_confirmed,West Virginia-jh_death,West Virginia-cdc_confirmed,West Virginia-cdc_death,West Virginia-jh_confirmed_ratio,West Virginia-jh_death_ratio,West Virginia-cdc_confirmed_ratio,West Virginia-cdc_death_ratio
01-01-2021,94.0,73.88,-42.0,-36.0,-35.0,-52.0,-66.0,24.0,0.0250000003249781,2.136353922341307e-05,0.0250000003249781,2.136353922341307e-05,0.025000228640597,0.0002427373689629,0.025000228640597,0.0002427373689629,0.0250002052420844,0.0002932691897273,0.0250002052420844,0.0002932691897273,1792147,87820,1361,87820,1361,0.0490026766777502,0.0007594243106173,0.0490026766777502,0.0007594243106173
01-02-2021,124.81,99.85,-12.0,-3.0,13.0,-13.0,-13.0,6.0,0.0250000003459659,2.185097412758721e-05,0.0250000003459659,2.185097412758721e-05,0.0250002169964201,0.0002376498993142,0.0250002169964201,0.0002376498993142,0.025000162213508,0.0002869974373289,0.025000162213508,0.0002869974373289,1792147,89327,1373,89327,1373,0.0498435675198518,0.0007661201899174,0.0498435675198518,0.0007661201899174
01-03-2021,102.57,77.09,-16.0,-7.0,-7.0,-8.0,-13.0,6.0,0.0250000004107012,2.450301208087292e-05,0.0250000004107012,2.450301208087292e-05,0.0250001797437087,0.0002170870022308,0.0250001797437087,0.0002170870022308,0.0250001226246644,0.0002867104318336,0.0250001226246644,0.0002867104318336,1792147,91058,1376,91058,1376,0.0508094481088883,0.0007677941597424,0.0508094481088883,0.0007677941597424
01-04-2021,110.64,95.81,-8.0,0.0,-15.0,-15.0,-26.0,9.0,0.0250000004688905,2.7322792419286656e-05,0.0250000004688905,2.7322792419286656e-05,0.0250001901421276,0.0002263969982742,0.0250001901421276,0.0002263969982742,0.0250000805209861,0.000286168953483,0.0250000805209861,0.000286168953483,1792147,91886,1396,91886,1396,0.0512714637805938,0.0007789539585759,0.0512714637805938,0.0007789539585759
01-05-2021,131.23,112.99,-10.0,-1.0,-13.0,-16.0,-27.0,8.0,0.0250000004998856,2.884827403257364e-05,0.0250000004998856,2.884827403257364e-05,0.0250002124056133,0.0002423367371798,0.0250002124056133,0.0002423367371798,0.0250000310638857,0.0002652762935148,0.0250000310638857,0.0002652762935148,1792147,93162,1442,93162,1442,0.051983458946169,0.0008046214958929,0.051983458946169,0.0008046214958929
01-06-2021,112.26,106.39,-15.0,-7.0,-16.0,-16.0,-26.0,9.0,0.0250000005290871,2.9580548894551696e-05,0.0250000005290871,2.9580548894551696e-05,0.0250001643432451,0.0002122369315254,0.0250001643432451,0.0002122369315254,0.0250000326382831,0.0002792077649976,0.0250000326382831,0.0002792077649976,1792147,94678,1481,94678,1481,0.0528293716977457,0.0008263831036181,0.0528293716977457,0.0008263831036181
01-07-2021,114.61,100.68,-16.0,-5.0,-15.0,-17.0,-25.0,10.0,0.0250000005240984,2.8635339469614216e-05,0.0250000005240984,2.8635339469614216e-05,0.025000160444969,0.0002091774462915,0.025000160444969,0.0002091774462915,0.024999945865179,0.0002781031664757,0.024999945865179,0.0002781031664757,1792147,96002,1518,96002,1518,0.0535681503805212,0.00084702873146,0.0535681503805212,0.00084702873146
01-08-2021,122.08,109.47,-22.0,-12.0,-22.0,-24.0,-24.0,11.0,0.0250000005993119,3.101853037926692e-05,0.0250000005993119,3.101853037926692e-05,0.0250001429807463,0.000195858512349,0.0250001429807463,0.000195858512349,0.0249999245039813,0.0002697677380254,0.0249999245039813,0.0002697677380254,1792147,97898,1554,97898,1554,0.0546260993099338,0.0008671163693603,0.0546260993099338,0.0008671163693603
01-09-2021,115.81,102.26,-16.0,-5.0,-2.0,-20.0,-10.0,6.0,0.0250000006785629,3.371519938447457e-05,0.0250000006785629,3.371519938447457e-05,0.0250001504906648,0.000201542432134,0.0250001504906648,0.000201542432134,0.024999894890976,0.0002590506715406,0.024999894890976,0.0002590506715406,1792147,99778,1570,99778,1570,0.0556751204002796,0.000876044208427,0.0556751204002796,0.000876044208427
01-10-2021,98.14,85.85,-13.0,-3.0,13.0,-18.0,-11.0,5.0,0.0250000007761126,3.788718398639813e-05,0.0250000007761126,3.788718398639813e-05,0.0250001759185645,0.0002210287074146,0.0250001759185645,0.0002210287074146,0.0249998634897944,0.0002558406212612,0.0249998634897944,0.0002558406212612,1792147,101212,1582,101212,1582,0.0564752779766391,0.0008827400877271,0.0564752779766391,0.0008827400877271
01-11-2021,107.08,95.74,-17.0,-6.0,-17.0,-20.0,-26.0,10.0,0.0250000008905284,4.3277245425302e-05,0.0250000008905284,4.3277245425302e-05,0.0250002117992727,0.0002460233010367,0.0250002117992727,0.0002460233010367,0.024999836636987,0.0002552790636084,0.024999836636987,0.0002552790636084,1792147,102282,1594,102282,1594,0.0570723272142296,0.0008894359670272,0.0570723272142296,0.0008894359670272
01-12-2021,108.36,101.19,-15.0,-4.0,-9.0,-20.0,-27.0,8.0,0.0250000008869362,4.3937629117458144e-05,0.0250000008869362,4.3937629117458144e-05,0.0250002293719037,0.0002595181860556,0.0250002293719037,0.0002595181860556,0.0249998099690314,0.000245689559532,0.0249998099690314,0.000245689559532,1792147,103203,1634,103203,1634,0.0575862359505107,0.0009117555646941,0.0575862359505107,0.0009117555646941
01-13-2021,110.68,106.96,-18.0,-10.0,-8.0,-17.0,-26.0,9.0,0.0250000007871427,3.984044875747627e-05,0.0250000007871427,3.984044875747627e-05,0.0250002259223734,0.0002603554329419,0.0250002259223734,0.0002603554329419,0.0249997611578501,0.0002537528511493,0.0249997611578501,0.0002537528511493,1792147,104392,1671,104392,1671,0.0582496859911603,0.0009324011925361,0.0582496859911603,0.0009324011925361
01-14-2021,116.71,107.75,-19.0,-9.0,-8.0,-20.0,-26.0,9.0,0.0250000007467787,3.776387217745065e-05,0.0250000007467787,3.776387217745065e-05,0.0250002040130855,0.0002488325885628,0.0250002040130855,0.0002488325885628,0.024999716372522,0.0002572481100655,0.024999716372522,0.0002572481100655,1792147,105219,1702,105219,1702,0.0587111436729241,0.0009496988807279,0.0587111436729241,0.0009496988807279
01-15-2021,135.34,130.56,-25.0,-16.0,-23.0,-24.0,-26.0,11.0,0.0250000007209942,3.6219200513439626e-05,0.0250000007209942,3.6219200513439626e-05,0.0250002087552442,0.0002540558385034,0.0250002087552442,0.0002540558385034,0.0249997050297276,0.0002472222209,0.0249997050297276,0.0002472222209,1792147,106649,1733,106649,1733,0.0595090692895169,0.0009669965689198,0.0595090692895169,0.0009669965689198
01-16-2021,116.72,105.48,-28.0,-16.0,-10.0,-28.0,-14.0,7.0,0.0250000007077403,3.5247365878644144e-05,0.0250000007077403,3.5247365878644144e-05,0.0250001985388082,0.0002527530159137,0.0250001985388082,0.0002527530159137,0.0249996876322142,0.0002422474184736,0.0249996876322142,0.0002422474184736,1792147,108124,1761,108124,1761,0.0603321044534851,0.0009826202872867,0.0603321044534851,0.0009826202872867
01-17-2021,99.83,87.39,-24.0,-14.0,-5.0,-27.0,-16.0,6.0,0.0250000008006025,3.8953061453727576e-05,0.0250000008006025,3.8953061453727576e-05,0.0250002110502207,0.0002653786379717,0.0250002110502207,0.0002653786379717,0.0249996711986763,0.000233296746898,0.0249996711986763,0.000233296746898,1792147,108821,1776,108821,1776,0.0607210234428314,0.0009909901364118,0.0607210234428314,0.0009909901364118
01-18-2021,109.55,98.34,-25.0,-16.0,-21.0,-25.0,-41.0,14.0,0.0250000008841806,4.282714849696155e-05,0.0250000008841806,4.282714849696155e-05,0.0250002294560435,0.0002839611932317,0.0250002294560435,0.0002839611932317,0.0249996419746181,0.0002318015408381,0.0249996419746181,0.0002318015408381,1792147,109809,1784,109809,1784,0.0612723175052046,0.0009954540559451,0.0612723175052046,0.0009954540559451
01-19-2021,107.47,108.8,-20.0,-7.0,-13.0,-21.0,-27.0,8.0,0.0250000009286184,4.5484253238610624e-05,0.0250000009286184,4.5484253238610624e-05,0.0250002254940736,0.0002855211782802,0.0250002254940736,0.0002855211782802,0.0249996330991474,0.0002235739060836,0.0249996330991474,0.0002235739060836,1792147,110820,1815,110820,1815,0.0618364453362363,0.001012751744137,0.0618364453362363,0.001012751744137
01-20-2021,105.46,97.7,-23.0,-14.0,-19.0,-22.0,-26.0,9.0,0.0250000008321036,4.171767376564381e-05,0.0250000008321036,4.171767376564381e-05,0.0250001859332904,0.0002613105034294,0.0250001859332904,0.0002613105034294,0.0249995786502711,0.0002294809020857,0.0249995786502711,0.0002294809020857,1792147,111677,1836,111677,1836,0.0623146427162503,0.0010244695329121,0.0623146427162503,0.0010244695329121
01-21-2021,111.94,100.31,-22.0,-12.0,-16.0,-20.0,-25.0,9.0,0.0250000007498171,3.8386908033480345e-05,0.0250000007498171,3.8386908033480345e-05,0.0250001570356193,0.0002430400024825,0.0250001570356193,0.0002430400024825,0.0249995112267569,0.0002380304112647,0.0249995112267569,0.0002380304112647,1792147,112617,1849,112617,1849,0.0628391532614233,0.0010317234021539,0.0628391532614233,0.0010317234021539
01-22-2021,128.23,127.81,-24.0,-15.0,-19.0,-25.0,-22.0,10.0,0.0250000006809402,3.570356878295122e-05,0.0250000006809402,3.570356878295122e-05,0.0250001326399714,0.0002260572596134,0.0250001326399714,0.0002260572596134,0.0249995327003797,0.000224740489839,0.0249995327003797,0.000224740489839,1792147,113615,1856,113615,1856,0.0633960272232132,0.0010356293317456,0.0633960272232132,0.0010356293317456
01-23-2021,121.23,124.42,-20.0,-12.0,-3.0,-25.0,-11.0,6.0,0.0250000005889645,3.222373246649214e-05,0.0250000005889645,3.222373246649214e-05,0.0250001068298109,0.0002071297793267,0.0250001068298109,0.0002071297793267,0.0250000252895256,0.0002194132929131,0.0250000252895256,0.0002194132929131,1792147,114752,1872,114752,1872,0.0640304617868958,0.0010445571708124,0.0640304617868958,0.0010445571708124
01-24-2021,97.39,85.62,-24.0,-14.0,-7.0,-25.0,-13.0,6.0,0.0250000005143343,2.9309962485615303e-05,0.0250000005143343,2.9309962485615303e-05,0.02500009935458,0.0002061831249232,0.02500009935458,0.0002061831249232,0.0250000241662813,0.0002101624117463,0.0250000241662813,0.0002101624117463,1792147,115307,1895,115307,1895,0.0643401462045245,0.0010573909394709,0.0643401462045245,0.0010573909394709
01-25-2021,103.42,97.46,-27.0,-17.0,-27.0,-24.0,-28.0,11.0,0.0250000005306278,2.993933890764635e-05,0.0250000005306278,2.993933890764635e-05,0.0250000974897345,0.0002099217538761,0.0250000974897345,0.0002099217538761,0.0250000237216623,0.0002073479044366,0.0250000237216623,0.0002073479044366,1792147,115839,1899,115839,1899,0.0646369968534947,0.0010596228992376,0.0646369968534947,0.0010596228992376
