date,Wisconsin-apple-driving,Wisconsin-apple-walking,Wisconsin-google-retail_and_recreation,Wisconsin-google-grocery_and_pharmacy,Wisconsin-google-parks,Wisconsin-google-transit_stations,Wisconsin-google-workplaces,Wisconsin-google-residential,Wisconsin-jh_beta_7,Wisconsin-jh_gamma_7,Wisconsin-cdc_beta_7,Wisconsin-cdc_gamma_7,Wisconsin-jh_beta_14,Wisconsin-jh_gamma_14,Wisconsin-cdc_beta_14,Wisconsin-cdc_gamma_14,Wisconsin-jh_beta_30,Wisconsin-jh_gamma_30,Wisconsin-cdc_beta_30,Wisconsin-cdc_gamma_30,Wisconsin-census_pop,Wisconsin-jh_confirmed,Wisconsin-jh_death,Wisconsin-cdc_confirmed,Wisconsin-cdc_death,Wisconsin-jh_confirmed_ratio,Wisconsin-jh_death_ratio,Wisconsin-cdc_confirmed_ratio,Wisconsin-cdc_death_ratio
01-01-2021,91.86,121.97,-46.0,-40.0,11.0,-57.0,-77.0,29.0,0.0250000003166635,2.101546072496629e-05,0.0250000003166635,2.101546072496629e-05,0.0249999958121304,9.304885777617392e-05,0.0249999958121304,9.304885777617392e-05,0.0250000105619148,0.000104473743182,0.0250000105619148,0.000104473743182,5822434,522523,5254,522523,5254,0.089743052475992,0.000902371757241,0.089743052475992,0.000902371757241
01-02-2021,119.69,146.49,-24.0,-7.0,27.0,-27.0,-13.0,8.0,0.0250000003948704,2.447436257273061e-05,0.0250000003948704,2.447436257273061e-05,0.0249999962463609,8.638791813047982e-05,0.0249999962463609,8.638791813047982e-05,0.0250000099978145,9.943750280061504e-05,0.0250000099978145,9.943750280061504e-05,5822434,523652,5256,523652,5256,0.0899369576366172,0.0009027152561969,0.0899369576366172,0.0009027152561969
01-03-2021,95.74,107.52,-24.0,-13.0,22.0,-27.0,-8.0,6.0,0.0250000004453747,2.726827664404785e-05,0.0250000004453747,2.726827664404785e-05,0.0249999973829472,7.521714232916482e-05,0.0249999973829472,7.521714232916482e-05,0.0250000095692711,9.58576702585069e-05,0.0250000095692711,9.58576702585069e-05,5822434,526245,5261,526245,5261,0.0903823040329868,0.0009035740035868,0.0903823040329868,0.0009035740035868
01-04-2021,104.05,128.53,-19.0,-5.0,-5.0,-29.0,-26.0,11.0,0.0250000004602586,2.8692946460853927e-05,0.0250000004602586,2.8692946460853927e-05,0.0249999966286742,7.630342873194448e-05,0.0249999966286742,7.630342873194448e-05,0.0250000091265271,9.218195392435306e-05,0.0250000091265271,9.218195392435306e-05,5822434,527871,5269,527871,5269,0.0906615686841619,0.0009049479994105,0.0906615686841619,0.0009049479994105
01-05-2021,110.47,136.86,-20.0,-4.0,7.0,-27.0,-27.0,11.0,0.0250000004344398,2.821762622957772e-05,0.0250000004344398,2.821762622957772e-05,0.0249999955507271,7.91057973101793e-05,0.0249999955507271,7.91057973101793e-05,0.0250000084755522,8.64672483119817e-05,0.0250000084755522,8.64672483119817e-05,5822434,531890,5366,531890,5366,0.0913518298361132,0.0009216076987733,0.0913518298361132,0.0009216076987733
01-06-2021,105.81,132.51,-20.0,-7.0,3.0,-28.0,-27.0,12.0,0.0250000003011198,2.1772357480093867e-05,0.0250000003011198,2.1772357480093867e-05,0.0250000032850533,7.550082561965453e-05,0.0250000032850533,7.550082561965453e-05,0.0250000085673829,8.776087993268315e-05,0.0250000085673829,8.776087993268315e-05,5822434,535999,5435,535999,5435,0.0920575484410815,0.0009334584127531,0.0920575484410815,0.0009334584127531
01-07-2021,108.24,133.8,-23.0,-9.0,-4.0,-30.0,-26.0,12.0,0.0250000003348483,2.222585149517725e-05,0.0250000003348483,2.222585149517725e-05,0.0250000029601827,6.755578180004129e-05,0.0250000029601827,6.755578180004129e-05,0.0250000086774022,8.909292646197232e-05,0.0250000086774022,8.909292646197232e-05,5822434,540508,5477,540508,5477,0.0928319668372368,0.0009406718908277,0.0928319668372368,0.0009406718908277
01-08-2021,128.43,161.28,-23.0,-12.0,-8.0,-31.0,-24.0,13.0,0.0250000003401048,2.17545121630157e-05,0.0250000003401048,2.17545121630157e-05,0.0250000027242892,6.161305448399287e-05,0.0250000027242892,6.161305448399287e-05,0.0250000082401172,8.507419473622905e-05,0.0250000082401172,8.507419473622905e-05,5822434,544618,5529,544618,5529,0.093537857191683,0.000949602863682,0.093537857191683,0.000949602863682
01-09-2021,132.08,170.93,-19.0,-3.0,24.0,-27.0,-2.0,6.0,0.0250000004497957,2.6092307400968524e-05,0.0250000004497957,2.6092307400968524e-05,0.02500000314711,7.009274978971306e-05,0.02500000314711,7.009274978971306e-05,0.0250000077739679,8.06875593009146e-05,0.0250000077739679,8.06875593009146e-05,5822434,548134,5567,548134,5567,0.0941417283562166,0.0009561293438448,0.0941417283562166,0.0009561293438448
01-10-2021,99.68,115.95,-18.0,-8.0,23.0,-30.0,-8.0,5.0,0.0250000005735688,3.151382216775803e-05,0.0250000005735688,3.151382216775803e-05,0.0250000035795645,7.902504991691801e-05,0.0250000035795645,7.902504991691801e-05,0.0250000074703219,7.791917624619458e-05,0.0250000074703219,7.791917624619458e-05,5822434,550260,5570,550260,5570,0.0945068677463754,0.0009566445922787,0.0945068677463754,0.0009566445922787
