,Alabama-apple-driving,Alabama-apple-walking,Alaska-apple-driving,Alaska-apple-walking,Arizona-apple-driving,Arizona-apple-walking,Arkansas-apple-driving,Arkansas-apple-walking,California-apple-driving,California-apple-walking,Colorado-apple-driving,Colorado-apple-walking,Connecticut-apple-driving,Connecticut-apple-walking,Delaware-apple-driving,Delaware-apple-walking,Florida-apple-driving,Florida-apple-walking,Georgia-apple-driving,Georgia-apple-walking,Hawaii-apple-driving,Hawaii-apple-walking,Idaho-apple-driving,Idaho-apple-walking,Illinois-apple-driving,Illinois-apple-walking,Indiana-apple-driving,Indiana-apple-walking,Iowa-apple-driving,Iowa-apple-walking,Kansas-apple-driving,Kansas-apple-walking,Kentucky-apple-driving,Kentucky-apple-walking,Louisiana-apple-driving,Louisiana-apple-walking,Maine-apple-driving,Maine-apple-walking,Maryland-apple-driving,Maryland-apple-walking,Massachusetts-apple-driving,Massachusetts-apple-walking,Michigan-apple-driving,Michigan-apple-walking,Minnesota-apple-driving,Minnesota-apple-walking,Mississippi-apple-driving,Mississippi-apple-walking,Missouri-apple-driving,Missouri-apple-walking,Montana-apple-driving,Montana-apple-walking,Nebraska-apple-driving,Nebraska-apple-walking,Nevada-apple-driving,Nevada-apple-walking,New Hampshire-apple-driving,New Hampshire-apple-walking,New Jersey-apple-driving,New Jersey-apple-walking,New Mexico-apple-driving,New Mexico-apple-walking,New York-apple-driving,New York-apple-walking,North Carolina-apple-driving,North Carolina-apple-walking,North Dakota-apple-driving,North Dakota-apple-walking,Ohio-apple-driving,Ohio-apple-walking,Oklahoma-apple-driving,Oklahoma-apple-walking,Oregon-apple-driving,Oregon-apple-walking,Pennsylvania-apple-driving,Pennsylvania-apple-walking,Rhode Island-apple-driving,Rhode Island-apple-walking,South Carolina-apple-driving,South Carolina-apple-walking,South Dakota-apple-driving,South Dakota-apple-walking,Tennessee-apple-driving,Tennessee-apple-walking,Texas-apple-driving,Texas-apple-walking,Utah-apple-driving,Utah-apple-walking,Vermont-apple-driving,Vermont-apple-walking,Virginia-apple-driving,Virginia-apple-walking,Washington-apple-driving,Washington-apple-walking,West Virginia-apple-driving,West Virginia-apple-walking,Wisconsin-apple-driving,Wisconsin-apple-walking,Wyoming-apple-driving,Wyoming-apple-walking
2021-01-01,92.83,95.09,98.66,103.86,86.93,101.67,98.27,98.24,71.23,72.51,85.22,104.79,76.63,85.85,84.41,108.54,91.42,122.86,101.84,140.75,64.81,69.72,116.26,129.16,66.97,72.67,76.93,58.85,87.56,92.28,65.49,92.18,91.77,103.28,76.01,41.92,104.15,124.9,72.56,87.5,68.25,65.25,69.93,73.77,74.39,94.62,102.99,122.61,70.59,90.35,127.3,136.83,96.98,95.71,124.72,190.0,101.33,130.03,74.46,93.41,102.72,106.81,68.01,48.16,89.14,99.29,92.61,119.7,78.19,88.65,76.23,76.12,82.09,83.9,69.38,62.16,84.09,95.85,98.17,114.52,136.04,176.91,100.86,120.36,84.92,105.25,110.6,133.28,105.7,100.94,78.24,75.99,86.98,81.54,94.0,73.88,91.86,121.97,139.95,181.88
2021-01-02,125.2,127.62,117.13,120.98,106.23,119.21,121.65,125.8,88.31,85.95,105.82,119.15,108.51,123.47,119.92,147.72,113.88,146.16,139.0,180.17,78.63,72.32,138.56,153.77,96.94,100.06,111.41,82.48,119.34,117.21,108.26,136.59,117.86,133.49,96.0,44.94,88.23,117.21,106.83,128.45,85.45,78.85,96.35,104.81,92.17,119.45,128.99,162.23,102.9,130.19,148.43,168.74,124.58,115.74,138.46,172.8,109.63,147.37,111.15,138.09,128.95,132.79,94.32,73.38,122.01,146.74,110.9,134.88,110.21,126.32,109.42,105.14,98.85,98.38,104.64,93.8,107.68,122.73,134.28,139.16,162.9,190.68,127.0,140.51,109.88,138.54,138.25,162.85,107.45,107.42,114.11,115.38,106.24,95.86,124.81,99.85,119.69,146.49,161.69,181.41
2021-01-03,100.06,96.35,96.7,107.53,85.96,88.53,100.79,93.92,76.53,73.68,89.98,94.94,78.1,86.24,86.63,101.97,89.7,105.81,107.49,123.17,65.68,60.39,105.36,104.25,79.76,76.78,86.84,62.75,99.4,87.92,91.58,105.43,93.77,100.23,76.0,30.49,98.25,112.81,77.8,87.72,70.07,61.16,76.7,81.57,77.56,97.14,103.1,120.53,88.62,102.64,125.02,121.8,100.72,85.04,110.15,112.64,98.31,113.68,78.74,94.96,107.79,107.04,70.24,43.37,97.14,103.65,90.65,94.1,86.28,95.14,91.91,80.56,89.16,90.01,75.21,63.62,82.13,83.9,108.63,101.16,128.98,119.53,98.14,93.82,89.88,104.86,89.98,97.99,108.4,82.75,85.82,79.18,89.97,82.83,102.57,77.09,95.74,107.52,147.82,165.63
2021-01-04,118.04,128.52,116.67,139.14,98.91,107.44,118.05,139.34,85.2,85.87,100.3,112.31,98.6,114.89,105.94,136.65,104.23,120.44,118.12,138.63,73.68,67.52,133.93,142.06,94.53,89.28,107.58,80.25,111.83,114.6,108.47,141.27,111.41,138.72,95.85,36.65,107.35,138.19,95.17,110.23,84.99,76.27,97.44,102.58,89.64,127.67,123.21,166.53,101.9,125.25,135.38,171.85,118.0,120.48,108.91,101.2,100.5,130.83,98.17,121.08,111.31,139.31,88.79,58.76,115.95,131.03,104.8,125.84,105.79,114.82,111.6,114.31,97.7,99.81,98.13,82.64,101.37,111.41,119.38,115.71,129.28,153.01,113.18,114.75,104.13,124.9,123.52,147.93,101.23,102.27,99.71,99.34,106.69,96.7,110.64,95.81,104.05,128.53,133.9,192.03
2021-01-05,122.77,133.55,119.26,139.43,99.36,106.89,124.26,141.33,87.3,88.13,100.22,107.44,104.4,119.44,112.07,137.12,105.98,119.95,125.05,140.08,73.7,65.91,139.25,159.65,99.31,93.61,112.26,83.94,117.36,124.93,112.47,144.64,117.69,138.05,99.94,38.16,109.99,137.51,100.13,116.05,88.62,74.18,101.99,107.91,92.73,125.46,129.49,177.64,107.12,135.26,138.39,168.87,119.11,120.77,108.58,98.87,106.05,126.04,102.1,121.03,110.41,132.55,93.31,58.52,118.45,127.98,113.41,139.79,112.16,120.55,118.85,119.51,98.27,103.71,103.61,84.92,107.38,112.16,123.8,118.59,134.97,157.67,116.83,116.74,106.02,124.16,124.4,150.53,107.08,96.99,105.01,103.6,108.93,98.41,131.23,112.99,110.47,136.86,141.49,185.46
2021-01-06,115.94,138.98,115.69,129.03,96.41,104.96,111.26,136.33,84.54,86.32,95.79,109.37,102.43,120.16,110.96,135.89,101.55,116.5,111.66,124.0,70.23,63.65,130.36,154.55,94.99,91.33,107.06,82.41,107.4,111.05,104.01,141.32,108.96,137.09,93.92,37.07,109.62,140.78,98.72,115.03,87.46,76.08,99.39,106.54,89.04,127.29,119.11,169.94,98.52,124.87,134.46,168.03,106.05,110.2,105.25,94.88,103.82,132.44,99.57,120.33,106.44,124.44,91.31,57.6,114.66,130.1,107.4,139.01,106.94,121.14,108.53,112.39,98.44,99.97,99.81,82.04,106.11,121.33,116.59,117.88,116.81,152.61,108.38,113.9,98.2,114.41,121.0,149.15,97.97,98.67,101.27,101.71,107.63,102.45,112.26,106.39,105.81,132.51,137.47,180.55
2021-01-07,114.82,133.23,112.96,128.98,99.06,106.07,112.78,131.37,86.08,86.59,99.15,111.26,104.11,119.31,111.34,138.73,105.08,117.34,111.84,119.15,71.75,63.19,135.86,153.46,96.74,92.08,108.67,83.09,114.14,117.08,107.71,136.56,110.92,137.15,95.3,37.33,111.5,139.1,98.49,116.52,90.1,77.96,100.63,107.65,91.15,125.27,118.81,171.32,100.37,120.85,135.36,164.04,114.41,111.86,106.96,99.69,105.93,133.8,101.57,120.32,106.98,130.04,92.49,58.8,117.25,131.02,110.62,138.58,108.69,119.47,113.18,112.47,101.16,105.88,101.07,84.31,108.19,117.95,119.61,119.03,135.84,162.68,109.85,111.79,104.15,120.72,125.96,151.39,101.79,100.94,102.27,101.71,110.72,104.29,114.61,100.68,108.24,133.8,134.31,182.9
2021-01-08,133.32,152.13,131.52,147.58,112.92,124.22,135.54,158.06,97.7,98.35,113.41,132.43,117.59,134.11,123.48,156.48,118.4,136.62,126.33,139.44,77.03,68.74,154.97,180.4,112.03,108.92,125.38,96.88,133.74,135.52,126.84,165.5,125.74,153.73,110.45,43.66,126.91,160.85,111.64,131.52,101.1,89.49,115.57,123.91,105.09,144.65,141.32,190.46,119.5,150.61,162.58,207.76,134.04,133.61,122.13,128.17,124.51,170.44,114.44,137.95,121.64,149.88,102.85,65.38,110.15,128.18,130.52,164.01,124.1,139.13,130.41,133.06,112.08,118.96,115.76,99.19,121.64,134.22,126.09,130.7,160.69,199.43,122.27,130.61,120.49,141.19,146.59,183.58,117.8,117.35,112.61,112.09,123.18,114.19,122.08,109.47,128.43,161.28,149.8,199.02
2021-01-09,127.71,143.58,122.82,129.09,112.15,127.81,126.43,144.36,94.57,99.49,99.02,116.07,115.33,134.75,118.39,147.43,112.54,139.25,127.26,149.41,76.06,67.1,149.84,171.11,110.4,119.14,121.1,94.58,133.85,135.95,125.44,163.43,119.43,142.22,104.67,44.94,123.63,155.24,110.67,134.7,98.07,92.76,111.66,124.93,99.8,133.92,133.88,183.37,118.54,153.36,153.89,180.49,134.52,129.43,120.94,142.47,130.41,168.69,115.34,145.86,111.95,133.63,98.25,68.83,123.07,149.25,128.75,178.22,124.71,146.06,125.05,126.09,109.63,118.2,114.87,104.91,120.85,148.8,129.55,146.79,169.78,220.78,120.17,134.68,118.07,146.32,145.55,179.77,120.01,105.47,112.7,120.62,116.25,112.75,115.81,102.26,132.08,170.93,144.97,194.2
2021-01-10,96.8,103.93,98.44,109.17,86.78,91.68,92.47,96.33,76.78,77.47,84.95,91.45,90.27,101.25,91.15,114.75,86.6,103.16,97.3,106.23,62.99,56.53,105.01,107.96,82.36,80.6,89.38,64.22,99.97,95.46,92.87,115.4,91.09,106.03,71.32,29.42,102.87,119.53,84.23,101.3,78.21,71.82,83.44,87.02,78.7,96.67,95.82,122.26,88.15,104.77,124.31,128.17,101.47,86.68,96.7,99.27,105.45,122.83,89.67,109.78,88.51,99.48,79.47,54.32,96.53,105.16,98.52,112.11,93.26,102.14,88.79,78.71,86.71,89.13,88.86,78.21,94.73,117.49,97.57,99.42,129.05,142.8,92.72,93.48,69.36,78.77,88.37,106.7,104.07,75.23,89.35,89.6,94.45,90.29,98.14,85.85,99.68,115.95,124.71,141.41
2021-01-11,107.59,135.64,115.19,127.27,96.99,106.11,110.75,138.84,84.19,84.82,93.27,101.87,97.28,109.95,106.74,129.37,99.73,112.48,106.0,114.49,67.87,62.64,127.21,146.05,91.35,83.86,104.18,75.03,109.71,108.86,105.36,135.25,107.85,128.4,85.31,33.33,106.49,128.55,92.14,105.24,84.54,70.45,96.42,102.04,86.97,117.15,99.74,142.88,97.96,121.49,129.6,164.29,110.29,106.32,103.74,93.34,101.58,122.71,96.53,112.88,99.89,123.87,87.54,55.17,110.23,118.08,109.09,150.48,104.6,115.39,109.45,112.88,96.14,97.03,97.72,80.2,103.02,121.04,112.79,115.71,123.83,175.31,101.17,99.87,95.74,109.7,117.85,150.46,99.31,86.08,97.42,94.3,104.07,95.06,107.08,95.74,102.63,121.79,118.68,161.07
